gene_id	gene_label
ENSMUSG00000040310	Alx4
ENSMUSG00000040385	Ppp1ca
ENSMUSG00000040407	Akap9
ENSMUSG00000040659	Efhd2
ENSMUSG00000040699	Limd2
ENSMUSG00000040711	Sh3pxd2b
ENSMUSG00000040811	Eml2
ENSMUSG00000040852	Plekhh2
ENSMUSG00000040896	Kcnd3
ENSMUSG00000040936	Ulk4
ENSMUSG00000040940	Arhgef1
ENSMUSG00000040964	Arhgef10l
ENSMUSG00000040990	Sh3kbp1
ENSMUSG00000040998	Npnt
ENSMUSG00000041020	Map7d2
ENSMUSG00000041075	Fzd7
ENSMUSG00000041119	Pde9a
ENSMUSG00000041189	Chrnb1
ENSMUSG00000041323	Ak7
ENSMUSG00000041329	Atp1b2
ENSMUSG00000041362	Shtn1
ENSMUSG00000041415	Dicer1
ENSMUSG00000041417	Pik3r1
ENSMUSG00000041431	Ccnb1
ENSMUSG00000041453	Rpl21
ENSMUSG00000041476	Smpx
ENSMUSG00000041598	Cdc42ep4
ENSMUSG00000041642	Kif21b
ENSMUSG00000041695	Kcnj2
ENSMUSG00000041720	Pi4ka
ENSMUSG00000041729	Coro2b
ENSMUSG00000041731	Pgm5
ENSMUSG00000041798	Gck
ENSMUSG00000041841	Rpl37
ENSMUSG00000041936	Agrn
ENSMUSG00000041959	S100a10
ENSMUSG00000041995	Zbed3
ENSMUSG00000042045	Sln
ENSMUSG00000042050	Dync2i1
ENSMUSG00000042099	Kank3
ENSMUSG00000042105	Inpp5f
ENSMUSG00000042121	Ssh1
ENSMUSG00000042156	Dzip1
ENSMUSG00000042284	Itga1
ENSMUSG00000042292	Mrtfa
ENSMUSG00000042302	Ehbp1
ENSMUSG00000042364	Snx18
ENSMUSG00000042406	Atf4
ENSMUSG00000042524	Sun2
ENSMUSG00000042626	Shc1
ENSMUSG00000042677	Zc3h12a
ENSMUSG00000042700	Sipa1l1
ENSMUSG00000042745	Id1
ENSMUSG00000042812	Foxf1
ENSMUSG00000042828	Trim72
ENSMUSG00000042895	Abra
ENSMUSG00000042903	Foxo4
ENSMUSG00000042992	Borcs5
ENSMUSG00000043020	Dnai3
ENSMUSG00000043036	Ccdc63
ENSMUSG00000043051	Disc1
ENSMUSG00000043065	Spice1
ENSMUSG00000043336	Filip1l
ENSMUSG00000043716	Rpl7
ENSMUSG00000043719	Col6a6
ENSMUSG00000044017	Adgrd1
ENSMUSG00000044177	Wfikkn2
ENSMUSG00000044337	Ackr3
ENSMUSG00000044338	Aplnr
ENSMUSG00000044393	Dsg2
ENSMUSG00000044433	Camsap3
ENSMUSG00000044700	Tmem201
ENSMUSG00000044948	Cfap43
ENSMUSG00000045038	Prkce
ENSMUSG00000045092	S1pr1
ENSMUSG00000045128	Rpl18a
ENSMUSG00000045176	Borcs6
ENSMUSG00000045328	Cenpe
ENSMUSG00000045404	Kcnk13
ENSMUSG00000045467	Ttll13
ENSMUSG00000045613	Chrm2
ENSMUSG00000045664	Cdc42ep2
ENSMUSG00000045667	Smtnl2
ENSMUSG00000045730	Adrb2
ENSMUSG00000045795	Whamm
ENSMUSG00000046159	Chrm3
ENSMUSG00000046330	Rpl37a
ENSMUSG00000046364	Rpl27a
ENSMUSG00000046532	Ar
ENSMUSG00000046718	Bst2
ENSMUSG00000046768	Rhoj
ENSMUSG00000047215	Rpl9
ENSMUSG00000047281	Sfn
ENSMUSG00000047330	Kcne4
ENSMUSG00000047419	Cmya5
ENSMUSG00000047710	Champ1
ENSMUSG00000047766	Lrrc49
ENSMUSG00000047810	Ccdc88b
ENSMUSG00000047904	Sstr2
ENSMUSG00000047976	Kcna1
ENSMUSG00000047977	Synb
ENSMUSG00000048038	Ccdc187
ENSMUSG00000048076	Arf1
ENSMUSG00000048096	Lmod1
ENSMUSG00000048327	Ckap2l
ENSMUSG00000048387	Osr1
ENSMUSG00000048450	Msx1
ENSMUSG00000048758	Rpl29
ENSMUSG00000048794	Cfap100
ENSMUSG00000048799	Cep120
ENSMUSG00000049115	Agtr1a
ENSMUSG00000049134	Nrap
ENSMUSG00000049173	Myoz3
ENSMUSG00000049382	Krt8
ENSMUSG00000049521	Cdc42ep1
ENSMUSG00000049550	Clip1
ENSMUSG00000049588	Ccdc69
ENSMUSG00000049690	Nckap5
ENSMUSG00000050035	Fhl4
ENSMUSG00000050288	Fzd2
ENSMUSG00000050315	Synpo2
ENSMUSG00000050321	Neto1
ENSMUSG00000050394	Armcx6
ENSMUSG00000050541	Adra1b
ENSMUSG00000050930	Map10
ENSMUSG00000050965	Prkca
ENSMUSG00000051331	Cacna1c
ENSMUSG00000051367	Six1
ENSMUSG00000051373	Plpp7
ENSMUSG00000051378	Kif18b
ENSMUSG00000051586	Mical3
ENSMUSG00000051615	Rap2a
ENSMUSG00000051811	Cox6b2
ENSMUSG00000051910	Sox6
ENSMUSG00000052087	Rgs14
ENSMUSG00000052105	Mtcl1
ENSMUSG00000052374	Actn2
ENSMUSG00000052698	Tln2
ENSMUSG00000052920	Prkg1
ENSMUSG00000052921	Arhgef15
ENSMUSG00000053046	Brsk2
ENSMUSG00000053093	Myh7
ENSMUSG00000053110	Yap1
ENSMUSG00000053119	Chmp3
ENSMUSG00000053158	Fes
ENSMUSG00000053436	Mapk14
ENSMUSG00000053519	Kcnip1
ENSMUSG00000053799	Exoc6
ENSMUSG00000053825	Ppfia2
ENSMUSG00000053931	Cnn3
ENSMUSG00000054065	Pkp3
ENSMUSG00000054252	Fgfr3
ENSMUSG00000054263	Lifr
ENSMUSG00000054364	Rhob
ENSMUSG00000054808	Actn4
ENSMUSG00000054855	Rnd1
ENSMUSG00000054889	Dsp
ENSMUSG00000055024	Ep300
ENSMUSG00000055044	Pdlim1
ENSMUSG00000055447	Cd47
ENSMUSG00000055723	Rras2
ENSMUSG00000055775	Myh8
ENSMUSG00000055805	Fmnl1
ENSMUSG00000056071	S100a9
ENSMUSG00000056201	Cfl1
ENSMUSG00000056214	Pard6g
ENSMUSG00000056328	Myh1
ENSMUSG00000056737	Capg
ENSMUSG00000056770	Setd3
ENSMUSG00000056870	Gulp1
ENSMUSG00000057003	Myh4
ENSMUSG00000057092	Fxyd3
ENSMUSG00000057113	Npm1
ENSMUSG00000057123	Gja5
ENSMUSG00000057177	Gsk3a
ENSMUSG00000057322	Rpl38
ENSMUSG00000057531	Dtnbp1
ENSMUSG00000057604	Lmcd1
ENSMUSG00000057667	Bloc1s3
ENSMUSG00000057738	Sptan1
ENSMUSG00000057841	Rpl32
ENSMUSG00000057863	Rpl36
ENSMUSG00000057914	Cacnb2
ENSMUSG00000058056	Palld
ENSMUSG00000058230	Arhgap35
ENSMUSG00000058290	Espl1
ENSMUSG00000058546	Rpl23a
ENSMUSG00000058600	Rpl30
ENSMUSG00000058743	Kcnj14
ENSMUSG00000059070	Rpl18
ENSMUSG00000059201	Lep
ENSMUSG00000059248	Septin9
ENSMUSG00000059291	Rpl11
ENSMUSG00000059412	Fxyd2
ENSMUSG00000059430	Actg2
ENSMUSG00000059439	Bcas3
ENSMUSG00000059456	Ptk2b
ENSMUSG00000059741	Myl3
ENSMUSG00000059743	Fdps
ENSMUSG00000059923	Grb2
ENSMUSG00000059981	Taok2
ENSMUSG00000060216	Arrb2
ENSMUSG00000060636	Rpl35a
ENSMUSG00000060708	Bloc1s4
ENSMUSG00000060843	Ctnna3
ENSMUSG00000060938	Rpl26
ENSMUSG00000061086	Myl4
ENSMUSG00000061322	Dnai1
ENSMUSG00000061462	Obscn
ENSMUSG00000061603	Akap6
ENSMUSG00000061665	Cd2ap
ENSMUSG00000061723	Tnnt3
ENSMUSG00000061780	Cfd
ENSMUSG00000061816	Myl1
ENSMUSG00000061878	Sphk1
ENSMUSG00000062006	Rpl34
ENSMUSG00000062127	Cttnbp2nl
ENSMUSG00000062328	Rpl17
ENSMUSG00000062647	Rpl7a
ENSMUSG00000062785	Kcnc3
ENSMUSG00000062825	Actg1
ENSMUSG00000062997	Rpl35
ENSMUSG00000063065	Mapk3
ENSMUSG00000063142	Kcnma1
ENSMUSG00000063316	Rpl27
ENSMUSG00000063358	Mapk1
ENSMUSG00000063415	Cyp26b1
ENSMUSG00000063450	Syne2
ENSMUSG00000063704	Mapk15
ENSMUSG00000063838	Cdc42ep5
ENSMUSG00000063882	Uqcrh
ENSMUSG00000064179	Tnnt1
ENSMUSG00000064302	Clasp1
ENSMUSG00000064329	Scn1a
ENSMUSG00000066043	Phactr4
ENSMUSG00000066406	Akap13
ENSMUSG00000066705	Fxyd6
ENSMUSG00000066877	Nck2
ENSMUSG00000067158	Col4a4
ENSMUSG00000067274	Rplp0
ENSMUSG00000067276	Capn6
ENSMUSG00000067653	Ankrd23
ENSMUSG00000067818	Myl9
ENSMUSG00000067851	Arfgef1
ENSMUSG00000067889	Sptbn2
ENSMUSG00000068566	Myadm
ENSMUSG00000068614	Actc1
ENSMUSG00000068697	Myoz1
ENSMUSG00000068699	Flnc
ENSMUSG00000069601	Ank3
ENSMUSG00000069806	Cacng7
ENSMUSG00000070047	Fat1
ENSMUSG00000070687	Htr1d
ENSMUSG00000071176	Arhgef10
ENSMUSG00000071415	Rpl23
ENSMUSG00000071540	3425401B19Rik
ENSMUSG00000071647	Eml3
ENSMUSG00000071984	Fndc1
ENSMUSG00000072720	Myo18b
ENSMUSG00000073702	Rpl31
ENSMUSG00000073982	Rhog
ENSMUSG00000074001	Klhl40
ENSMUSG00000074129	Rpl13a
ENSMUSG00000074238	Ap1ar
ENSMUSG00000074364	Ehd2
ENSMUSG00000074652	Myh7b
ENSMUSG00000074934	Grem1
ENSMUSG00000075705	Msrb1
ENSMUSG00000078317	F8a
ENSMUSG00000078486	Perm1
ENSMUSG00000078490	Cfap74
ENSMUSG00000078566	Bnip3
ENSMUSG00000079055	Slc8a3
ENSMUSG00000079056	Kcnip3
ENSMUSG00000079110	Capn3
ENSMUSG00000079243	Xirp1
ENSMUSG00000079334	Naa80
ENSMUSG00000079426	Arpc4
ENSMUSG00000079465	Col4a3
ENSMUSG00000079553	Kifc1
ENSMUSG00000079588	Tmem182
ENSMUSG00000079641	Rpl39
ENSMUSG00000085156	Snhg15
ENSMUSG00000089768	Tmsb15b1
ENSMUSG00000090000	Ier3ip1
ENSMUSG00000090137	Uba52
ENSMUSG00000090841	Myl6
ENSMUSG00000091780	Sco2
ENSMUSG00000091898	Tnnc1
ENSMUSG00000093674	Rpl41
ENSMUSG00000096215	Smim22
ENSMUSG00000096255	Dynlt1b
ENSMUSG00000098274	Rpl24
ENSMUSG00000109511	Nup62
ENSMUSG00000109901	Chmp1b
ENSMUSG00000116165	Pdxp
