tissue	family_id	process_family	family_literature_role	family_narrative_decision	n_candidate_pathways	representative_term	representative_label	representative_effect	representative_rank	minimum_family_effect	maximum_family_effect	pathways_higher_in_flight	pathways_lower_in_flight	pathways_direction_preserved_in_sensitivity	pathways_with_opposite_nested_program	median_absolute_within_accession_score_correlation	maximum_reactome_gene_jaccard	maximum_reactome_gene_overlap_coefficient	family_synthesis	supporting_references	interpretive_caution	member_labels	member_terms
skin	innate_phagocytosis	Innate immune and phagocytic response	aligned	add_aligned_context	2	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Fcgamma Receptor Fcgr Dependent Phagocytosis	0.2836183370042355	15.0	0.2434467673921363	0.2836183370042355	2	0	2	0	0.30115041687545485	0.17188983855650522	1.0	Higher Fc-receptor phagocytosis and broad innate-immune scores recover a known inflammatory and immune component of flight-exposed skin.	12;13	Whole-skin scores can reflect immune-cell abundance and do not establish activation within keratinocytes.	Fcgamma Receptor Fcgr Dependent Phagocytosis;Innate Immune System	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS;R-MMU-168249_INNATE_IMMUNE_SYSTEM
skin	sensory_broad	Sensory and broad signaling labels	not_interpretable	exclude	5	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	Visual Phototransduction	-0.3253856787875864	8.0	-0.3253856787875864	0.2147484656348572	4	1	5	1	0.8559110475235735	0.2921686746987952	1.0	Visual, neuronal, potassium-channel, NRAGE-JNK, and broad GPCR labels do not form a specific skin-spaceflight mechanism.	15	Cutaneous sensory cells exist, but these aggregate labels cannot localize them and include tissue-incongruent annotation.	Visual Phototransduction;Neuronal System;Nrage Signals Death Through Jnk;GPCR Downstream Signalling;Potassium Channels	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION;R-MMU-112316_NEURONAL_SYSTEM;R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK;R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING;R-MMU-1296071_POTASSIUM_CHANNELS
skin	epidermal_development	Epidermal differentiation and regeneration	aligned	existing_core_axis	5	R-MMU-6805567_KERATINIZATION	Keratinization	-1.220864622405193	1.0	-1.220864622405193	-0.1943057259062245	0	5	5	0	0.8856535926386024	0.47769516728624534	1.0	Lower keratinization, developmental, Hedgehog, and neural-development programs support reduced epidermal differentiation and regenerative-niche activity.	12;13;15	The broad developmental term combines multiple compartments, and sphingolipid score is not a direct ceramide measurement.	Keratinization;Developmental Biology;Nervous System Development;Hedgehog signaling;Sphingolipid metabolism	R-MMU-6805567_KERATINIZATION;R-MMU-1266738_DEVELOPMENTAL_BIOLOGY;R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT;R-MMU-5358351_SIGNALING_BY_HEDGEHOG;R-MMU-428157_SPHINGOLIPID_METABOLISM
skin	communication_adhesion	Cell communication, adhesion, and cytoskeleton	complementary	existing_core_axis	7	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	-0.4075693501595991	4.0	-0.4075693501595991	-0.196829532122068	0	7	7	2	0.7825105564418987	0.7359307359307359	1.0	Lower gap-junction, CDH1, Rho-family, second-messenger, and cell-junction scores form a coherent lower tissue-coordination family.	13;16	The result does not identify a specific skin layer or prove reduced functional junctional coupling.	Gap-junction trafficking;Regulation Of CDH1 Expression And Function;Signaling By Rho GTPases;Intracellular Signaling By Second Messengers;Negative Regulation Of CDH1 Gene Transcription;Rho GTPase Cycle;Cell-cell junction organization	R-MMU-190828_GAP_JUNCTION_TRAFFICKING;R-MMU-9764265_REGULATION_OF_CDH1_EXPRESSION_AND_FUNCTION;R-MMU-194315_SIGNALING_BY_RHO_GTPASES;R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS;R-MMU-9764725_NEGATIVE_REGULATION_OF_CDH1_GENE_TRANSCRIPTION;R-MMU-9012999_RHO_GTPASE_CYCLE;R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION
skin	genome_regulation	Chromatin, proliferation, and genome maintenance	context_sensitive	existing_support_axis	8	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	-0.6630485382809012	3.0	-0.6630485382809012	-0.2228965274992246	0	8	8	0	0.8507793052070047	0.8015873015873016	1.0	Chromatin, nucleotide, cell-cycle, senescence, and DNA-repair scores are predominantly lower and reinforce a reduced regulatory and proliferative state.	12;13	Several terms divide three versus three across accessions, so the family is a protocol-qualified state rather than a universal repair defect.	Chromatin-modifying enzymes;Metabolism Of Nucleotides;Cell Cycle;DNA Damage Telomere Stress Induced Senescence;Chromatin Organization;M Phase;DNA repair;Mitotic G2 G2 M Phases	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES;R-MMU-15869_METABOLISM_OF_NUCLEOTIDES;R-MMU-1640170_CELL_CYCLE;R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE;R-MMU-4839726_CHROMATIN_ORGANIZATION;R-MMU-68886_M_PHASE;R-MMU-73894_DNA_REPAIR;R-MMU-453274_MITOTIC_G2_G2_M_PHASES
skin	detox_endocrine	Detoxification and endocrine metabolism	context_sensitive	revise_existing_claim	4	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	-0.2548713580596757	22.0	-0.2548713580596757	0.3060397674559542	3	1	4	2	0.8621466404111355	0.37755102040816324	1.0	Lower broad phase-II conjugation contrasts with higher nested glutathione-conjugation, peptide-hormone, and steroid-metabolism scores; no uniform detoxification direction is supported.	14	Glutathione conjugation is fully nested in phase-II conjugation and the two latent scores are strongly anticorrelated, so branch-specific mechanistic claims are not identifiable here.	Peptide Hormone Metabolism;Glutathione Conjugation;Phase II detoxification;Metabolism Of Steroids	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM;R-MMU-156590_GLUTATHIONE_CONJUGATION;R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS;R-MMU-8957322_METABOLISM_OF_STEROIDS
skin	protein_processing	Secretory trafficking and protein processing	context_sensitive	supplement_only	3	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	Copi Dependent Golgi To ER Retrograde Traffic	-0.2729868426746412	16.0	-0.2729868426746412	0.2386060951951974	1	2	3	2	0.721050167393779	0.19792438843587842	1.0	Lower COPI and N-linked-glycosylation scores contrast with higher broad post-translational modification, preventing a coherent process-level direction.	12	These programs are broad and do not measure protein-processing flux.	Copi Dependent Golgi To ER Retrograde Traffic;Asparagine N Linked Glycosylation;Post Translational Protein Modification	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC;R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION;R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION
soleus	trophic_vascular	Trophic, adhesion, and vascular signaling	aligned	add_aligned_context	3	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	Pip3 Activates Akt Signaling	-0.1222398430324073	28.0	-0.1222398430324073	-0.0995024218111111	0	3	3	0	0.6270206160090159	0.14646464646464646	0.2600896860986547	Lower PI3K-AKT, WNT, and VEGF programs after restriction align with reduced anabolic, focal-adhesion, and vascular-support signaling during soleus unloading.	25;27	PI3K-AKT attenuates strongly after excluding OSD-714, and broad GPCR and Rho parents are accession sensitive; only the lower trophic subfamily is retained.	Pip3 Activates Akt Signaling;Signaling By Wnt;Signaling By Vegf	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING;R-MMU-195721_SIGNALING_BY_WNT;R-MMU-194138_SIGNALING_BY_VEGF
soleus	epithelial_incongruent	Cornified-envelope and keratin labels	not_interpretable	exclude	2	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Formation Of The Cornified Envelope	0.4029332148148146	2.0	0.2595322945481482	0.4029332148148146	2	0	2	0	0.976573360579101	0.47593582887700536	1.0	Cornified-envelope and keratinization scores are tissue-incongruent for dissected soleus and are not interpreted as muscle biology.		The signal could reflect dissection contamination, shared structural genes, or model annotation rather than a muscle mechanism.	Formation Of The Cornified Envelope;Keratinization	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE;R-MMU-6805567_KERATINIZATION
soleus	immune_inflammatory	Immune and cytokine programs	context_sensitive	existing_context	4	R-MMU-168256_IMMUNE_SYSTEM	Immune-system signaling	0.4354141866666667	1.0	-0.1174301000370369	0.4354141866666667	2	2	2	3	0.1910413132870357	0.30851063829787234	1.0	Broad immune and neutrophil scores are driven by the confounded accession, whereas interferon and cytokine scores are lower across the restricted comparison.	24;27	Nested immune programs point in opposite directions and cannot support a universal inflammatory claim.	Immune-system signaling;Neutrophil Degranulation;Interferon Signaling;Cytokine signaling	R-MMU-168256_IMMUNE_SYSTEM;R-MMU-6798695_NEUTROPHIL_DEGRANULATION;R-MMU-913531_INTERFERON_SIGNALING;R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM
soleus	metabolic_transport	Metabolism and transmembrane transport	context_sensitive	existing_context	7	R-MMU-8978868_FATTY_ACID_METABOLISM	Fatty-acid metabolism	-0.198262297574074	10.0	-0.198262297574074	0.1808996527777777	2	5	3	7	0.9164362765139732	0.3458646616541353	1.0	Broad metabolism and transport parents oppose several lipid, oxidation, vitamin, and SLC children, and the fatty-acid direction changes after accession restriction.	24;25;26	The family is not directionally identifiable as one metabolic response.	Fatty-acid metabolism;Metabolism;Biological Oxidations;Transport Of Small Molecules;Metabolism Of Lipids;Slc Mediated Transmembrane Transport;Metabolism Of Vitamins And Cofactors	R-MMU-8978868_FATTY_ACID_METABOLISM;R-MMU-1430728_METABOLISM;R-MMU-211859_BIOLOGICAL_OXIDATIONS;R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES;R-MMU-556833_METABOLISM_OF_LIPIDS;R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT;R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS
soleus	neuromuscular	Contractile and sensory programs	context_sensitive	existing_context	2	R-MMU-390522_STRIATED_MUSCLE_CONTRACTION	Striated-muscle contraction	0.0901879572222222	46.0	0.0901879572222222	0.1623211781555555	2	0	1	0	0.2137104861507805	0.0	0.0	The contraction direction changes after exclusion, while the broad sensory score remains higher without a specific neuromuscular interpretation.	24;25;29;30	Fiber-type transitions can move individual contractile genes in opposite directions.	Sensory Perception;Striated-muscle contraction	R-MMU-9709957_SENSORY_PERCEPTION;R-MMU-390522_STRIATED_MUSCLE_CONTRACTION
soleus	matrix_turnover	Matrix disassembly and support	complementary	existing_core_axis	4	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Extracellular matrix degradation	0.1676931753703702	18.0	-0.1223820164918518	0.2072379588685184	2	2	3	1	0.47444296501433514	0.44036697247706424	1.0	Higher collagen and extracellular-matrix degradation together with lower elastic-fibre and glycosaminoglycan scores support a matrix-disassembly and reduced-support state.	24;26;28	Only two unconfounded accessions remain and member-gene support is sparse; matrix abundance and protease activity were not measured.	Collagen Degradation;Extracellular matrix degradation;Molecules Associated With Elastic Fibres;Glycosaminoglycan metabolism	R-MMU-1442490_COLLAGEN_DEGRADATION;R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX;R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES;R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM
soleus	hemostatic	Hemostatic and platelet programs	context_sensitive	supplement_only	2	R-MMU-109582_HEMOSTASIS	Hemostasis	0.2295372588888882	8.0	0.1818508744074074	0.2295372588888882	2	0	1	0	0.9326710511046546	0.1930379746835443	1.0	Higher hemostasis and platelet-degranulation scores may reflect vascular or blood-cell composition rather than a myofiber program.		Direct soleus-specific spaceflight validation is absent.	Hemostasis;Platelet Degranulation	R-MMU-109582_HEMOSTASIS;R-MMU-114608_PLATELET_DEGRANULATION
soleus	broad_gpcr_cytoskeleton	Broad GPCR and Rho-family signaling	context_sensitive	supplement_only	4	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	G Alpha I Signalling Events	-0.1740394551737037	16.0	-0.1740394551737037	0.3473075108333334	2	2	1	3	0.8847106190917244	0.5135566188197768	1.0	Broad GPCR and Rho-family parents move in accession-sensitive or opposing directions and do not define the lower trophic subfamily.	24;25	Class-A receptors and G-alpha-i are nested within the GPCR parent, while the broad Rho term changes direction after restriction.	Signaling By GPCR;Signaling By Rho GTPases;G Alpha I Signalling Events;Class A 1 Rhodopsin Like Receptors	R-MMU-372790_SIGNALING_BY_GPCR;R-MMU-194315_SIGNALING_BY_RHO_GTPASES;R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS;R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS
soleus	growth_damage	Growth, apoptosis, and DNA-damage response	context_sensitive	supplement_only	4	R-MMU-73894_DNA_REPAIR	DNA repair	0.1401184675925924	23.0	0.1401184675925924	0.3384807299999999	4	0	4	0	0.8829951356566282	0.17875	0.8292682926829268	Higher apoptosis and DNA-repair scores persist after restriction, while broad cell-cycle and MLL3-MLL4 scores remain accession sensitive.	24;25	The family combines distinct processes and does not establish myofiber apoptosis or repair activity.	Cell Cycle;Epigenetic Regulation Of Gene Expression By Mll3 And Mll4 Complexes;Apoptosis;DNA repair	R-MMU-1640170_CELL_CYCLE;R-MMU-9818564_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES;R-MMU-109581_APOPTOSIS;R-MMU-73894_DNA_REPAIR
soleus	trafficking_cytoskeleton	Membrane trafficking and intracellular transport	context_sensitive	supplement_only	4	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	Vesicle Mediated Transport	0.0981342487037036	38.0	0.0981342487037036	0.1631086761574074	4	0	3	0	0.5763897064920758	0.7985714285714286	1.0	GPI-anchor, membrane, kinesin, and vesicle programs are higher or preserved after restriction but lack direct soleus-spaceflight validation.	26	The terms are broad and should not be interpreted as measured trafficking rates.	Post Translational Modification Synthesis Of Gpi Anchored Proteins;Membrane Trafficking;Kinesins;Vesicle Mediated Transport	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS;R-MMU-199991_MEMBRANE_TRAFFICKING;R-MMU-983189_KINESINS;R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT
thymus	death_stress	Cell death and stress response	context_sensitive	add_interpretive_context	3	R-MMU-109581_APOPTOSIS	Apoptosis	-0.3820839966280702	30.0	-0.4478135698017542	-0.3810774206982456	0	3	3	0	0.8052350724339827	0.7573529411764706	1.0	Lower apoptosis, programmed-cell-death, and stress-response scores support a proliferation-led long-duration phenotype rather than universal ongoing apoptosis.	7;9	Post-return STS-135 tissue showed DNA fragmentation, so timing and mission context prevent a general anti-apoptosis claim.	Programmed Cell Death;Apoptosis;Cellular Responses To Stress	R-MMU-5357801_PROGRAMMED_CELL_DEATH;R-MMU-109581_APOPTOSIS;R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS
thymus	broad_signaling	Broad receptor signaling	not_interpretable	exclude	3	R-MMU-162582_SIGNAL_TRANSDUCTION	Signal Transduction	0.4515207469824561	21.0	0.3307834867754386	0.4515207469824561	3	0	3	1	0.6468326562049503	0.4481658692185008	1.0	Signal-transduction, GPCR, and G-alpha-i umbrellas are too broad to define a thymus mechanism.		The terms contain many receptors and cell types with unrelated functions.	Signal Transduction;Signaling By GPCR;G Alpha I Signalling Events	R-MMU-162582_SIGNAL_TRANSDUCTION;R-MMU-372790_SIGNALING_BY_GPCR;R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS
thymus	off_context	Tissue-incongruent labels	not_interpretable	exclude	3	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	Neurotransmitter Receptors And Postsynaptic Signal Transmission	-0.3581995713786842	35.0	-0.3581995713786842	0.3850010369807017	1	2	3	0	0.8496576255050527	0.1380952380952381	0.29896907216494845	Muscle-contraction, postsynaptic, and potassium-channel labels do not support a specific thymic mechanism.		Shared receptors, ion channels, or stromal genes can produce these labels without muscle or neuronal tissue activity.	Muscle Contraction;Neurotransmitter Receptors And Postsynaptic Signal Transmission;Potassium Channels	R-MMU-397014_MUSCLE_CONTRACTION;R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION;R-MMU-1296071_POTASSIUM_CHANNELS
thymus	proliferation_genome	Proliferation and genome maintenance	aligned	existing_core_axis	10	R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	-1.438332769986316	1.0	-1.438332769986316	-0.4370219137175438	0	10	10	2	0.9052428540910573	0.8482871125611745	1.0	Lower mitotic, nucleotide, chromatin, transcription, telomere, rRNA, and DNA-repair programs form one dominant reduced proliferative and genome-maintenance state.	6;9	Many child terms may reflect fewer cycling thymocytes rather than independent defects in every molecular process.	Mitotic cell cycle;DNA Damage Telomere Stress Induced Senescence;Metabolism Of Nucleotides;DNA repair;Epigenetic Regulation Of Adipogenesis Genes By Mll3 And Mll4 Complexes;Chromatin Modifying Enzymes;Generic Transcription Pathway;Cell Cycle;Telomere Maintenance;Major Pathway Of Rrna Processing In The Nucleolus And Cytosol	R-MMU-69278_CELL_CYCLE_MITOTIC;R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE;R-MMU-15869_METABOLISM_OF_NUCLEOTIDES;R-MMU-73894_DNA_REPAIR;R-MMU-9851695_EPIGENETIC_REGULATION_OF_ADIPOGENESIS_GENES_BY_MLL3_AND_MLL4_COMPLEXES;R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES;R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY;R-MMU-1640170_CELL_CYCLE;R-MMU-157579_TELOMERE_MAINTENANCE;R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL
