term	short_label	evidence_role	paper_interpretation	paper_citations	tissue	n_flight	n_ground_control	mean_flight	mean_ground_control	flight_minus_ground	welch_p	mannwhitney_p	welch_fdr	mannwhitney_fdr	raw_mean_flight	raw_mean_ground_control	raw_flight_minus_ground	n_accessions_study_test	mean_accession_effect	median_accession_effect	wilcoxon_p	wilcoxon_fdr	raw_mean_accession_effect	raw_median_accession_effect	n_accessions_meta	meta_effect	meta_se	meta_p	tau2	i2	n_accession_same_direction	n_accession_opposite_direction	meta_fdr	raw_meta_effect	n_leave_one_out	n_same_direction	minimum_leave_one_out_fdr	maximum_leave_one_out_fdr	latent_orientation	active_latent_program	absolute_study_balanced_effect	within_tissue_magnitude_percentile	restricted_study_balanced_effect	restricted_effect_min	restricted_effect_max	restricted_accessions	restricted_positive	restricted_negative	restricted_direction_matches_full	pathway_genes_in_hvg_model	pathway_genes_pooled_fdr_lt_005	fraction_pathway_genes_pooled_fdr_lt_005	significant_genes_same_direction	significant_genes_opposite_direction	top_gene_examples	full_input_study_balanced_effect	full_input_accessions	full_input_positive	full_input_negative	primary_analysis_scope	context_aware_annotation	protocol_consistency_status	context_sensitive_reason	skin_dorsal_microgravity_effect	skin_femoral_microgravity_effect	skin_dorsal_artificial_1g_effect	skin_femoral_artificial_1g_effect	skin_true_microgravity_same_direction	skin_project_balanced_effect	skin_projects	skin_project_positive	skin_project_negative
R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	complementary	Lower true-microgravity chromatin-regulatory program at both MHU-2 sites	Cope2024;Park2024	skin	80	71	0.36543080004375	1.1299477630985912	-0.7645169630548412	0.0056905891047674	0.0164366996707723	0.0299833636908926	0.0551927073155407	-0.36543080004375	-1.1299477630985912	0.7645169630548412	6	-0.6630485382809012	-0.7043180716111112	0.21875	0.5600421348314607	0.6630485382809012	0.7043180716111112	6	-0.7434610717669837	0.3475173746069942	0.0324073851823603	0.3583438810692645	0.503772812272022	4	2	0.1260726325996702	0.7434610717669837	6	6	0.0232934455017368	0.4946250928234764	-1.0	True	0.6630485382809012	0.993127147766323	-0.6630485382809012	-1.6456853283333333	0.4353614320000001	6	2	4	True	44	2	0.045454545454545456	2	0	ENSMUSG00000025328:-1.75; ENSMUSG00000025330:-1.05					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.663. True microgravity was -1.929 in dorsal and -1.122 in femoral skin; onboard artificial 1 g was -1.362 in dorsal and +1.216 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.836 (3 lower, 1 higher). Literature role remains complementary because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-1.929329595	-1.1218236976666667	-1.3620410616666667	1.216089215	True	-0.8364968210299375	4.0	1.0	3.0
R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	complementary	Lower true-microgravity direct cell-communication program at both MHU-2 sites	Park2024;Zhao2025	skin	80	71	-0.2023680151875	0.3145908870239436	-0.5169589022114437	0.0009666046117612	0.0019112085765887	0.0113247468399479	0.0169354315536615	-0.2023680151875	0.3145908870239436	-0.5169589022114437	6	-0.4075693501595991	-0.4197381883008333	0.3125	0.5600421348314607	-0.4075693501595991	-0.4197381883008333	6	-0.4396185080470083	0.2346030495507153	0.0609466460666305	0.2003674787558962	0.617549881617568	4	2	0.1759027282024568	-0.4396185080470083	6	6	0.0702809966879881	0.5386095642542073	1.0	True	0.4075693501595991	0.9896907216494846	-0.407569350159599	-1.0410247983333334	0.2148383565	6	2	4	True	17	3	0.17647058823529413	3	0	ENSMUSG00000046352:-1.42; ENSMUSG00000040055:-1.12; ENSMUSG00000050953:-0.56					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.408. True microgravity was -1.226 in dorsal and -0.489 in femoral skin; onboard artificial 1 g was -0.856 in dorsal and +0.786 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.528 (3 lower, 1 higher). Literature role remains complementary because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-1.225724795	-0.4893578336666667	-0.8563248016666667	0.7863020816666667	True	-0.5283236781276561	4.0	1.0	3.0
R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	context_sensitive	Lower broad phase-II node but higher fully nested glutathione-conjugation node	Mao2014;Cope2024	skin	80	71	-1.280434659875	-0.979499250422535	-0.300935409452465	0.0004795947739206	0.0009624252296523	0.0099112933886168	0.0131221031074739	-1.280434659875	-0.979499250422535	-0.300935409452465	6	-0.2548713580596757	-0.2834443328106061	0.0625	0.5600421348314607	-0.2548713580596757	-0.2834443328106061	6	-0.2602349130693811	0.0997349532031332	0.0090736970297451	0.0301460775154785	0.5242491792333195	5	1	0.0919252699310968	-0.2602349130693811	6	6	0.0002746032524625	0.4893989535288366	1.0	True	0.2548713580596757	0.9278350515463918	-0.2548713580596757	-0.5292844630701753	0.1062446360000002	6	1	5	True	29	1	0.034482758620689655	1	0	ENSMUSG00000002797:-0.31					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.255. True microgravity was -0.516 in dorsal and -0.489 in femoral skin; onboard artificial 1 g was -0.292 in dorsal and +0.051 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.304 (4 lower, 0 higher). Literature role remains context sensitive because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin	The broad phase-II node is lower, but its fully nested glutathione-conjugation child is higher and the two scores are strongly anticorrelated; a uniform detoxification direction is not identifiable.	-0.5162130533333332	-0.48859448866666666	-0.2915267033333332	0.050980621666666615	True	-0.30389006061602863	4.0	0.0	4.0
R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	complementary	Lower true-microgravity epithelial and follicular signaling at both MHU-2 sites	Neutelings2015;Cope2024	skin	80	71	-0.221695326025	0.0078533229577464	-0.2295486489827465	0.0108640789305915	0.0087220362535935	0.0427856935661569	0.0394974374231719	0.221695326025	-0.0078533229577464	0.2295486489827465	6	-0.2357627724753543	-0.2220675521886363	0.09375	0.5600421348314607	0.2357627724753543	0.2220675521886363	6	-0.2573221582039167	0.098881326042109	0.0092591842417754	0.0258560432513737	0.446218802017728	5	1	0.0919252699310968	0.2573221582039167	6	6	0.0004502349311133	0.4893989535288366	-1.0	True	0.2357627724753543	0.9106529209621993	-0.23576277247535438	-0.5307611188304093	0.1850119693999999	6	1	5	True	24	4	0.16666666666666666	1	3	ENSMUSG00000022840:+0.45; ENSMUSG00000038119:+0.28; ENSMUSG00000021318:-0.27; ENSMUSG00000018909:+0.25					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.236. True microgravity was -0.632 in dorsal and -0.549 in femoral skin; onboard artificial 1 g was -0.300 in dorsal and +0.118 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.276 (3 lower, 1 higher). Literature role remains complementary because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-0.6317484908333333	-0.548643458	-0.30048449583333336	0.11763734999999992	True	-0.27553191191656695	4.0	1.0	3.0
R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	complementary	Lower true-microgravity barrier-lipid program at both MHU-2 sites	Mao2014;Cope2024	skin	80	71	-0.3295660813875	-0.0448394664225352	-0.2847266149649647	0.0017705599847114	0.0013190124863403	0.0165049617612943	0.014025499438086	0.3295660813875	0.0448394664225352	0.2847266149649647	6	-0.1943057259062245	-0.2337556920694444	0.3125	0.5600421348314607	0.1943057259062245	0.2337556920694444	6	-0.2441598222494588	0.1260856258133779	0.052811337267717	0.0513047142549831	0.5507131092962714	4	2	0.1651648685137424	0.2441598222494588	6	6	0.0277625323429354	0.5172621400681979	-1.0	True	0.1943057259062245	0.8591065292096219	-0.19430572590622455	-0.6464528062923978	0.2024976705	6	2	4	True	28	3	0.10714285714285714	2	1	ENSMUSG00000043461:-1.03; ENSMUSG00000028517:+0.29; ENSMUSG00000030510:-0.26					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.194. True microgravity was -0.444 in dorsal and -0.258 in femoral skin; onboard artificial 1 g was -0.180 in dorsal and +0.507 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.278 (3 lower, 1 higher). Literature role remains complementary because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-0.4440744849999999	-0.25750883083333337	-0.17991808149999994	0.5066604243333332	True	-0.27824572001621817	4.0	1.0	3.0
R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Cytochrome P450	context_sensitive	Higher de-duplicated mean but evenly divided independent cohort directions	Moskaleva2015	liver	101	96	1.5786413729702975	1.7321133656249998	-0.1534719926547023	0.6354210262387774	0.506829086106618	0.7787651634710943	0.650513354159969	1.5786413729702975	1.7321133656249998	-0.1534719926547023	10	0.2391881175291052	0.1001403021505376	0.2411213682774182	0.4159629291610438	0.2391881175291052	0.1001403021505376	10	0.2237336059085543	0.1393322829710794	0.1083276002777143	0.1690816202509439	0.9449394431146412	5	5	0.2154712923556723	0.2237336059085543	10	10	0.1477811612335973	0.4629773307623202	1.0	True	0.2391881175291052	1.0	0.23918811752910524	-0.2893357421052629	1.0071068616666667	10	5	5	True	45	5	0.1111111111111111	2	3	ENSMUSG00000028715:+1.38; ENSMUSG00000005547:-0.77; ENSMUSG00000066072:+0.59; ENSMUSG00000032310:-0.41; ENSMUSG00000032315:-0.23	0.20819970849290573	12.0	6.0	6.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect +0.239 versus original 12-accession effect +0.208; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input	The de-duplicated sources divide 5 higher and 5 lower, so the positive mean is not a common cohort direction.									
R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	aligned	Lower insulin-regulatory program in 9 of 10 de-duplicated cohort sources	Mathyk2024	liver	101	96	-0.3526932814455447	-0.275494387375	-0.0771988940705447	0.0005171912154059	0.0013323898341604	0.0171143274916156	0.0230947571254484	-0.3526932814455447	-0.275494387375	-0.0771988940705447	10	-0.1006466682984334	-0.0929037929166667	0.0166048781037227	0.1888804884298461	-0.1006466682984334	-0.0929037929166667	10	-0.0963709461648841	0.0386647060314596	0.012685503186184	0.0126960052420651	0.9229703990646518	9	1	0.0564320863793911	-0.0963709461648841	10	10	0.001792796539741	0.1185515377091535	1.0	True	0.1006466682984334	0.9364161849710982	-0.10064666829843343	-0.3029010819999999	0.0336680285714285	10	1	9	True	15	0	0.0	0	0		-0.08852267822616684	12.0	1.0	11.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect -0.101 versus original 12-accession effect -0.089; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input										
R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	context_sensitive	Weakly higher de-duplicated mean with heterogeneous directions and metabolite conflict	Kurosawa2021	liver	101	96	-0.7007318184356437	-0.7251974911979167	0.0244656727622729	0.5797412766086275	0.856164236582468	0.7404414901247032	0.8970572631942942	0.7007318184356437	0.7251974911979167	-0.0244656727622729	10	0.0290829136878514	0.0285922537258065	0.3862707203664827	0.5428669583528946	-0.0290829136878514	-0.0285922537258065	10	0.0309443152121347	0.0479683780087807	0.518863538078773	0.0141284601712838	0.6700465351507338	6	4	0.6490251816517985	-0.0309443152121347	10	10	0.2055775926647051	0.9307811924460208	-1.0	True	0.0290829136878514	0.653179190751445	0.029082913687851448	-0.1550617406666664	0.200979479	10	6	4	True	20	1	0.05	1	0	ENSMUSG00000032350:+0.30	0.06434527232233518	12.0	8.0	4.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect +0.029 versus original 12-accession effect +0.064; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input	The effect is small, directions divide 6 higher and 4 lower, and a higher latent score does not match reported lower hepatic glutathione pools.									
R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	complementary	Lower adaptive immune communication in 8 of 10 de-duplicated cohort sources	Shimizu2023;daSilveira2020	liver	101	96	0.6621953569762378	0.8047378543749999	-0.1425424973987621	0.0016177600383437	0.0009365811619899	0.0306439066617158	0.0200538554684902	0.6621953569762378	0.8047378543749999	-0.1425424973987621	10	-0.1601722002417713	-0.1692117655798246	0.0166048781037227	0.1888804884298461	-0.1601722002417713	-0.1692117655798246	10	-0.1589260866838578	0.0430396754128594	0.0002220180274591	0.0108428325496064	0.6937988772857056	8	2	0.0044896978886173	-0.1589260866838578	10	10	0.0002960107716085	0.0339371739864806	1.0	True	0.1601722002417713	0.9884393063583815	-0.16017220024177134	-0.3464363200000001	0.0906669200000001	10	2	8	True	33	8	0.24242424242424243	5	3	ENSMUSG00000058672:+0.88; ENSMUSG00000060586:-0.55; ENSMUSG00000030137:+0.54; ENSMUSG00000024610:-0.46; ENSMUSG00000073421:-0.41	-0.1250478472275798	12.0	3.0	9.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect -0.160 versus original 12-accession effect -0.125; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input										
R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	complementary	Lower adaptive immune signaling in 9 of 10 de-duplicated cohort sources	Shimizu2023;daSilveira2020	liver	101	96	0.6147737816534653	0.7039084960416666	-0.0891347143882013	0.0001561497808344	0.0001127192758783	0.0113677040447503	0.0085528648346097	0.6147737816534653	0.7039084960416666	-0.0891347143882013	10	-0.096550787164733	-0.1073305712499999	0.0069104298078147	0.1888804884298461	-0.096550787164733	-0.1073305712499999	10	-0.0936050181316498	0.021389838995816	1.2079716069381147e-05	0.0024068708050377	0.6028846198506509	9	1	0.000789617412596	-0.0936050181316498	10	10	7.75585502366447e-13	0.00722134554184	1.0	True	0.096550787164733	0.9248554913294798	-0.09655078716473305	-0.1971112933333332	0.0179902483333332	10	1	9	True	17	5	0.29411764705882354	5	0	ENSMUSG00000060586:-0.55; ENSMUSG00000026395:-0.47; ENSMUSG00000073421:-0.41; ENSMUSG00000023274:-0.37; ENSMUSG00000002699:-0.28	-0.07704941725817004	12.0	2.0	10.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect -0.097 versus original 12-accession effect -0.077; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input										
R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	complementary	Lower mechanosensitive cytoskeletal program in 9 of 10 de-duplicated cohort sources	Li2026;Jonscher2016	liver	101	96	-0.6473909607425744	-0.518069684125	-0.1293212766175744	0.0006405325854753	0.000542340025602	0.0194294884260841	0.0153270860210108	0.6473909607425744	0.518069684125	0.1293212766175744	10	-0.1305615628553439	-0.1291698964956139	0.0125153186900739	0.1888804884298461	0.1305615628553439	0.1291698964956139	10	-0.1303059265327812	0.0361659735746978	0.0003145680813401	0.0091695391095497	0.7883060019382301	9	1	0.0057251390803909	0.1303059265327812	10	10	0.0014749940102085	0.0316035820212012	-1.0	True	0.1305615628553439	0.9739884393063584	-0.13056156285534395	-0.3035664866666667	0.0662251978571428	10	1	9	True	126	8	0.06349206349206349	7	1	ENSMUSG00000015340:-0.40; ENSMUSG00000024013:-0.39; ENSMUSG00000020143:-0.39; ENSMUSG00000015950:-0.35; ENSMUSG00000022488:-0.32	-0.10287747431862358	12.0	2.0	10.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect -0.131 versus original 12-accession effect -0.103; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input										
R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	context_sensitive	Predominantly lower coordinated matrix-organization and maintenance program after de-duplication	Jonscher2016;Grandke2026	liver	101	96	-2.4429142732673266	-2.376976034375	-0.0659382388923268	0.1629134565305283	0.0456245919606922	0.3312876993134767	0.1537717729045555	-2.4429142732673266	-2.376976034375	-0.0659382388923268	10	-0.1103106972647077	-0.1106960333333333	0.0284168641748637	0.2110967052989878	-0.1103106972647077	-0.1106960333333333	10	-0.1148648585731671	0.0401106743073503	0.0041872699739653	0.0090774015920622	0.6239770412899719	7	3	0.0282310750974464	-0.1148648585731671	10	10	0.0089819104341299	0.0888317263479859	1.0	True	0.1103106972647077	0.9566473988439307	-0.1103106972647077	-0.3284467200000005	0.0508834161290319	10	3	7	True	123	6	0.04878048780487805	6	0	ENSMUSG00000027009:-0.44; ENSMUSG00000001281:-0.42; ENSMUSG00000037411:-0.39; ENSMUSG00000030830:-0.38; ENSMUSG00000038642:-0.33	-0.09833360699275089	12.0	4.0	8.0	De-duplicated 10-accession remap; overlapping OSD-164 and OSD-168 excluded	De-duplicated effect -0.110 versus original 12-accession effect -0.098; direction preserved. Evidence role is based on the de-duplicated primary result and literature review.	Direction Preserved relative to the original 12-accession input	Seven of 10 sources are lower and the negative effects are larger than the three positive effects. This suggests reduced coordinated matrix organization or maintenance, not lower total matrix abundance or absence of remodeling.									
R-MMU-390522_STRIATED_MUSCLE_CONTRACTION	Striated-muscle contraction	context_sensitive	Contractile direction changes in the restricted sensitivity	Gambara2017;Tascher2017;Tsuji2026	soleus	28	25	2.014172475	1.882607052	0.1315654229999996	0.2532001465042339	0.9644711462440768	0.4687292501345596	0.9753999977595904	-2.014172475	-1.882607052	-0.1315654229999996	3	0.0901879572222222	-0.1370443000000003	1.0	1.0	-0.0901879572222222	0.1370443000000003	3	0.013586936418867	0.1654576926182673	0.934553448493256	0.066348860406031	0.8686497775189616	1	2	0.9908192153252288	-0.013586936418867	3	2	0.0094360022379961	0.891922249123955	-1.0	True	0.0901879572222222	0.847457627118644	-0.19364735999999988	-0.2502504199999995	-0.1370443000000003	2	0	2	False	29	8	0.27586206896551724	5	3	ENSMUSG00000006457:+2.55; ENSMUSG00000013936:-1.09; ENSMUSG00000038670:+0.97; ENSMUSG00000091898:-0.63; ENSMUSG00000064179:-0.62					Study-balanced flight versus ground control		Direction changed after excluding OSD-714	The all-accession increase changes to a decrease after excluding condition-strain-confounded OSD-714.									
R-MMU-8978868_FATTY_ACID_METABOLISM	Fatty-acid metabolism	context_sensitive	Metabolic direction changes in the restricted sensitivity	Tascher2017;Mathyk2024	soleus	28	25	0.0301303092857142	0.3403026272	-0.3101723179142857	0.0845475259353627	0.6368114983028872	0.2404409125812775	0.8237018293265606	0.0301303092857142	0.3403026272	-0.3101723179142857	3	-0.198262297574074	0.0828614899999999	1.0	1.0	-0.198262297574074	0.0828614899999999	3	-0.1594473776113214	0.2712296176629833	0.5566204891533859	0.1984900485749214	0.9204462458013914	1	2	0.8526672287574009	-0.1594473776113214	3	2	0.1181431389863737	0.8660549902450211	1.0	True	0.198262297574074	0.9694915254237289	0.16967062849999992	0.0828614899999999	0.2564797669999999	2	2	0	False	46	8	0.17391304347826086	7	1	ENSMUSG00000034853:-1.28; ENSMUSG00000022040:-1.21; ENSMUSG00000036880:-1.05; ENSMUSG00000033715:-0.73; ENSMUSG00000026385:-0.52					Study-balanced flight versus ground control		Direction changed after excluding OSD-714	The all-accession decrease changes to an increase after excluding condition-strain-confounded OSD-714.									
R-MMU-168256_IMMUNE_SYSTEM	Immune-system signaling	context_sensitive	Inflammatory signal attenuates in the restricted sensitivity	Gambara2017	soleus	28	25	-5.824238092857144	-6.378966719999999	0.5547286271428558	0.0114755822422008	0.057754751132433	0.0999215331820903	0.2749126153903814	-5.824238092857144	-6.378966719999999	0.5547286271428558	3	0.4354141866666667	0.1201813666666655	0.5929800980174267	0.8334405314654383	0.4354141866666667	0.1201813666666655	3	0.3781042031096455	0.3374775901058398	0.2625505251931922	0.2977193763895427	0.8944013661481217	2	1	0.6769340235166685	0.3781042031096455	3	2	0.7144497762025248	0.9679962222302182	1.0	True	0.4354141866666667	1.0	-0.0202792616666665	-0.1607398899999985	0.1201813666666655	2	1	1	False	514	19	0.03696498054474708	5	14	ENSMUSG00000020340:-1.96; ENSMUSG00000018774:+1.77; ENSMUSG00000026822:+1.66; ENSMUSG00000022358:-1.28; ENSMUSG00000031519:+1.19					Study-balanced flight versus ground control		Direction changed after excluding OSD-714	The all-accession increase attenuates and changes sign after excluding condition-strain-confounded OSD-714.									
R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Cytokine signaling	context_sensitive	Study-consistent decrease conflicts with prior inflammatory direction	Sandona2012;Gambara2017	soleus	28	25	0.1905670643428571	0.25768350284	-0.0671164384971428	0.2926401146086944	0.3682375982466956	0.5121202005652151	0.654033943154579	0.1905670643428571	0.25768350284	-0.0671164384971428	3	-0.0789358253648148	-0.0862269255	0.1088094300405456	0.3630370703221944	-0.0789358253648148	-0.0862269255	3	-0.0928755242387757	0.044329858846248	0.0361620298309111	0.0	0.0	3	0	0.2305329401720584	-0.0928755242387757	3	3	0.1113420543084557	0.709643006675213	1.0	True	0.0789358253648148	0.8338983050847457	-0.1036905960333333	-0.1211542665666666	-0.0862269255	2	0	2	True	117	2	0.017094017094017096	1	1	ENSMUSG00000034457:+1.17; ENSMUSG00000020623:-0.91					Study-balanced flight versus ground control		Direction preserved after excluding OSD-714	All three accessions are lower, but that direction conflicts with increased inflammatory signaling reported in some prior soleus studies.									
R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Extracellular matrix degradation	complementary	Increased matrix turnover	Tascher2017;Murgia2024	soleus	28	25	-1.3287113642857142	-1.5263921159999998	0.1976807517142855	0.0102798824096496	0.0142897990606152	0.0917479505061229	0.1244258113326739	1.3287113642857142	1.5263921159999998	-0.1976807517142855	3	0.1676931753703702	0.2278257899999998	0.1088094300405456	0.3630370703221944	-0.1676931753703702	-0.2278257899999998	3	0.1533678112388201	0.0949480984363351	0.1062499660790155	0.0220203672748665	0.8518851636479252	3	0	0.413389732365466	-0.1533678112388201	3	3	0.0001742399153159	0.84717025441062	-1.0	True	0.1676931753703702	0.9423728813559322	0.11411779499999986	0.0004097999999999	0.2278257899999998	2	2	0	True	60	2	0.03333333333333333	0	2	ENSMUSG00000031274:-0.79; ENSMUSG00000021477:-0.42					Study-balanced flight versus ground control		Direction preserved after excluding OSD-714										
R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	Glycosaminoglycan metabolism	complementary	Altered muscle-support matrix	Tascher2017;Murgia2024	soleus	28	25	0.4184175017142856	0.51677009056	-0.0983525888457143	0.2862749957142208	0.2972638788342153	0.5084585744774966	0.6029727542262209	0.4184175017142856	0.51677009056	-0.0983525888457143	3	-0.1173810345407407	-0.1648426905555555	0.1088094300405456	0.3630370703221944	-0.1173810345407407	-0.1648426905555555	3	-0.1140869113999447	0.0554492241769129	0.0396379250309271	0.0040420299038582	0.4378757963394292	3	0	0.2398430378989996	-0.1140869113999447	3	3	0.0167783244036051	0.7796261380357679	1.0	True	0.1173810345407407	0.9016949152542373	-0.0936502065333333	-0.1756566094	-0.0116438036666666	2	0	2	True	39	1	0.02564102564102564	1	0	ENSMUSG00000021477:-0.42					Study-balanced flight versus ground control		Direction preserved after excluding OSD-714										
R-MMU-73894_DNA_REPAIR	DNA repair	complementary	Cellular stress response	Gambara2017;Tascher2017	soleus	28	25	-1.3065003057142857	-1.481250644	0.1747503382857143	0.0207344716565943	0.0733494265149191	0.1233701063567364	0.3252255986237027	-1.3065003057142857	-1.481250644	0.1747503382857143	3	0.1401184675925924	0.0492254666666664	0.1088094300405456	0.3630370703221944	0.1401184675925924	0.0492254666666664	3	0.0691501131771465	0.0361017208981178	0.0554384156910994	0.0020882531557724	0.6032843809992653	3	0	0.2868335420539492	0.0691501131771465	3	3	0.0623806211189794	0.6840772447826406	1.0	True	0.1401184675925924	0.9254237288135593	0.047875148333333103	0.0465248299999998	0.0492254666666664	2	2	0	True	44	3	0.06818181818181818	2	1	ENSMUSG00000037474:+0.86; ENSMUSG00000010461:+0.62; ENSMUSG00000034206:-0.59					Study-balanced flight versus ground control		Direction preserved after excluding OSD-714										
