tissue	term	screen_display_label	candidate_reason	absolute_effect_rank_active	within_tissue_magnitude_percentile	mean_accession_effect	primary_direction_accessions	primary_direction_agreement	sensitivity_analysis	sensitivity_effect	sensitivity_direction_preserved	sensitivity_magnitude_ratio	meta_fdr	maximum_leave_one_out_fdr	pathway_genes_measured	pathway_genes_pooled_fdr_lt_005	pathway_gene_support_fraction	significant_genes_same_direction	significant_genes_opposite_direction	opposite_nested_program	opposite_nested_terms	maximum_opposite_nested_overlap_coefficient	family_id	process_family	family_literature_role	family_narrative_decision	family_representative	pathway_review_disposition	family_synthesis	family_supporting_references	family_caution	curated_for_main_figures	evidence_role
liver	R-MMU-69278_CELL_CYCLE_MITOTIC	Cell Cycle Mitotic	top_decile_magnitude	11.0	0.9710982658959536	-0.1282360064769583	7	0.7	original 12-accession input	-0.0775800316984217	True	0.6049785378520925	0.1743976710776991	0.3628806566835988	125	7	0.056	3	4	False			proliferation_repair	Proliferation and homology-directed repair	context_sensitive	supplement_only	False	family_support_or_redundant_child	Mitotic, broad cell-cycle, and homology-directed-repair programs are lower, but this family is not a prespecified hepatic spaceflight phenotype.	22	The pattern may reflect cell composition or proliferative state and lacks direct liver-specific functional validation.	False	
liver	R-MMU-9033241_PEROXISOMAL_PROTEIN_IMPORT	Peroxisomal Protein Import	top_decile_magnitude	12.0	0.9682080924855492	0.1263798174793474	6	0.6	original 12-accession input	0.1014803467246564	True	0.8029790574847128	0.2017621423047885	0.4336336166213718	18	0	0.0	0	0	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-1640170_CELL_CYCLE	Cell Cycle	top_decile_magnitude	13.0	0.9653179190751444	-0.1261143547169401	7	0.7	original 12-accession input	-0.0804419998191268	True	0.6378496722254692	0.1736605944381043	0.3486266562790948	135	7	0.05185185185185185	3	4	False			proliferation_repair	Proliferation and homology-directed repair	context_sensitive	supplement_only	False	family_support_or_redundant_child	Mitotic, broad cell-cycle, and homology-directed-repair programs are lower, but this family is not a prespecified hepatic spaceflight phenotype.	22	The pattern may reflect cell composition or proliferative state and lacks direct liver-specific functional validation.	False	
liver	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	Homology Directed Repair	top_decile_magnitude;stable_rank_40_extension	14.0	0.96242774566474	-0.1245371725252512	8	0.8	original 12-accession input	-0.0860511353876515	True	0.6909674729463103	0.0935101962987813	0.2682738597300783	27	0	0.0	0	0	False			proliferation_repair	Proliferation and homology-directed repair	context_sensitive	supplement_only	True	representative	Mitotic, broad cell-cycle, and homology-directed-repair programs are lower, but this family is not a prespecified hepatic spaceflight phenotype.	22	The pattern may reflect cell composition or proliferative state and lacks direct liver-specific functional validation.	False	
liver	R-MMU-5576891_CARDIAC_CONDUCTION	Cardiac Conduction	top_decile_magnitude;stable_rank_40_extension	15.0	0.9595375722543352	-0.1144005837917067	9	0.9	original 12-accession input	-0.1016613324689796	True	0.8886434762787406	0.0194415601639683	0.0984855216674575	18	0	0.0	0	0	False			off_context	Tissue-incongruent labels	not_interpretable	exclude	True	representative	Cardiac-conduction and neuronal-system labels do not provide credible liver-specific pathway interpretations.		Shared ion-channel or receptor genes can generate these labels without cardiac or neuronal tissue activity.	False	
liver	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	top_decile_magnitude;prespecified_main_review	16.0	0.9566473988439308	-0.1103106972647077	7	0.7	original 12-accession input	-0.0983336069927508	True	0.8914240362091448	0.0282310750974464	0.0888317263479859	123	6	0.04878048780487805	6	0	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	True	context_sensitive
liver	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Response To Elevated Platelet Cytosolic Ca2	top_decile_magnitude;stable_rank_40_extension	17.0	0.953757225433526	-0.1080153686450265	8	0.8	original 12-accession input	-0.0790439992024865	True	0.7317847468747776	0.0807823695446058	0.2071499546544335	69	1	0.014492753623188406	1	0	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	False	
liver	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	Pip3 Activates Akt Signaling	top_decile_magnitude;stable_rank_40_extension	18.0	0.9508670520231214	0.1056429128768187	8	0.8	original 12-accession input	0.0932107165346211	True	0.8823186903536658	0.1163385807478663	0.2877877117337174	47	3	0.06382978723404255	1	2	True	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.0	lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	Class I MHC Mediated Antigen Processing Presentation	top_decile_magnitude;stable_rank_40_extension	19.0	0.9479768786127168	-0.1046879379651548	8	0.8	original 12-accession input	-0.0801100438708262	True	0.7652270684468987	0.0044896978886173	0.0242040321602843	43	3	0.06976744186046512	3	0	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	False	
liver	R-MMU-195258_RHO_GTPASE_EFFECTORS	Rho GTPase Effectors	top_decile_magnitude	20.0	0.9450867052023122	-0.104636348117104	6	0.6	original 12-accession input	-0.0404303561176491	True	0.38638921221143324	0.0867103930589169	0.252839001055597	70	7	0.1	4	3	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	False	
liver	R-MMU-194138_SIGNALING_BY_VEGF	Signaling By Vegf	top_decile_magnitude;stable_rank_40_extension	21.0	0.9421965317919077	-0.1031761042422845	9	0.9	original 12-accession input	-0.0987742806516177	True	0.9573367920508981	0.0074591066589462	0.0433976047320967	40	4	0.1	4	0	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	False	
liver	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	Signaling By Interleukins	top_decile_magnitude;stable_rank_40_extension	22.0	0.9393063583815028	-0.1009809653675101	8	0.8	original 12-accession input	-0.0780081305329542	True	0.7725033153431583	0.001418434562139	0.0123868034187135	66	11	0.16666666666666666	10	1	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	False	
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	top_decile_magnitude;stable_rank_40_extension;prespecified_main_review	23.0	0.9364161849710982	-0.1006466682984334	9	0.9	original 12-accession input	-0.0885226782261668	True	0.8795390818470311	0.0564320863793911	0.1185515377091535	15	0	0.0	0	0	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	True	representative	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	True	aligned
liver	R-MMU-9837999_MITOCHONDRIAL_PROTEIN_DEGRADATION	Mitochondrial Protein Degradation	top_decile_magnitude	24.0	0.9335260115606936	0.1001235782443053	6	0.6	original 12-accession input	0.0886246235054934	True	0.8851523792851868	0.0991310185341134	0.2537530681029809	16	1	0.0625	1	0	False			trafficking_proteostasis	Organelle trafficking and proteostasis	context_sensitive	supplement_only	False	family_support_or_redundant_child	Lower COPI trafficking contrasts with higher mitochondrial-protein degradation and neddylation scores, providing no coherent family-wide direction.	22	These broad latent programs overlap many cell types and are not direct measurements of organelle flux or protein turnover.	False	
liver	R-MMU-8951664_NEDDYLATION	Neddylation	top_decile_magnitude	25.0	0.930635838150289	0.0999127260546392	7	0.7	original 12-accession input	0.0720028296865386	True	0.7206572428737702	0.0744511440608986	0.2146953855803426	16	0	0.0	0	0	False			trafficking_proteostasis	Organelle trafficking and proteostasis	context_sensitive	supplement_only	False	family_support_or_redundant_child	Lower COPI trafficking contrasts with higher mitochondrial-protein degradation and neddylation scores, providing no coherent family-wide direction.	22	These broad latent programs overlap many cell types and are not direct measurements of organelle flux or protein turnover.	False	
liver	R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	Cholesterol Biosynthesis	top_decile_magnitude	26.0	0.9277456647398844	-0.0993096931034738	6	0.6	original 12-accession input	-0.0614488249376009	True	0.6187595894952116	0.5544337682476047	0.8749128221257797	20	0	0.0	0	0	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	top_decile_magnitude;stable_rank_40_extension;prespecified_main_review	27.0	0.9248554913294798	-0.096550787164733	9	0.9	original 12-accession input	-0.07704941725817	True	0.7980195658758311	0.000789617412596	0.00722134554184	17	5	0.29411764705882354	5	0	False			immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	False	family_support_or_redundant_child	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	True	complementary
liver	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	top_decile_magnitude;stable_rank_40_extension	28.0	0.9219653179190752	-0.0960492505009574	9	0.9	original 12-accession input	-0.0758370738174265	True	0.789564451798305	0.0013020221973088	0.0205115785370526	44	6	0.13636363636363635	5	1	False			broad_receptor_signaling	Broad receptor and stress signaling	not_interpretable	exclude	False	excluded_tissue_incongruent_or_nonspecific	Umbrella receptor, second-messenger, and stimulus-response terms are too broad to support a distinct hepatic mechanism.	21;22	The constituent receptors and responding cell populations are unresolved.	False	
liver	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	Intracellular Signaling By Second Messengers	top_decile_magnitude	29.0	0.9190751445086706	-0.0957928382470234	7	0.7	original 12-accession input	-0.0957514273506873	True	0.9995677036290613	0.0573309978098743	0.2344394418977781	53	4	0.07547169811320754	3	1	True	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	1.0	broad_receptor_signaling	Broad receptor and stress signaling	not_interpretable	exclude	False	excluded_tissue_incongruent_or_nonspecific	Umbrella receptor, second-messenger, and stimulus-response terms are too broad to support a distinct hepatic mechanism.	21;22	The constituent receptors and responding cell populations are unresolved.	False	
liver	R-MMU-9757110_PREDNISONE_ADME	Prednisone Adme	top_decile_magnitude	30.0	0.916184971098266	-0.0956060495636214	7	0.7	original 12-accession input	-0.0912985977153446	True	0.9549458233245963	0.0476836550070384	0.1575031394675297	26	1	0.038461538461538464	1	0	False			xenobiotic_redox	Xenobiotic and redox metabolism	context_sensitive	existing_context	False	family_support_or_redundant_child	Known hepatic xenobiotic biology is recovered, but CYP, biological-oxidation, drug-specific ADME, and glutathione terms do not define one uniform direction.	17;19;20	CYP directions split by cohort, prednisone is exposure-specific, and glutathione score does not measure hepatic glutathione abundance.	False	
liver	R-MMU-3000178_ECM_PROTEOGLYCANS	ECM Proteoglycans	top_decile_magnitude;stable_rank_40_extension	31.0	0.9132947976878611	-0.0955677224403534	8	0.8	original 12-accession input	-0.0969064922032803	True	1.014008597555126	0.0045433483110257	0.0220616732209037	25	1	0.04	1	0	False			matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	False	family_support_or_redundant_child	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	False	
liver	R-MMU-372790_SIGNALING_BY_GPCR	Signaling By GPCR	top_decile_magnitude;stable_rank_40_extension	32.0	0.9104046242774566	-0.095428292642062	8	0.8	original 12-accession input	-0.0699895185575385	True	0.7334252412967218	0.0826118624627909	0.216528334475707	136	11	0.08088235294117647	9	2	False			broad_receptor_signaling	Broad receptor and stress signaling	not_interpretable	exclude	True	representative	Umbrella receptor, second-messenger, and stimulus-response terms are too broad to support a distinct hepatic mechanism.	21;22	The constituent receptors and responding cell populations are unresolved.	False	
liver	R-MMU-211859_BIOLOGICAL_OXIDATIONS	Biological Oxidations	top_decile_magnitude	33.0	0.907514450867052	0.0918900714444309	7	0.7	original 12-accession input	0.0905863771449457	True	0.9858124574397182	0.0957751091271683	0.2226052790744502	113	6	0.05309734513274336	3	3	False			xenobiotic_redox	Xenobiotic and redox metabolism	context_sensitive	existing_context	False	family_support_or_redundant_child	Known hepatic xenobiotic biology is recovered, but CYP, biological-oxidation, drug-specific ADME, and glutathione terms do not define one uniform direction.	17;19;20	CYP directions split by cohort, prednisone is exposure-specific, and glutathione score does not measure hepatic glutathione abundance.	False	
liver	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	Glycerophospholipid Biosynthesis	top_decile_magnitude	34.0	0.9046242774566474	0.0914451494642846	7	0.7	original 12-accession input	0.0665725993465539	True	0.7280058016915913	0.0991310185341134	0.2682738597300783	29	1	0.034482758620689655	1	0	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	Toll Like Receptor Cascades	top_decile_magnitude	35.0	0.9017341040462428	-0.0906408825270663	7	0.7	original 12-accession input	-0.0651328786263878	True	0.7185816908494734	0.1067479645967953	0.2682738597300783	41	2	0.04878048780487805	2	0	True	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	1.0	toll_like	Toll-like receptor branches	context_sensitive	supplement_only	False	family_support_or_redundant_child	The TLR4-specific node is higher while the broad Toll-like-receptor node is lower, so the expanded screen does not support a pathway-wide TLR direction.	18;22	The TLR4 genes are fully nested within the broad TLR set; opposite latent directions may reflect branch allocation or correlated-decoder competition rather than selective pathway activation.	False	
liver	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	Cellular Responses To Stimuli	stable_rank_40_extension	36.0	0.8988439306358381	0.0900018509880884	8	0.8	original 12-accession input	0.0910546637338979	True	1.0116976788171705	0.0389125449890023	0.1190121445265924	141	10	0.07092198581560284	5	5	False			broad_receptor_signaling	Broad receptor and stress signaling	not_interpretable	exclude	False	excluded_tissue_incongruent_or_nonspecific	Umbrella receptor, second-messenger, and stimulus-response terms are too broad to support a distinct hepatic mechanism.	21;22	The constituent receptors and responding cell populations are unresolved.	False	
liver	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Binding And Uptake Of Ligands By Scavenger Receptors	stable_rank_40_extension	38.0	0.8930635838150289	-0.0869364382487017	9	0.9	original 12-accession input	-0.0738225431381943	True	0.8491553671316497	0.0224570906923497	0.0913460030648165	28	2	0.07142857142857142	2	0	False			lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	False	family_support_or_redundant_child	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	False	
liver	R-MMU-112316_NEURONAL_SYSTEM	Neuronal System	stable_rank_40_extension	39.0	0.8901734104046243	-0.0853351684769045	8	0.8	original 12-accession input	-0.063930833971005	True	0.7491733491837839	0.0194415601639683	0.147587893045952	47	3	0.06382978723404255	3	0	False			off_context	Tissue-incongruent labels	not_interpretable	exclude	False	excluded_tissue_incongruent_or_nonspecific	Cardiac-conduction and neuronal-system labels do not provide credible liver-specific pathway interpretations.		Shared ion-channel or receptor genes can generate these labels without cardiac or neuronal tissue activity.	False	
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	prespecified_main_review	121.0	0.653179190751445	0.0290829136878514	6	0.6	original 12-accession input	0.0643452723223351	True	2.2124768175897587	0.6490251816517985	0.9307811924460208	20	1	0.05	1	0	False			xenobiotic_redox	Xenobiotic and redox metabolism	context_sensitive	existing_context	False	family_support_or_redundant_child	Known hepatic xenobiotic biology is recovered, but CYP, biological-oxidation, drug-specific ADME, and glutathione terms do not define one uniform direction.	17;19;20	CYP directions split by cohort, prednisone is exposure-specific, and glutathione score does not measure hepatic glutathione abundance.	True	context_sensitive
skin	R-MMU-6805567_KERATINIZATION	Keratinization	top_decile_magnitude;stable_rank_40_extension;prespecified_main_review	1.0	1.0	-1.220864622405193	5	0.8333333333333334	four-project paired-site balance	-1.483945117925971	True	1.2154870332817822	0.0965949315262795	0.4893989535288366	70	13	0.18571428571428572	13	0	False			epidermal_development	Epidermal differentiation and regeneration	aligned	existing_core_axis	True	representative	Lower keratinization, developmental, Hedgehog, and neural-development programs support reduced epidermal differentiation and regenerative-niche activity.	12;13;15	The broad developmental term combines multiple compartments, and sphingolipid score is not a direct ceramide measurement.	True	aligned
