human_symbol	human_ensembl_gene	human_symbol_biomart	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id
SLC5A6	ENSG00000138074	SLC5A6	ENSMUSG00000006641	Slc5a6	ortholog_one2one	82.5197
RBKS	ENSG00000171174	RBKS	ENSMUSG00000029136	Rbks	ortholog_one2one	86.3354
FEZ2	ENSG00000171055	FEZ2	ENSMUSG00000056121	Fez2	ortholog_one2one	75.3541
CEBPZ	ENSG00000115816	CEBPZ	ENSMUSG00000024081	Cebpz	ortholog_one2one	81.5939
MSH6	ENSG00000116062	MSH6	ENSMUSG00000005370	Msh6	ortholog_one2one	85.4412
FBXO11	ENSG00000138081	FBXO11	ENSMUSG00000005371	Fbxo11	ortholog_one2one	98.8134
SLC1A4	ENSG00000115902	SLC1A4	ENSMUSG00000020142	Slc1a4	ortholog_one2one	89.8496
SPRED2	ENSG00000198369	SPRED2	ENSMUSG00000045671	Spred2	ortholog_one2one	92.1053
GFPT1	ENSG00000198380	GFPT1	ENSMUSG00000029992	Gfpt1	ortholog_one2one	96.5665
SPR	ENSG00000116096	SPR	ENSMUSG00000033735	Spr	ortholog_one2one	74.7126
DUSP11	ENSG00000144048	DUSP11	ENSMUSG00000030002	Dusp11	ortholog_one2one	68.7879
STAMBP	ENSG00000124356	STAMBP	ENSMUSG00000006906	Stambp	ortholog_one2one	83.4906
MTHFD2	ENSG00000065911	MTHFD2	ENSMUSG00000005667	Mthfd2	ortholog_one2one	92.0
MRPL19	ENSG00000115364	MRPL19	ENSMUSG00000030045	Mrpl19	ortholog_one2one	81.5069
MAT2A	ENSG00000168906	MAT2A	ENSMUSG00000053907	Mat2a	ortholog_one2one	99.4937
ST3GAL5	ENSG00000115525	ST3GAL5	ENSMUSG00000056091	St3gal5	ortholog_one2one	83.0144
KDM3A	ENSG00000115548	KDM3A	ENSMUSG00000053470	Kdm3a	ortholog_one2one	91.5216
RPIA	ENSG00000153574	RPIA	ENSMUSG00000053604	Rpia	ortholog_one2one	88.746
TXNDC9	ENSG00000115514	TXNDC9	ENSMUSG00000058407	Txndc9	ortholog_one2one	89.823
MAP4K4	ENSG00000071054	MAP4K4	ENSMUSG00000026074	Map4k4	ortholog_one2one	87.7168
FHL2	ENSG00000115641	FHL2	ENSMUSG00000008136	Fhl2	ortholog_one2one	92.1147
NCK2	ENSG00000071051	NCK2	ENSMUSG00000066877	Nck2	ortholog_one2one	96.0526
IL1B	ENSG00000125538	IL1B	ENSMUSG00000027398	Il1b	ortholog_one2one	67.658
PAX8	ENSG00000125618	PAX8	ENSMUSG00000026976	Pax8	ortholog_one2one	98.2222
RALB	ENSG00000144118	RALB	ENSMUSG00000004451	Ralb	ortholog_one2one	95.1456
GLI2	ENSG00000074047	GLI2	ENSMUSG00000048402	Gli2	ortholog_one2one	82.9828
CXCR4	ENSG00000121966	CXCR4	ENSMUSG00000045382	Cxcr4	ortholog_one2one	91.1932
KIF5C	ENSG00000168280	KIF5C	ENSMUSG00000026764	Kif5c	ortholog_one2one	98.2236
HAT1	ENSG00000128708	HAT1	ENSMUSG00000027018	Hat1	ortholog_one2one	92.6014
CHN1	ENSG00000128656	CHN1	ENSMUSG00000056486	Chn1	ortholog_one2one	96.2963
NFE2L2	ENSG00000116044	NFE2L2	ENSMUSG00000015839	Nfe2l2	ortholog_one2one	80.9917
INPP1	ENSG00000151689	INPP1	ENSMUSG00000026102	Inpp1	ortholog_one2one	79.198
STAT1	ENSG00000115415	STAT1	ENSMUSG00000026104	Stat1	ortholog_one2one	93.4667
HSPD1	ENSG00000144381	HSPD1	ENSMUSG00000025980	Hspd1	ortholog_one2one	97.5567
CFLAR	ENSG00000003402	CFLAR	ENSMUSG00000026031	Cflar	ortholog_one2one	65.8333
TRAK2	ENSG00000115993	TRAK2	ENSMUSG00000026028	Trak2	ortholog_one2one	87.5274
FZD7	ENSG00000155760	FZD7	ENSMUSG00000041075	Fzd7	ortholog_one2one	96.3415
CREB1	ENSG00000118260	CREB1	ENSMUSG00000025958	Creb1	ortholog_one2one	99.6942
PECR	ENSG00000115425	PECR	ENSMUSG00000026189	Pecr	ortholog_one2one	70.6271
ABCB6	ENSG00000115657	ABCB6	ENSMUSG00000026198	Abcb6	ortholog_one2one	88.9549
DNAJB2	ENSG00000135924	DNAJB2	ENSMUSG00000026203	Dnajb2	ortholog_one2one	75.0
CAB39	ENSG00000135932	CAB39	ENSMUSG00000036707	Cab39	ortholog_one2one	99.1202
ARL4C	ENSG00000188042	ARL4C	ENSMUSG00000049866	Arl4c	ortholog_one2one	95.5224
GPC1	ENSG00000063660	GPC1	ENSMUSG00000034220	Gpc1	ortholog_one2one	88.5305
STK25	ENSG00000115694	STK25	ENSMUSG00000026277	Stk25	ortholog_one2one	98.8263
BHLHE40	ENSG00000134107	BHLHE40	ENSMUSG00000030103	Bhlhe40	ortholog_one2one	90.2913
EDEM1	ENSG00000134109	EDEM1	ENSMUSG00000030104	Edem1	ortholog_one2one	92.0852
TATDN2	ENSG00000157014	TATDN2	ENSMUSG00000056952	Tatdn2	ortholog_one2one	73.7188
VGLL4	ENSG00000144560	VGLL4	ENSMUSG00000030315	Vgll4	ortholog_one2one	88.8513
PPARG	ENSG00000132170	PPARG	ENSMUSG00000000440	Pparg	ortholog_one2one	98.3158
TSEN2	ENSG00000154743	TSEN2	ENSMUSG00000042389	Tsen2	ortholog_one2one	67.5269
SH3BP5	ENSG00000131370	SH3BP5	ENSMUSG00000021892	Sh3bp5	ortholog_one2one	92.5275
SATB1	ENSG00000182568	SATB1	ENSMUSG00000023927	Satb1	ortholog_one2one	98.2962
TGFBR2	ENSG00000163513	TGFBR2	ENSMUSG00000032440	Tgfbr2	ortholog_one2one	92.2399
CRTAP	ENSG00000170275	CRTAP	ENSMUSG00000032431	Crtap	ortholog_one2one	88.5287
ACAA1	ENSG00000060971	ACAA1	ENSMUSG00000036138	Acaa1a	ortholog_one2many	85.6132
ACAA1	ENSG00000060971	ACAA1	ENSMUSG00000010651	Acaa1b	ortholog_one2many	85.8491
OXSR1	ENSG00000172939	OXSR1	ENSMUSG00000036737	Oxsr1	ortholog_one2one	95.8254
ANO10	ENSG00000160746	ANO10	ENSMUSG00000037949	Ano10	ortholog_one2one	91.5152
SACM1L	ENSG00000211456	SACM1L	ENSMUSG00000025240	Sacm1l	ortholog_one2one	95.0596
SMARCC1	ENSG00000173473	SMARCC1	ENSMUSG00000032481	Smarcc1	ortholog_one2one	93.0317
CDC25A	ENSG00000164045	CDC25A	ENSMUSG00000032477	Cdc25a	ortholog_one2one	84.542
P4HTM	ENSG00000178467	P4HTM	ENSMUSG00000006675	P4htm	ortholog_one2one	91.2351
RHOA	ENSG00000067560	RHOA	ENSMUSG00000007815	Rhoa	ortholog_one2one	99.4819
TCTA	ENSG00000145022	TCTA	ENSMUSG00000039461	Tcta	ortholog_one2one	91.2621
DAG1	ENSG00000173402	DAG1	ENSMUSG00000039952	Dag1	ortholog_one2one	93.1844
RBM6	ENSG00000004534	RBM6	ENSMUSG00000032582	Rbm6	ortholog_one2one	88.8691
GNAI2	ENSG00000114353	GNAI2	ENSMUSG00000032562	Gnai2	ortholog_one2one	98.3099
IFRD2	ENSG00000214706	IFRD2	ENSMUSG00000010048	Ifrd2	ortholog_one2one	87.7828
NPRL2	ENSG00000114388	NPRL2	ENSMUSG00000010057	Nprl2	ortholog_one2one	98.4211
MAPKAPK3	ENSG00000114738	MAPKAPK3	ENSMUSG00000032577	Mapkapk3	ortholog_one2one	94.7644
ALAS1	ENSG00000023330	ALAS1	ENSMUSG00000032786	Alas1	ortholog_one2one	91.0938
TWF2	ENSG00000247596	TWF2	ENSMUSG00000023277	Twf2	ortholog_one2one	96.5616
NISCH	ENSG00000010322	NISCH	ENSMUSG00000021910	Nisch	ortholog_one2one	89.2287
NT5DC2	ENSG00000168268	NT5DC2	ENSMUSG00000071547	Nt5dc2	ortholog_one2one	95.5117
TMEM110	ENSG00000213533	STIMATE	ENSMUSG00000006526	Stimate	ortholog_one2one	95.5782
PRKCD	ENSG00000163932	PRKCD	ENSMUSG00000021948	Prkcd	ortholog_one2one	90.3846
ABHD6	ENSG00000163686	ABHD6	ENSMUSG00000025277	Abhd6	ortholog_one2one	93.7685
EPHA3	ENSG00000044524	EPHA3	ENSMUSG00000052504	Epha3	ortholog_one2one	96.5412
PROS1	ENSG00000184500	PROS1	ENSMUSG00000022912	Pros1	ortholog_one2one	79.5858
TOMM70	ENSG00000154174	TOMM70	ENSMUSG00000022752	Tomm70a	ortholog_one2one	93.2566
CBLB	ENSG00000114423	CBLB	ENSMUSG00000022637	Cblb	ortholog_one2one	91.3442
ATG3	ENSG00000144848	ATG3	ENSMUSG00000022663	Atg3	ortholog_one2one	97.4522
GTPBP8	ENSG00000163607	GTPBP8	ENSMUSG00000022668	Gtpbp8	ortholog_one2one	75.3521
PDIA5	ENSG00000065485	PDIA5	ENSMUSG00000022844	Pdia5	ortholog_one2one	89.9807
MYLK	ENSG00000065534	MYLK	ENSMUSG00000022836	Mylk	ortholog_one2one	85.4754
ITGB5	ENSG00000082781	ITGB5	ENSMUSG00000022817	Itgb5	ortholog_one2one	91.7397
RUVBL1	ENSG00000175792	RUVBL1	ENSMUSG00000030079	Ruvbl1	ortholog_one2one	99.7807
GATA2	ENSG00000179348	GATA2	ENSMUSG00000015053	Gata2	ortholog_one2one	97.9167
RPN1	ENSG00000163902	RPN1	ENSMUSG00000030062	Rpn1	ortholog_one2one	95.2224
PIK3R4	ENSG00000196455	PIK3R4	ENSMUSG00000032571	Pik3r4	ortholog_one2one	95.8763
ATP2C1	ENSG00000017260	ATP2C1	ENSMUSG00000032570	Atp2c1	ortholog_one2one	96.7356
TOPBP1	ENSG00000163781	TOPBP1	ENSMUSG00000032555	Topbp1	ortholog_one2one	76.2155
PCCB	ENSG00000114054	PCCB	ENSMUSG00000032527	Pccb	ortholog_one2one	92.5788
NCK1	ENSG00000158092	NCK1	ENSMUSG00000032475	Nck1	ortholog_one2one	98.939
FAIM	ENSG00000158234	FAIM	ENSMUSG00000096316	Faiml	ortholog_one2many	67.6617
FAIM	ENSG00000158234	FAIM	ENSMUSG00000032463	Faim	ortholog_one2many	80.0995
COPB2	ENSG00000184432	COPB2	ENSMUSG00000032458	Copb2	ortholog_one2one	98.234
PLS1	ENSG00000120756	PLS1	ENSMUSG00000049493	Pls1	ortholog_one2one	94.4356
PLSCR1	ENSG00000188313	PLSCR1	ENSMUSG00000074139	Plscr1l1	ortholog_one2many	49.0566
PLSCR1	ENSG00000188313	PLSCR1	ENSMUSG00000032369	Plscr1	ortholog_one2many	75.1572
PLSCR1	ENSG00000188313	PLSCR1	ENSMUSG00000032372	Plscr2	ortholog_one2many	63.8365
MBNL1	ENSG00000152601	MBNL1	ENSMUSG00000027763	Mbnl1	ortholog_one2one	83.5079
TIPARP	ENSG00000163659	TIPARP	ENSMUSG00000034640	Tiparp	ortholog_one2one	92.6941
SMC4	ENSG00000113810	SMC4	ENSMUSG00000034349	Smc4	ortholog_one2one	89.5186
PIK3CA	ENSG00000121879	PIK3CA	ENSMUSG00000027665	Pik3ca	ortholog_one2one	98.6891
SOX2	ENSG00000181449	SOX2	ENSMUSG00000074637	Sox2	ortholog_one2one	98.4227
ATP11B	ENSG00000058063	ATP11B	ENSMUSG00000037400	Atp11b	ortholog_one2one	93.373
ABCC5	ENSG00000114770	ABCC5	ENSMUSG00000022822	Abcc5	ortholog_one2one	94.9896
ABCF3	ENSG00000161204	ABCF3	ENSMUSG00000003234	Abcf3	ortholog_one2one	96.897
PSMD2	ENSG00000175166	PSMD2	ENSMUSG00000006998	Psmd2	ortholog_one2one	98.6784
EIF4G1	ENSG00000114867	EIF4G1	ENSMUSG00000045983	Eif4g1	ortholog_one2one	91.3696
IGF2BP2	ENSG00000073792	IGF2BP2	ENSMUSG00000033581	Igf2bp2	ortholog_one2one	94.4908
HES1	ENSG00000114315	HES1	ENSMUSG00000022528	Hes1	ortholog_one2one	97.8571
BDH1	ENSG00000161267	BDH1	ENSMUSG00000046598	Bdh1	ortholog_one2one	85.7143
MFSD10	ENSG00000109736	SLC75A1	ENSMUSG00000001082	Mfsd10	ortholog_one2one	80.2198
LRPAP1	ENSG00000163956	LRPAP1	ENSMUSG00000029103	Lrpap1	ortholog_one2one	76.1905
WFS1	ENSG00000109501	WFS1	ENSMUSG00000039474	Wfs1	ortholog_one2one	86.8539
LAP3	ENSG00000002549	LAP3	ENSMUSG00000039682	Lap3	ortholog_one2one	90.3661
UGDH	ENSG00000109814	UGDH	ENSMUSG00000029201	Ugdh	ortholog_one2one	97.7733
PDS5A	ENSG00000121892	PDS5A	ENSMUSG00000029202	Pds5a	ortholog_one2one	97.9058
APBB2	ENSG00000163697	APBB2	ENSMUSG00000029207	Apbb2	ortholog_one2one	94.0711
DCUN1D4	ENSG00000109184	DCUN1D4	ENSMUSG00000051674	Dcun1d4	ortholog_one2one	96.5753
SGCB	ENSG00000163069	SGCB	ENSMUSG00000029156	Sgcb	ortholog_one2one	94.9686
CHIC2	ENSG00000109220	CHIC2	ENSMUSG00000029229	Chic2	ortholog_one2one	99.3939
KIT	ENSG00000157404	KIT	ENSMUSG00000005672	Kit	ortholog_one2one	82.3771
PAICS	ENSG00000128050	PAICS	ENSMUSG00000029247	Paics	ortholog_one2one	95.0588
DCK	ENSG00000156136	DCK	ENSMUSG00000029366	Dck	ortholog_one2one	93.4615
ENOPH1	ENSG00000145293	ENOPH1	ENSMUSG00000029326	Enoph1	ortholog_one2one	93.1034
HSD17B11	ENSG00000198189	HSD17B11	ENSMUSG00000029311	Hsd17b11	ortholog_one2one	82.6667
NUDT9	ENSG00000170502	NUDT9	ENSMUSG00000029310	Nudt9	ortholog_one2one	89.4286
SPP1	ENSG00000118785	SPP1	ENSMUSG00000029304	Spp1	ortholog_one2one	63.3758
HERC6	ENSG00000138642	HERC6	ENSMUSG00000029798	Herc6	ortholog_one2one	65.8513
SNCA	ENSG00000145335	SNCA	ENSMUSG00000025889	Snca	ortholog_one2one	88.5714
ADH5	ENSG00000197894	ADH5	ENSMUSG00000028138	Adh5	ortholog_one2one	92.5134
CENPE	ENSG00000138778	CENPE	ENSMUSG00000045328	Cenpe	ortholog_one2one	59.5705
HADH	ENSG00000138796	HADH	ENSMUSG00000027984	Hadh	ortholog_one2one	89.8089
EGF	ENSG00000138798	EGF	ENSMUSG00000028017	Egf	ortholog_one2one	66.4457
ELOVL6	ENSG00000170522	ELOVL6	ENSMUSG00000041220	Elovl6	ortholog_one2one	96.9811
CCNA2	ENSG00000145386	CCNA2	ENSMUSG00000027715	Ccna2	ortholog_one2one	85.1852
INPP4B	ENSG00000109452	INPP4B	ENSMUSG00000037940	Inpp4b	ortholog_one2one	90.5844
LSM6	ENSG00000164167	LSM6	ENSMUSG00000031683	Lsm6	ortholog_one2one	90.0
TRIM2	ENSG00000109654	TRIM2	ENSMUSG00000027993	Trim2	ortholog_one2one	95.7198
DCTD	ENSG00000129187	DCTD	ENSMUSG00000031562	Dctd	ortholog_one2one	92.6966
CASP3	ENSG00000164305	CASP3	ENSMUSG00000031628	Casp3	ortholog_one2one	86.6426
SLC25A4	ENSG00000151729	SLC25A4	ENSMUSG00000031633	Slc25a4	ortholog_one2one	95.302
