paper_dimension	human_symbol	human_ensembl_gene	mouse_ensembl_gene	mouse_symbol	orthology_type	mouse_perc_id	selection_role
52	VAV3	ENSG00000134215	ENSMUSG00000033721	Vav3	ortholog_one2one	95.3955	best_ensembl_ortholog
53	PSRC1	ENSG00000134222	ENSMUSG00000068744	Psrc1	ortholog_one2one	69.97	best_ensembl_ortholog
54	GSTM2	ENSG00000213366	ENSMUSG00000004035	Gstm7	ortholog_one2one	83.0275	best_ensembl_ortholog
55	DENND2D	ENSG00000162777	ENSMUSG00000027901	Dennd2d	ortholog_one2one	89.172	best_ensembl_ortholog
56	NRAS	ENSG00000213281	ENSMUSG00000027852	Nras	ortholog_one2one	99.4709	best_ensembl_ortholog
57	PHGDH	ENSG00000092621	ENSMUSG00000053398	Phgdh	ortholog_one2one	94.5591	best_ensembl_ortholog
58	MINDY1	ENSG00000143409	ENSMUSG00000038712	Mindy1	ortholog_one2one	85.9275	best_ensembl_ortholog
59	PRUNE1	ENSG00000143363	ENSMUSG00000015711	Prune1	ortholog_one2one	85.4305	best_ensembl_ortholog
60	MLLT11	ENSG00000213190	ENSMUSG00000053192	Mllt11	ortholog_one2one	86.6667	best_ensembl_ortholog
61	VPS72	ENSG00000163159	ENSMUSG00000008958	Vps72	ortholog_one2one	96.7033	best_ensembl_ortholog
62	PSMD4	ENSG00000159352	ENSMUSG00000005625	Psmd4	ortholog_one2one	96.0212	best_ensembl_ortholog
63	RFX5	ENSG00000143390	ENSMUSG00000005774	Rfx5	ortholog_one2one	78.2467	best_ensembl_ortholog
64	S100A4	ENSG00000196154	ENSMUSG00000001020	S100a4	ortholog_one2one	93.0693	best_ensembl_ortholog
65	S100A13	ENSG00000189171	ENSMUSG00000042312	S100a13	ortholog_one2one	82.6531	best_ensembl_ortholog
66	INTS3	ENSG00000143624	ENSMUSG00000027933	Ints3	ortholog_one2one	98.6564	best_ensembl_ortholog
67	SLC27A3	ENSG00000143554	ENSMUSG00000027932	Slc27a3	ortholog_one2one	83.7482	best_ensembl_ortholog
68	SHC1	ENSG00000160691	ENSMUSG00000042626	Shc1	ortholog_one2one	94.3493	best_ensembl_ortholog
69	MUC1	ENSG00000185499	ENSMUSG00000042784	Muc1	ortholog_one2one	50.5263	best_ensembl_ortholog
70	KIAA0907	ENSG00000132680	ENSMUSG00000028060	Khdc4	ortholog_one2one	95.4397	best_ensembl_ortholog
71	ARHGEF2	ENSG00000116584	ENSMUSG00000028059	Arhgef2	ortholog_one2one	88.3367	best_ensembl_ortholog
72	NIT1	ENSG00000158793	ENSMUSG00000013997	Nit1	ortholog_one2one	84.4037	best_ensembl_ortholog
73	PPOX	ENSG00000143224	ENSMUSG00000062729	Ppox	ortholog_one2one	88.6792	best_ensembl_ortholog
74	ATF6	ENSG00000118217	ENSMUSG00000026663	Atf6	ortholog_one2one	85.0746	best_ensembl_ortholog
75	TMCO1	ENSG00000143183	ENSMUSG00000052428	Tmco1	ortholog_one2one	100.0	best_ensembl_ortholog
76	CREG1	ENSG00000143162	ENSMUSG00000040713	Creg1	ortholog_one2one	76.8182	best_ensembl_ortholog
77	MPZL1	ENSG00000197965	ENSMUSG00000026566	Mpzl1	ortholog_one2one	83.2714	best_ensembl_ortholog
78	MPC2	ENSG00000143158	ENSMUSG00000026568	Mpc2	ortholog_one2one	92.126	best_ensembl_ortholog
79	ATP1B1	ENSG00000143153	ENSMUSG00000026576	Atp1b1	ortholog_one2one	94.0594	best_ensembl_ortholog
80	SCYL3	ENSG00000000457	ENSMUSG00000026584	Scyl3	ortholog_one2one	82.8488	best_ensembl_ortholog
81	FAM20B	ENSG00000116199	ENSMUSG00000033557	Fam20b	ortholog_one2one	97.3105	best_ensembl_ortholog
82	PTGS2	ENSG00000073756	ENSMUSG00000032487	Ptgs2	ortholog_one2one	86.755	best_ensembl_ortholog
83	PLA2G4A	ENSG00000116711	ENSMUSG00000056220	Pla2g4a	ortholog_one2one	94.3925	best_ensembl_ortholog
84	RGS2	ENSG00000116741	ENSMUSG00000026360	Rgs2	ortholog_one2one	96.2085	best_ensembl_ortholog
85	PTPRC	ENSG00000081237	ENSMUSG00000026395	Ptprc	ortholog_one2one	66.6922	best_ensembl_ortholog
86	KIF14	ENSG00000118193	ENSMUSG00000041498	Kif14	ortholog_one2one	71.2985	best_ensembl_ortholog
87	CAMSAP2	ENSG00000118200	ENSMUSG00000041570	Camsap2	ortholog_one2one	92.3545	best_ensembl_ortholog
88	CSRP1	ENSG00000159176	ENSMUSG00000026421	Csrp1	ortholog_one2one	99.4819	best_ensembl_ortholog
89	KDM5B	ENSG00000117139	ENSMUSG00000042207	Kdm5b	ortholog_one2one	94.2357	best_ensembl_ortholog
90	PIK3C2B	ENSG00000133056	ENSMUSG00000026447	Pik3c2b	ortholog_one2one	93.4517	best_ensembl_ortholog
91	DYRK3	ENSG00000143479	ENSMUSG00000016526	Dyrk3	ortholog_one2one	89.4558	best_ensembl_ortholog
92	MAPKAPK2	ENSG00000162889	ENSMUSG00000016528	Mapkapk2	ortholog_one2one	92.5	best_ensembl_ortholog
93	LPGAT1	ENSG00000123684	ENSMUSG00000026623	Lpgat1	ortholog_one2one	90.0	best_ensembl_ortholog
94	PPP2R5A	ENSG00000066027	ENSMUSG00000026626	Ppp2r5a	ortholog_one2one	97.7366	best_ensembl_ortholog
95	NENF	ENSG00000117691	ENSMUSG00000037499	Nenf	ortholog_one2one	90.6977	best_ensembl_ortholog
96	EPRS	ENSG00000136628	ENSMUSG00000026615	Eprs1	ortholog_one2one	89.2857	best_ensembl_ortholog
97	IARS2	ENSG00000067704	ENSMUSG00000026618	Iars2	ortholog_one2one	83.3992	best_ensembl_ortholog
98	TP53BP2	ENSG00000143514	ENSMUSG00000026510	Trp53bp2	ortholog_one2one	91.0053	best_ensembl_ortholog
99	NVL	ENSG00000143748	ENSMUSG00000026516	Nvl	ortholog_one2one	87.8505	best_ensembl_ortholog
100	LBR	ENSG00000143815	ENSMUSG00000004880	Lbr	ortholog_one2one	80.3252	best_ensembl_ortholog
101	ACBD3	ENSG00000182827	ENSMUSG00000026499	Acbd3	ortholog_one2one	88.8258	best_ensembl_ortholog
102	PARP1	ENSG00000143799	ENSMUSG00000026496	Parp1	ortholog_one2one	92.5049	best_ensembl_ortholog
103	COQ8A	ENSG00000163050	ENSMUSG00000026489	Coq8a	ortholog_one2one	86.5533	best_ensembl_ortholog
104	RAB4A	ENSG00000168118	ENSMUSG00000019478	Rab4a	ortholog_one2one	97.7064	best_ensembl_ortholog
105	NUP133	ENSG00000069248	ENSMUSG00000039509	Nup133	ortholog_one2one	83.1315	best_ensembl_ortholog
106	COG2	ENSG00000135775	ENSMUSG00000031979	Cog2	ortholog_one2one	84.8238	best_ensembl_ortholog
107	KCNK1	ENSG00000135750	ENSMUSG00000033998	Kcnk1	ortholog_one2one	94.9405	best_ensembl_ortholog
108	TARBP1	ENSG00000059588	ENSMUSG00000090290	Tarbp1	ortholog_one2one	71.9926	best_ensembl_ortholog
109	RBM34	ENSG00000188739	ENSMUSG00000033931	Rbm34	ortholog_one2one	69.3023	best_ensembl_ortholog
110	ARID4B	ENSG00000054267	ENSMUSG00000039219	Arid4b	ortholog_one2one	89.6341	best_ensembl_ortholog
111	LGALS8	ENSG00000116977	ENSMUSG00000057554	Lgals8	ortholog_one2one	79.4953	best_ensembl_ortholog
112	HEATR1	ENSG00000119285	ENSMUSG00000050244	Heatr1	ortholog_one2one	83.8153	best_ensembl_ortholog
113	SCCPDH	ENSG00000143653	ENSMUSG00000038936	Sccpdh	ortholog_one2one	87.1795	best_ensembl_ortholog
114	ADI1	ENSG00000182551	ENSMUSG00000020629	Adi1	ortholog_one2one	84.3575	best_ensembl_ortholog
115	ID2	ENSG00000115738	ENSMUSG00000020644	Id2	ortholog_one2one	98.5075	best_ensembl_ortholog
116	ITGB1BP1	ENSG00000119185	ENSMUSG00000062352	Itgb1bp1	ortholog_one2one	93.0	best_ensembl_ortholog
117	DNMT3A	ENSG00000119772	ENSMUSG00000020661	Dnmt3a	ortholog_one2one	95.943	best_ensembl_ortholog
118	SLC5A6	ENSG00000138074	ENSMUSG00000006641	Slc5a6	ortholog_one2one	82.5197	best_ensembl_ortholog
119	RBKS	ENSG00000171174	ENSMUSG00000029136	Rbks	ortholog_one2one	86.3354	best_ensembl_ortholog
120	FEZ2	ENSG00000171055	ENSMUSG00000056121	Fez2	ortholog_one2one	75.3541	best_ensembl_ortholog
121	CEBPZ	ENSG00000115816	ENSMUSG00000024081	Cebpz	ortholog_one2one	81.5939	best_ensembl_ortholog
122	MSH6	ENSG00000116062	ENSMUSG00000005370	Msh6	ortholog_one2one	85.4412	best_ensembl_ortholog
123	FBXO11	ENSG00000138081	ENSMUSG00000005371	Fbxo11	ortholog_one2one	98.8134	best_ensembl_ortholog
124	SLC1A4	ENSG00000115902	ENSMUSG00000020142	Slc1a4	ortholog_one2one	89.8496	best_ensembl_ortholog
125	SPRED2	ENSG00000198369	ENSMUSG00000045671	Spred2	ortholog_one2one	92.1053	best_ensembl_ortholog
126	GFPT1	ENSG00000198380	ENSMUSG00000029992	Gfpt1	ortholog_one2one	96.5665	best_ensembl_ortholog
127	SPR	ENSG00000116096	ENSMUSG00000033735	Spr	ortholog_one2one	74.7126	best_ensembl_ortholog
128	DUSP11	ENSG00000144048	ENSMUSG00000030002	Dusp11	ortholog_one2one	68.7879	best_ensembl_ortholog
129	STAMBP	ENSG00000124356	ENSMUSG00000006906	Stambp	ortholog_one2one	83.4906	best_ensembl_ortholog
130	MTHFD2	ENSG00000065911	ENSMUSG00000005667	Mthfd2	ortholog_one2one	92.0	best_ensembl_ortholog
131	MRPL19	ENSG00000115364	ENSMUSG00000030045	Mrpl19	ortholog_one2one	81.5069	best_ensembl_ortholog
132	MAT2A	ENSG00000168906	ENSMUSG00000053907	Mat2a	ortholog_one2one	99.4937	best_ensembl_ortholog
133	ST3GAL5	ENSG00000115525	ENSMUSG00000056091	St3gal5	ortholog_one2one	83.0144	best_ensembl_ortholog
134	KDM3A	ENSG00000115548	ENSMUSG00000053470	Kdm3a	ortholog_one2one	91.5216	best_ensembl_ortholog
135	RPIA	ENSG00000153574	ENSMUSG00000053604	Rpia	ortholog_one2one	88.746	best_ensembl_ortholog
136	TXNDC9	ENSG00000115514	ENSMUSG00000058407	Txndc9	ortholog_one2one	89.823	best_ensembl_ortholog
137	MAP4K4	ENSG00000071054	ENSMUSG00000026074	Map4k4	ortholog_one2one	87.7168	best_ensembl_ortholog
138	FHL2	ENSG00000115641	ENSMUSG00000008136	Fhl2	ortholog_one2one	92.1147	best_ensembl_ortholog
139	NCK2	ENSG00000071051	ENSMUSG00000066877	Nck2	ortholog_one2one	96.0526	best_ensembl_ortholog
140	IL1B	ENSG00000125538	ENSMUSG00000027398	Il1b	ortholog_one2one	67.658	best_ensembl_ortholog
141	PAX8	ENSG00000125618	ENSMUSG00000026976	Pax8	ortholog_one2one	98.2222	best_ensembl_ortholog
142	RALB	ENSG00000144118	ENSMUSG00000004451	Ralb	ortholog_one2one	95.1456	best_ensembl_ortholog
143	GLI2	ENSG00000074047	ENSMUSG00000048402	Gli2	ortholog_one2one	82.9828	best_ensembl_ortholog
144	CXCR4	ENSG00000121966	ENSMUSG00000045382	Cxcr4	ortholog_one2one	91.1932	best_ensembl_ortholog
145	KIF5C	ENSG00000168280	ENSMUSG00000026764	Kif5c	ortholog_one2one	98.2236	best_ensembl_ortholog
146	HAT1	ENSG00000128708	ENSMUSG00000027018	Hat1	ortholog_one2one	92.6014	best_ensembl_ortholog
147	CHN1	ENSG00000128656	ENSMUSG00000056486	Chn1	ortholog_one2one	96.2963	best_ensembl_ortholog
148	NFE2L2	ENSG00000116044	ENSMUSG00000015839	Nfe2l2	ortholog_one2one	80.9917	best_ensembl_ortholog
149	INPP1	ENSG00000151689	ENSMUSG00000026102	Inpp1	ortholog_one2one	79.198	best_ensembl_ortholog
150	STAT1	ENSG00000115415	ENSMUSG00000026104	Stat1	ortholog_one2one	93.4667	best_ensembl_ortholog
151	HSPD1	ENSG00000144381	ENSMUSG00000025980	Hspd1	ortholog_one2one	97.5567	best_ensembl_ortholog
152	CFLAR	ENSG00000003402	ENSMUSG00000026031	Cflar	ortholog_one2one	65.8333	best_ensembl_ortholog
153	TRAK2	ENSG00000115993	ENSMUSG00000026028	Trak2	ortholog_one2one	87.5274	best_ensembl_ortholog
154	FZD7	ENSG00000155760	ENSMUSG00000041075	Fzd7	ortholog_one2one	96.3415	best_ensembl_ortholog
155	CREB1	ENSG00000118260	ENSMUSG00000025958	Creb1	ortholog_one2one	99.6942	best_ensembl_ortholog
156	PECR	ENSG00000115425	ENSMUSG00000026189	Pecr	ortholog_one2one	70.6271	best_ensembl_ortholog
157	ABCB6	ENSG00000115657	ENSMUSG00000026198	Abcb6	ortholog_one2one	88.9549	best_ensembl_ortholog
158	DNAJB2	ENSG00000135924	ENSMUSG00000026203	Dnajb2	ortholog_one2one	75.0	best_ensembl_ortholog
159	CAB39	ENSG00000135932	ENSMUSG00000036707	Cab39	ortholog_one2one	99.1202	best_ensembl_ortholog
160	ARL4C	ENSG00000188042	ENSMUSG00000049866	Arl4c	ortholog_one2one	95.5224	best_ensembl_ortholog
161	GPC1	ENSG00000063660	ENSMUSG00000034220	Gpc1	ortholog_one2one	88.5305	best_ensembl_ortholog
162	STK25	ENSG00000115694	ENSMUSG00000026277	Stk25	ortholog_one2one	98.8263	best_ensembl_ortholog
163	BHLHE40	ENSG00000134107	ENSMUSG00000030103	Bhlhe40	ortholog_one2one	90.2913	best_ensembl_ortholog
164	EDEM1	ENSG00000134109	ENSMUSG00000030104	Edem1	ortholog_one2one	92.0852	best_ensembl_ortholog
165	TATDN2	ENSG00000157014	ENSMUSG00000056952	Tatdn2	ortholog_one2one	73.7188	best_ensembl_ortholog
166	VGLL4	ENSG00000144560	ENSMUSG00000030315	Vgll4	ortholog_one2one	88.8513	best_ensembl_ortholog
167	PPARG	ENSG00000132170	ENSMUSG00000000440	Pparg	ortholog_one2one	98.3158	best_ensembl_ortholog
168	TSEN2	ENSG00000154743	ENSMUSG00000042389	Tsen2	ortholog_one2one	67.5269	best_ensembl_ortholog
169	SH3BP5	ENSG00000131370	ENSMUSG00000021892	Sh3bp5	ortholog_one2one	92.5275	best_ensembl_ortholog
170	SATB1	ENSG00000182568	ENSMUSG00000023927	Satb1	ortholog_one2one	98.2962	best_ensembl_ortholog
171	TGFBR2	ENSG00000163513	ENSMUSG00000032440	Tgfbr2	ortholog_one2one	92.2399	best_ensembl_ortholog
172	CRTAP	ENSG00000170275	ENSMUSG00000032431	Crtap	ortholog_one2one	88.5287	best_ensembl_ortholog
173	ACAA1	ENSG00000060971	ENSMUSG00000010651	Acaa1b	ortholog_one2many	85.8491	best_ensembl_ortholog
174	OXSR1	ENSG00000172939	ENSMUSG00000036737	Oxsr1	ortholog_one2one	95.8254	best_ensembl_ortholog
175	ANO10	ENSG00000160746	ENSMUSG00000037949	Ano10	ortholog_one2one	91.5152	best_ensembl_ortholog
176	SACM1L	ENSG00000211456	ENSMUSG00000025240	Sacm1l	ortholog_one2one	95.0596	best_ensembl_ortholog
177	SMARCC1	ENSG00000173473	ENSMUSG00000032481	Smarcc1	ortholog_one2one	93.0317	best_ensembl_ortholog
178	CDC25A	ENSG00000164045	ENSMUSG00000032477	Cdc25a	ortholog_one2one	84.542	best_ensembl_ortholog
179	P4HTM	ENSG00000178467	ENSMUSG00000006675	P4htm	ortholog_one2one	91.2351	best_ensembl_ortholog
180	RHOA	ENSG00000067560	ENSMUSG00000007815	Rhoa	ortholog_one2one	99.4819	best_ensembl_ortholog
181	TCTA	ENSG00000145022	ENSMUSG00000039461	Tcta	ortholog_one2one	91.2621	best_ensembl_ortholog
182	DAG1	ENSG00000173402	ENSMUSG00000039952	Dag1	ortholog_one2one	93.1844	best_ensembl_ortholog
183	RBM6	ENSG00000004534	ENSMUSG00000032582	Rbm6	ortholog_one2one	88.8691	best_ensembl_ortholog
184	GNAI2	ENSG00000114353	ENSMUSG00000032562	Gnai2	ortholog_one2one	98.3099	best_ensembl_ortholog
185	IFRD2	ENSG00000214706	ENSMUSG00000010048	Ifrd2	ortholog_one2one	87.7828	best_ensembl_ortholog
186	NPRL2	ENSG00000114388	ENSMUSG00000010057	Nprl2	ortholog_one2one	98.4211	best_ensembl_ortholog
187	MAPKAPK3	ENSG00000114738	ENSMUSG00000032577	Mapkapk3	ortholog_one2one	94.7644	best_ensembl_ortholog
188	ALAS1	ENSG00000023330	ENSMUSG00000032786	Alas1	ortholog_one2one	91.0938	best_ensembl_ortholog
189	TWF2	ENSG00000247596	ENSMUSG00000023277	Twf2	ortholog_one2one	96.5616	best_ensembl_ortholog
190	NISCH	ENSG00000010322	ENSMUSG00000021910	Nisch	ortholog_one2one	89.2287	best_ensembl_ortholog
191	NT5DC2	ENSG00000168268	ENSMUSG00000071547	Nt5dc2	ortholog_one2one	95.5117	best_ensembl_ortholog
192	TMEM110	ENSG00000213533	ENSMUSG00000006526	Stimate	ortholog_one2one	95.5782	best_ensembl_ortholog
193	PRKCD	ENSG00000163932	ENSMUSG00000021948	Prkcd	ortholog_one2one	90.3846	best_ensembl_ortholog
194	ABHD6	ENSG00000163686	ENSMUSG00000025277	Abhd6	ortholog_one2one	93.7685	best_ensembl_ortholog
195	EPHA3	ENSG00000044524	ENSMUSG00000052504	Epha3	ortholog_one2one	96.5412	best_ensembl_ortholog
196	PROS1	ENSG00000184500	ENSMUSG00000022912	Pros1	ortholog_one2one	79.5858	best_ensembl_ortholog
197	TOMM70	ENSG00000154174	ENSMUSG00000022752	Tomm70a	ortholog_one2one	93.2566	best_ensembl_ortholog
198	CBLB	ENSG00000114423	ENSMUSG00000022637	Cblb	ortholog_one2one	91.3442	best_ensembl_ortholog
199	ATG3	ENSG00000144848	ENSMUSG00000022663	Atg3	ortholog_one2one	97.4522	best_ensembl_ortholog
200	GTPBP8	ENSG00000163607	ENSMUSG00000022668	Gtpbp8	ortholog_one2one	75.3521	best_ensembl_ortholog
201	PDIA5	ENSG00000065485	ENSMUSG00000022844	Pdia5	ortholog_one2one	89.9807	best_ensembl_ortholog
202	MYLK	ENSG00000065534	ENSMUSG00000022836	Mylk	ortholog_one2one	85.4754	best_ensembl_ortholog
203	ITGB5	ENSG00000082781	ENSMUSG00000022817	Itgb5	ortholog_one2one	91.7397	best_ensembl_ortholog
204	RUVBL1	ENSG00000175792	ENSMUSG00000030079	Ruvbl1	ortholog_one2one	99.7807	best_ensembl_ortholog
205	GATA2	ENSG00000179348	ENSMUSG00000015053	Gata2	ortholog_one2one	97.9167	best_ensembl_ortholog
206	RPN1	ENSG00000163902	ENSMUSG00000030062	Rpn1	ortholog_one2one	95.2224	best_ensembl_ortholog
207	PIK3R4	ENSG00000196455	ENSMUSG00000032571	Pik3r4	ortholog_one2one	95.8763	best_ensembl_ortholog
208	ATP2C1	ENSG00000017260	ENSMUSG00000032570	Atp2c1	ortholog_one2one	96.7356	best_ensembl_ortholog
209	TOPBP1	ENSG00000163781	ENSMUSG00000032555	Topbp1	ortholog_one2one	76.2155	best_ensembl_ortholog
210	PCCB	ENSG00000114054	ENSMUSG00000032527	Pccb	ortholog_one2one	92.5788	best_ensembl_ortholog
211	NCK1	ENSG00000158092	ENSMUSG00000032475	Nck1	ortholog_one2one	98.939	best_ensembl_ortholog
212	FAIM	ENSG00000158234	ENSMUSG00000032463	Faim	ortholog_one2many	80.0995	best_ensembl_ortholog
213	COPB2	ENSG00000184432	ENSMUSG00000032458	Copb2	ortholog_one2one	98.234	best_ensembl_ortholog
214	PLS1	ENSG00000120756	ENSMUSG00000049493	Pls1	ortholog_one2one	94.4356	best_ensembl_ortholog
215	PLSCR1	ENSG00000188313	ENSMUSG00000032369	Plscr1	ortholog_one2many	75.1572	best_ensembl_ortholog
216	MBNL1	ENSG00000152601	ENSMUSG00000027763	Mbnl1	ortholog_one2one	83.5079	best_ensembl_ortholog
217	TIPARP	ENSG00000163659	ENSMUSG00000034640	Tiparp	ortholog_one2one	92.6941	best_ensembl_ortholog
218	SMC4	ENSG00000113810	ENSMUSG00000034349	Smc4	ortholog_one2one	89.5186	best_ensembl_ortholog
219	PIK3CA	ENSG00000121879	ENSMUSG00000027665	Pik3ca	ortholog_one2one	98.6891	best_ensembl_ortholog
220	SOX2	ENSG00000181449	ENSMUSG00000074637	Sox2	ortholog_one2one	98.4227	best_ensembl_ortholog
221	ATP11B	ENSG00000058063	ENSMUSG00000037400	Atp11b	ortholog_one2one	93.373	best_ensembl_ortholog
222	ABCC5	ENSG00000114770	ENSMUSG00000022822	Abcc5	ortholog_one2one	94.9896	best_ensembl_ortholog
223	ABCF3	ENSG00000161204	ENSMUSG00000003234	Abcf3	ortholog_one2one	96.897	best_ensembl_ortholog
224	PSMD2	ENSG00000175166	ENSMUSG00000006998	Psmd2	ortholog_one2one	98.6784	best_ensembl_ortholog
225	EIF4G1	ENSG00000114867	ENSMUSG00000045983	Eif4g1	ortholog_one2one	91.3696	best_ensembl_ortholog
226	IGF2BP2	ENSG00000073792	ENSMUSG00000033581	Igf2bp2	ortholog_one2one	94.4908	best_ensembl_ortholog
227	RPL39L	ENSG00000163923	ENSMUSG00000039209	Rpl39l	case_insensitive_symbol_fallback		exact_symbol_fallback
