model	term	observed_direction	gene_level_support_strength	fdr_gene_direction_call	median_hvg_direction_vs_pathway	n_pathway_genes_total	n_pathway_genes_measured_hvg	n_any_fdr05	n_nominal_p05	fraction_any_fdr05	fraction_nominal_p05	n_sig_genes_same_direction_as_pathway	n_sig_genes_opposite_direction_to_pathway	median_pooled_log2cpm_flt_minus_gc	top_gene_examples	review_rationale
liver_hvg	R-MMU-195721_SIGNALING_BY_WNT	FLT_up	weak	mostly_opposite_direction	opposite	223	20	1	4	0.05	0.2	0	1	-0.0715188685057275	Fzd8:-0.31,q=0.0453; Rac2:-0.24,q=0.0967; Fzd4:-0.20,q=0.112; Sox9:+0.24,q=0.312; Tert:-0.18,q=0.337; Gng2:-0.14,q=0.339; Rnf43:-0.14,q=0.36; Lgr5:-0.12,q=0.562	WNT fits regenerative/fibrotic crosstalk but is not a direct published liver spaceflight direction.
liver_hvg	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	FLT_up	weak	mostly_opposite_direction	opposite	202	45	1	2	0.0222222222222222	0.0444444444444444	0	1	-0.0480090148372305	Ccnd1:-0.53,q=0.0188; Setd7:-0.17,q=0.171; H3c14:+0.21,q=0.427; H2bc11:-0.15,q=0.454; Dot1l:+0.18,q=0.476; H3c3:-0.15,q=0.519; H2bc12:-0.21,q=0.522; H2bc3:-0.21,q=0.551	Chromatin-modifying enzymes fit broad space-omics remodeling but are not pathway-direction specific.
liver_hvg	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_up	moderate	mostly_opposite_direction	opposite	231	63	2	11	0.0317460317460317	0.1746031746031746	0	2	-0.0406946454107941	Ang:-0.27,q=0.0253; Ctss:-0.29,q=0.036; Angptl4:-0.36,q=0.0625; Adam19:-0.19,q=0.11; Fyn:-0.16,q=0.13; ENSMUSG00000101645:-0.14,q=0.164; Il6:-0.05,q=0.219; Cdh5:-0.15,q=0.305	Cell-cell junction remodeling can accompany hepatic stress and altered mechanobiology.
liver_hvg	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	FLT_up	none	no_fdr_genes	opposite	39	25	0	12	0.0	0.48	0	0	-0.0998158494078378	Bmp2:-0.21,q=0.0652; Fbln5:-0.19,q=0.128; Loxl2:-0.21,q=0.139; Itga8:-0.32,q=0.167; Loxl4:+0.34,q=0.193; Itga5:+0.26,q=0.194; Ltbp3:-0.18,q=0.238; Ltbp1:-0.17,q=0.274	The term is ECM-adjacent but not directly supported as hepatic flight biology.
liver_hvg	R-MMU-186797_SIGNALING_BY_PDGF	FLT_up	none	no_fdr_genes	opposite	53	24	0	11	0.0	0.4583333333333333	0	0	-0.1045962628222962	Col3a1:-0.37,q=0.0532; Col5a2:-0.26,q=0.0906; Col6a3:-0.25,q=0.135; Pdgfc:+0.24,q=0.153; Pdgfa:+0.16,q=0.196; Col5a1:-0.21,q=0.227; Col5a3:+0.35,q=0.244; Col6a1:-0.16,q=0.252	PDGF signaling is plausible downstream of stellate activation but not directly reported as increased in flight liver.
liver_hvg	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_up	moderate	mostly_opposite_direction	opposite	109	46	2	17	0.0434782608695652	0.3695652173913043	0	2	-0.0806858423179605	Htra1:-0.29,q=0.0289; Ctss:-0.29,q=0.036; Col3a1:-0.37,q=0.0532; Adam8:-0.18,q=0.076; Col5a2:-0.26,q=0.0906; Col6a3:-0.25,q=0.135; Adamts5:-0.20,q=0.192; Cd44:-0.22,q=0.193	ECM degradation is a reasonable complementary remodeling signal after lipotoxic/inflammatory injury.
liver_hvg	R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	FLT_up	none	no_fdr_genes	opposite	38	21	0	9	0.0	0.4285714285714285	0	0	-0.0858060154103101	Tgfbr3:-0.22,q=0.164; Itga8:-0.32,q=0.167; Ltbp3:-0.18,q=0.238; Ltbp1:-0.17,q=0.274; Tgfb3:+0.16,q=0.282; Tgfb2:+0.08,q=0.36; Ltbp4:-0.22,q=0.36; Ltbp2:-0.13,q=0.394	The pathway is a plausible downstream arm of liver injury and stellate activation.
liver_hvg	R-MMU-189445_METABOLISM_OF_PORPHYRINS	FLT_up	none	no_fdr_genes	opposite	26	14	0	2	0.0	0.1428571428571428	0	0	-0.0844352086501389	Slco1b2:-0.24,q=0.128; Ugt1a5:-0.29,q=0.196; Ugt1a1:-0.15,q=0.235; Abcc2:-0.16,q=0.297; Abcc1:-0.17,q=0.312; Fabp1:-0.17,q=0.439; Cpox:+0.08,q=0.617; Alb:-0.04,q=0.642	The pathway is metabolically plausible as part of hepatic oxidation changes.
liver_hvg	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FLT_up	moderate	mostly_opposite_direction	opposite	181	28	2	14	0.0714285714285714	0.5	0	2	-0.1462534830814388	Syk:-0.26,q=0.0409; Nckap1l:-0.28,q=0.0433; ENSMUSG00000076614:-0.36,q=0.0532; Pld4:-0.26,q=0.0674; Fcgr2b:-0.15,q=0.0926; Plcg2:-0.21,q=0.105; Vav1:-0.21,q=0.125; Fyn:-0.16,q=0.13	Phagocytosis fits hepatic innate immune remodeling, with indirect evidence.
liver_hvg	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	weak	mostly_opposite_direction	opposite	56	30	1	9	0.0333333333333333	0.3	0	1	-0.0643890460761467	Serpine1:-0.47,q=0.000934; Serpina10:-0.20,q=0.0839; F3:-0.19,q=0.0931; Pros1:-0.16,q=0.126; Sdc3:-0.21,q=0.177; Procr:-0.13,q=0.177; Sdc4:-0.18,q=0.21; F11:-0.13,q=0.237	Coagulation is biologically connected to liver and spaceflight but not directly resolved at hepatic pathway level.
liver_hvg	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	strong	mostly_same_direction	opposite	127	24	6	8	0.25	0.3333333333333333	5	1	-0.0071155738735734	Tubb2a:+0.92,q=6.29e-05; Tubb4b:+0.44,q=0.00727; Adcy7:-0.34,q=0.013; Tuba1c:+0.38,q=0.0227; Adcy1:+0.41,q=0.0253; Tuba4a:+0.35,q=0.0398; Ptch1:-0.13,q=0.233; Tubb2b:+0.06,q=0.281	The pathway is mechanistically plausible but not directly supported by spaceflight liver studies.
liver_hvg	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	strong	mostly_opposite_direction	opposite	665	176	13	47	0.0738636363636363	0.2670454545454545	6	7	-0.0622728928375874	Apoa4:+1.04,q=0.000497; Slc34a2:+0.72,q=0.000934; Slc5a6:-0.44,q=0.00123; Slc38a3:-0.39,q=0.0134; ENSMUSG00000026614:+0.44,q=0.0134; Slc43a1:-0.22,q=0.0177; Aqp9:-0.22,q=0.023; Nedd4l:+0.32,q=0.023	Small-molecule transport could reflect bile, amino-acid, and xenobiotic adaptation, but evidence is indirect.
liver_hvg	R-MMU-6806834_SIGNALING_BY_MET	FLT_up	none	no_fdr_genes	opposite	68	19	0	7	0.0	0.3684210526315789	0	0	-0.0972383565070131	Col3a1:-0.37,q=0.0532; Col5a2:-0.26,q=0.0906; Col5a1:-0.21,q=0.227; Col5a3:+0.35,q=0.244; Sh3kbp1:-0.11,q=0.285; Src:-0.14,q=0.309; Met:-0.15,q=0.32; Tns3:-0.15,q=0.334	MET is plausible for liver repair after stress but lacks direct spaceflight support.
liver_hvg	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	FLT_down	moderate	mixed_tie	same	218	69	2	12	0.0289855072463768	0.1739130434782608	1	1	-0.0218843325754733	Foxo3:-0.30,q=0.0158; Dhrs9:+0.41,q=0.0376; Pdk4:+0.36,q=0.066; Akr1c14:-0.25,q=0.0661; Erbb4:-0.49,q=0.076; Cyp26b1:+0.49,q=0.076; Btc:+0.21,q=0.158; Aldh1a1:+0.18,q=0.226	The corrected decrease is plausible but the aggregate pathway combines receptors with different expected directions.
liver_hvg	R-MMU-9013149_RAC1_GTPASE_CYCLE	FLT_down	moderate	mostly_same_direction	same	173	60	3	22	0.05	0.3666666666666666	3	0	-0.0825471081025868	Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Nckap1l:-0.28,q=0.0433; Ncf2:-0.27,q=0.0548; ENSMUSG00000048865:-0.23,q=0.0565; Ngef:-0.26,q=0.0815; Dock2:-0.31,q=0.0906; Srgap3:+0.39,q=0.0906	RAC1 cycle remains a plausible microgravity response, not a direct liver spaceflight literature match.
liver_hvg	R-MMU-9955298_SLC_MEDIATED_TRANSPORT_OF_ORGANIC_ANIONS	FLT_down	none	no_fdr_genes	same	36	16	0	5	0.0	0.3125	0	0	-0.0795245139402895	Slco1b2:-0.24,q=0.128; Slc16a1:+0.21,q=0.179; ENSMUSG00000020805:-0.19,q=0.25; Slco3a1:-0.10,q=0.329; Slc16a7:-0.14,q=0.418; Slc16a2:-0.13,q=0.431; Slc44a3:-0.07,q=0.441; Emb:-0.10,q=0.445	The corrected decrease is compatible with liver metabolic disruption, though not a direct published direction.
liver_hvg	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	FLT_down	moderate	mostly_same_direction	same	256	72	2	13	0.0277777777777777	0.1805555555555555	2	0	-0.0393997520860522	Ang:-0.27,q=0.0253; Ctss:-0.29,q=0.036; Angptl4:-0.36,q=0.0625; Adam19:-0.19,q=0.11; Fyn:-0.16,q=0.13; ENSMUSG00000101645:-0.14,q=0.164; Il6:-0.05,q=0.219; Actn1:-0.15,q=0.247	The corrected decrease can fit structural remodeling without being directly validated.
liver_hvg	R-MMU-69306_DNA_REPLICATION	FLT_down	weak	mostly_same_direction	same	119	16	1	6	0.0625	0.375	1	0	-0.1248638082959273	Mcm10:-0.40,q=0.0398; Ccne1:-0.18,q=0.13; Cdc6:-0.14,q=0.163; Pole:-0.12,q=0.285; Mcm5:-0.18,q=0.296; Mcm4:-0.12,q=0.32; Lig1:-0.15,q=0.324; Cdt1:-0.13,q=0.348	The corrected decrease is plausible but not a direct published liver direction.
liver_hvg	R-MMU-8980692_RHOA_GTPASE_CYCLE	FLT_down	weak	mostly_opposite_direction	same	142	53	1	13	0.0188679245283018	0.2452830188679245	0	1	-0.0631206941995092	Net1:+0.27,q=0.0177; ENSMUSG00000048865:-0.23,q=0.0565; Ngef:-0.26,q=0.0815; Dock2:-0.31,q=0.0906; Stbd1:-0.25,q=0.113; Vav1:-0.21,q=0.125; Tjp2:+0.21,q=0.131; Tagap:-0.19,q=0.164	The corrected decrease remains a plausible complementary mechanobiology signal.
liver_hvg	R-MMU-382556_ABC_FAMILY_PROTEIN_MEDIATED_TRANSPORT	FLT_down	none	no_fdr_genes	same	87	21	0	8	0.0	0.3809523809523809	0	0	-0.1476927170254569	Abcb1a:-0.39,q=0.0933; Abcc4:-0.25,q=0.13; Abcg1:-0.22,q=0.144; Abca9:-0.18,q=0.193; Abcg5:-0.19,q=0.196; Abcg8:-0.21,q=0.22; Abca6:-0.18,q=0.293; Abcc2:-0.16,q=0.297	The corrected decrease remains compatible with liver metabolic disruption but is not a direct prior direction.
liver_hvg	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	FLT_down	moderate	mostly_same_direction	same	73	46	2	21	0.0434782608695652	0.4565217391304347	2	0	-0.1123734211547433	Itgb7:-0.37,q=0.00771; Itgal:-0.31,q=0.0291; Itgb2:-0.28,q=0.0519; Itgax:-0.35,q=0.0522; Col3a1:-0.37,q=0.0532; Itga4:-0.36,q=0.0535; Col5a2:-0.26,q=0.0906; Col6a3:-0.25,q=0.135	The pathway remains plausible, but direct liver evidence is indirect.
liver_hvg	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	moderate	mostly_same_direction	same	410	117	4	39	0.0341880341880341	0.3333333333333333	4	0	-0.0727633991596031	Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Grb10:-0.30,q=0.0275; Nckap1l:-0.28,q=0.0433; Col3a1:-0.37,q=0.0532; Ncf2:-0.27,q=0.0548; Erbb4:-0.49,q=0.076; Col5a2:-0.26,q=0.0906	The broad RTK label prevents a stronger call, but the corrected decrease is biologically plausible.
liver_hvg	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	strong	mostly_opposite_direction	same	145	37	8	12	0.2162162162162162	0.3243243243243243	3	5	-0.0062452483884677	Tubb2a:+0.92,q=6.29e-05; Tubb4b:+0.44,q=0.00727; Gbp5:-0.28,q=0.0188; Tuba1c:+0.38,q=0.0227; Tuba8:+0.52,q=0.0253; Gbp2:-0.37,q=0.0335; Tuba4a:+0.35,q=0.0398; Ifngr1:-0.17,q=0.0463	The corrected decrease supports a suppression interpretation rather than a direct prior up-call.
liver_hvg	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	FLT_down	moderate	mostly_same_direction	same	223	62	2	11	0.032258064516129	0.1774193548387097	2	0	-0.0460796430581985	Ang:-0.27,q=0.0253; Ctss:-0.29,q=0.036; Angptl4:-0.36,q=0.0625; Adam19:-0.19,q=0.11; Fyn:-0.16,q=0.13; ENSMUSG00000101645:-0.14,q=0.164; Il6:-0.05,q=0.219; Cdh5:-0.15,q=0.305	The structural-remodeling interpretation remains plausible but not directly validated.
liver_hvg	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	strong	mostly_same_direction	same	104	25	4	6	0.16	0.24	3	1	-0.0651883110705775	Slc5a6:-0.44,q=0.00123; Folr2:-0.37,q=0.0198; Slc23a2:-0.28,q=0.0296; Mthfr:+0.45,q=0.0453; Nmrk1:-0.29,q=0.185; Abcc1:-0.17,q=0.312; Mthfd1l:-0.15,q=0.315; Aox1:+0.14,q=0.348	The corrected decrease remains metabolically plausible but not strongly direction-matched.
liver_hvg	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	strong	mostly_opposite_direction	same	243	70	8	18	0.1142857142857142	0.2571428571428571	3	5	-0.0686208638665989	Tubb2a:+0.92,q=6.29e-05; Tubb4b:+0.44,q=0.00727; Tuba1c:+0.38,q=0.0227; Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Tuba8:+0.52,q=0.0253; Tuba4a:+0.35,q=0.0398; Nckap1l:-0.28,q=0.0433	The corrected decrease remains plausible, though direct liver validation is lacking.
liver_hvg	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	strong	mostly_same_direction	same	176	71	5	21	0.0704225352112676	0.2957746478873239	3	2	-0.0309382927158239	Cyp4a14:+1.10,q=0.00123; Thrsp:-0.65,q=0.0376; Cpt1a:-0.29,q=0.0386; Slc22a5:-0.33,q=0.0428; ENSMUSG00000066072:+0.49,q=0.0439; Cyp1a2:-0.34,q=0.0541; Fads2:-0.26,q=0.0599; Cyp8b1:+0.41,q=0.0654	The pathway is directly relevant, while the corrected decrease requires a more cautious direction claim.
liver_hvg	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	moderate	mostly_same_direction	same	36	17	2	5	0.1176470588235294	0.2941176470588235	2	0	-0.0554151165504137	Slc38a3:-0.39,q=0.0134; Slc43a1:-0.22,q=0.0177; Slc1a2:-0.24,q=0.0541; Slc43a2:-0.20,q=0.0985; Slc38a1:-0.15,q=0.219; Slc16a10:-0.13,q=0.264; Slc38a2:-0.12,q=0.472; Slc7a8:-0.07,q=0.642	The corrected decrease remains metabolically plausible, but transporter direction is not strongly established.
liver_hvg	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	strong	mostly_opposite_direction	same	596	173	10	41	0.0578034682080924	0.2369942196531791	4	6	-0.0585534790537272	Tubb2a:+0.92,q=6.29e-05; Tubb4b:+0.44,q=0.00727; Net1:+0.27,q=0.0177; Tuba1c:+0.38,q=0.0227; Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Tuba8:+0.52,q=0.0253; Fgd2:-0.31,q=0.0398	Rho signaling remains a plausible complementary mechanism with indirect liver support.
liver_hvg	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	FLT_down	moderate	mostly_same_direction	same	200	40	3	22	0.075	0.55	3	0	-0.1470214329351702	Itgb7:-0.37,q=0.00771; Slamf7:-0.31,q=0.0188; Itgal:-0.31,q=0.0291; Itgb2:-0.28,q=0.0519; Itga4:-0.36,q=0.0535; Pilra:-0.23,q=0.0537; Lair1:-0.30,q=0.0621; Siglecg:-0.24,q=0.0638	The direction fits immune dysfunction, while the exact cell-interaction label remains indirect.
liver_hvg	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	FLT_down	none	no_fdr_genes	same	120	59	0	13	0.0	0.2203389830508474	0	0	-0.0640469047557836	Igfbp7:-0.17,q=0.0621; Serpina10:-0.20,q=0.0839; Pcsk9:-0.43,q=0.0933; Igfbp4:-0.18,q=0.163; Igfbp1:+0.38,q=0.214; Il6:-0.05,q=0.219; C4b:-0.16,q=0.249; F5:-0.16,q=0.267	The corrected direction better matches inhibited metabolic signaling, although IGFBP transport direction is indirect.
liver_hvg	R-MMU-156590_GLUTATHIONE_CONJUGATION	FLT_down	weak	mostly_opposite_direction	opposite	37	20	1	2	0.05	0.1	0	1	0.0058876179480087	Gclc:+0.28,q=0.0408; Gstt2:-0.32,q=0.0648; Gstm6:-0.13,q=0.37; Ggt6:+0.17,q=0.414; Gstm4:+0.09,q=0.578; Gsta5:-0.05,q=0.617; Gsta1:+0.15,q=0.625; Ggt1:-0.02,q=0.71	The corrected decrease remains compatible with oxidative metabolic stress but is not a clean prior direction.
liver_hvg	R-MMU-202403_TCR_SIGNALING	FLT_down	strong	mostly_same_direction	same	101	17	4	11	0.2352941176470588	0.6470588235294118	4	0	-0.1840998979296424	H2-Eb1:-0.51,q=0.00263; Cd4:-0.33,q=0.00525; H2-Ab1:-0.40,q=0.0289; H2-Aa:-0.47,q=0.038; Ptprc:-0.40,q=0.0548; Lcp2:-0.23,q=0.066; Plcg2:-0.21,q=0.105; Inpp5d:-0.18,q=0.152	The direction is compatible with immune suppression, although the pathway likely reflects immune-cell composition rather than hepatocyte biology.
liver_hvg	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	FLT_down	moderate	mostly_same_direction	same	333	43	3	21	0.0697674418604651	0.4883720930232558	2	1	-0.126910679323168	Nedd4l:+0.32,q=0.023; Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Ncf2:-0.27,q=0.0548; Rnf144b:+0.20,q=0.0877; ENSMUSG00000073700:-0.27,q=0.0939; Mrc1:-0.29,q=0.119; ENSMUSG00000016283:-0.08,q=0.128	The corrected decrease fits an immune-dysfunction interpretation better than inflammatory activation, but remains indirect.
liver_hvg	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	FLT_down	none	no_fdr_genes	same	60	15	0	2	0.0	0.1333333333333333	0	0	-0.0854815716191979	Slc2a2:-0.22,q=0.0509; Marcks:-0.21,q=0.22; Adra2a:+0.06,q=0.247; Gng2:-0.14,q=0.339; Itpr3:-0.15,q=0.348; Cacnb3:-0.08,q=0.446; Adcy6:-0.13,q=0.45; Rapgef4:-0.11,q=0.519	The corrected decrease removes the prior direction conflict while leaving tissue-context uncertainty.
liver_hvg	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	FLT_down	strong	mostly_same_direction	same	110	33	11	16	0.3333333333333333	0.4848484848484848	6	5	-0.1206096143566295	Tubb2a:+0.92,q=6.29e-05; H2-Eb1:-0.51,q=0.00263; Tubb4b:+0.44,q=0.00727; H2-DMa:-0.35,q=0.0134; Cd74:-0.41,q=0.0144; Tuba1c:+0.38,q=0.0227; Tuba8:+0.52,q=0.0253; H2-Ab1:-0.40,q=0.0289	The corrected decrease is compatible with immune dysfunction, though still not liver-specific.
skin_hvg	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	FLT_up	moderate	mostly_opposite_direction	opposite	202	44	2	6	0.0454545454545454	0.1363636363636363	0	2	-0.2927928925243908	Padi4:-1.05,q=0.0435; Padi3:-1.75,q=0.0493; Padi1:-1.47,q=0.0544; ENSMUSG00000002028:+0.14,q=0.0622; Nsd2:-0.21,q=0.0778; Ccnd1:-0.23,q=0.1; Uty:+1.03,q=0.173; H3c2:-0.59,q=0.265	Chromatin modifiers can mediate DNA repair, stress memory, and transcriptional adaptation in flight-exposed tissue.
skin_hvg	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	FLT_up	weak	mostly_opposite_direction	same	62	16	1	3	0.0625	0.1875	0	1	0.0644796734679431	Ace2:-0.56,q=0.0378; Inhba:-0.31,q=0.113; Pcsk1:-0.39,q=0.129; Lep:+0.35,q=0.23; Ces1d:+0.21,q=0.258; Pla2g7:-0.14,q=0.319; Ace:+0.22,q=0.342; Igf1:+0.17,q=0.44	Peptide hormone metabolism could reflect local stress-hormone or repair signaling in the skin.
skin_hvg	R-MMU-4839726_CHROMATIN_ORGANIZATION	FLT_up	moderate	mostly_opposite_direction	opposite	252	52	3	7	0.0576923076923076	0.1346153846153846	1	2	-0.2188833921289346	Nr2f2:+0.36,q=0.0154; Padi4:-1.05,q=0.0435; Padi3:-1.75,q=0.0493; Padi1:-1.47,q=0.0544; ENSMUSG00000002028:+0.14,q=0.0622; Nsd2:-0.21,q=0.0778; Ccnd1:-0.23,q=0.1; Ikzf2:+0.24,q=0.171	Chromatin organization can accompany DNA repair and transcriptional remodeling in flight-exposed skin.
