review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
25	R-MMU-194138_SIGNALING_BY_VEGF	FLT_down	orange_uncertain_no_direct_support	VEGF is plausible for repair and vascular biology, but liver spaceflight studies do not establish decreased VEGF signaling.	Uncertain: FLT_down is not directionally supported.	medium	The corrected decrease weakens an already indirect vascular-remodeling interpretation.	Houerbi2024;Vinken2022
26	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	FLT_down	orange_uncertain_no_direct_support	Endocytosis may participate in receptor and lipoprotein handling, but no direct liver spaceflight evidence supports this pathway direction.	Uncertain: FLT_down is generic and not directionally anchored.	low	Clathrin-mediated endocytosis is too broad for confident liver literature alignment.	Beheshti2019;Ilangovan2024
27	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	FLT_down	orange_uncertain_no_direct_support	Innate immune remodeling is supported in spaceflight, but reduced neutrophil degranulation is not a direct liver finding.	Uncertain/mixed: FLT_down could reflect immune suppression or cell-composition shifts.	medium	The pathway is immune-relevant but not directionally validated in liver.	Crucian2018;Kim2024;Vinken2022
28	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	FLT_up	green_prior_aligned	Spaceflight radiation/oxidative stress literature supports DNA damage responses, p53-linked stress, and cell-cycle regulation.	Aligned: FLT_up fits increased DNA-damage and stress-response signaling.	medium	TP53 regulation is a close response to space radiation, oxidative stress, senescence, and apoptosis.	Luxton2020;Vinken2022;daSilveira2020
29	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	FLT_down	red_conflict_or_artifact	Oxidative and chemical stress responses are central liver spaceflight themes, generally supporting pathway engagement rather than reduction.	Conflicting: FLT_down does not match the expected chemical/oxidative stress-response direction.	medium	The corrected decrease conflicts with strong prior stress-response literature.	Kurosawa2021;Moskaleva2015;Blaber2017
30	R-MMU-556833_METABOLISM_OF_LIPIDS	FLT_up	green_prior_aligned	Lipid dysregulation is the most replicated mouse liver spaceflight theme.	Aligned: FLT_up matches canonical hepatic lipid remodeling in flight.	high	Multiple missions and studies directly support liver lipid metabolism disruption during spaceflight.	Beheshti2019;Jonscher2016;Li2026
31	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	FLT_down	blue_plausible_complementary	Spaceflight immune dysfunction can reduce adaptive immune interactions, but this lymphoid/non-lymphoid interaction term is not liver-specific.	Partially aligned: FLT_down is plausible for suppressed immune crosstalk.	medium	The direction fits immune dysfunction, while the exact cell-interaction label remains indirect.	Crucian2018;Vinken2022
32	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	blue_plausible_complementary	Spaceflight liver work supports amino-acid and sulfur-metabolic remodeling, but transporter direction is not fixed.	Partially aligned: FLT_down can fit altered amino-acid handling, but not a direct published direction.	medium	The corrected decrease remains metabolically plausible, but transporter direction is not strongly established.	Kurosawa2021;Vitry2022
33	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	FLT_down	green_prior_aligned	Liver spaceflight studies support insulin resistance and downregulated insulin-related metabolic genes, with carbohydrate metabolism disruption.	Aligned: FLT_down fits inhibited insulin/carbohydrate metabolic signaling in liver.	medium	The corrected decrease is directionally consistent with hepatic insulin resistance and metabolic suppression.	Mathyk2024;Vinken2022
34	R-MMU-211859_BIOLOGICAL_OXIDATIONS	FLT_down	green_prior_aligned	Spaceflight affects hepatic CYP/redox metabolism, and reduced biological oxidation capacity is compatible with reported liver ADME disruption.	Aligned: FLT_down fits impaired or suppressed hepatic oxidation/xenobiotic metabolism.	medium	Biological oxidations remain a direct liver-relevant pathway, and the corrected decrease is plausible for CYP/redox disruption.	Moskaleva2015;Kurosawa2021;Vinken2022
35	R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	FLT_up	green_prior_aligned	Mouse liver spaceflight studies report retinol loss from lipid droplets and fat-soluble vitamin/lipid disruption.	Aligned: FLT_up fits retinoid/fat-soluble vitamin remodeling in spaceflight liver.	high	Retinoid and fat-soluble vitamin metabolism are directly tied to the reported hepatic lipotoxic response.	Jonscher2016;Beheshti2019
36	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	FLT_up	green_prior_aligned	Spaceflight liver studies repeatedly identify lipid, cholesterol, and lipoprotein pathway disruption.	Aligned: FLT_up matches increased/remodeled hepatic lipoprotein handling.	high	This is a direct extension of the canonical liver lipid dysregulation signal.	Beheshti2019;Uruno2021;Li2026
37	R-MMU-373755_SEMAPHORIN_INTERACTIONS	FLT_up	blue_plausible_complementary	Semaphorin biology can intersect vascular, immune, and fibrotic remodeling, but direct liver spaceflight evidence is weak.	Partially aligned: FLT_up is plausible as remodeling biology, not a validated published liver direction.	low	The term is a hypothesis-level liver remodeling signal rather than established spaceflight biology.	Friedman2008;Vinken2022
38	R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	FLT_up	orange_uncertain_no_direct_support	TSR-domain O-glycosylation can relate to secreted/ECM proteins, but no direct spaceflight liver direction supports it.	Uncertain: FLT_up is not clearly interpretable from prior literature.	low	The pathway is specific and lacks direct liver spaceflight support.	Ilangovan2024
39	R-MMU-372790_SIGNALING_BY_GPCR	FLT_up	orange_uncertain_no_direct_support	GPCR signaling is broad and may capture many liver/endocrine receptors, but direct spaceflight direction is not specific.	Uncertain: FLT_up is too generic to align confidently.	low	The pathway lacks enough specificity for a literature-supported liver call.	Mathyk2024;Vinken2022
40	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	FLT_up	red_conflict_or_artifact	Spaceflight liver literature reports hepatic insulin resistance and inhibited insulin/estrogen receptor signaling.	Conflicting: FLT_up in PI3K-AKT activation runs opposite the reported inhibited hepatic insulin signaling direction.	medium	AKT activation is close to insulin signaling, where prior liver evidence points to inhibition rather than activation.	Mathyk2024;Vinken2022
41	R-MMU-500792_GPCR_LIGAND_BINDING	FLT_up	orange_uncertain_no_direct_support	GPCR ligand binding is a broad receptor-family label without direct liver spaceflight direction.	Uncertain: FLT_up cannot be tied to a specific supported mechanism.	low	Too many unrelated GPCRs are bundled for a confident pathway interpretation.	Mathyk2024;Vinken2022
42	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	FLT_down	red_conflict_or_artifact	Reported hepatic insulin resistance and inhibited insulin signaling would predict more negative PI3K-AKT regulation, not less.	Conflicting: FLT_down in a negative-regulation term implies reduced brake on PI3K-AKT signaling.	medium	The corrected decrease reverses the prior alignment with inhibited insulin/AKT signaling.	Mathyk2024;Vinken2022
43	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	FLT_down	orange_uncertain_no_direct_support	Scavenger receptors connect liver lipid uptake and inflammation, but decreased pathway activity lacks direct spaceflight support.	Uncertain: FLT_down is not clearly aligned with lipotoxic or innate immune remodeling.	medium	The pathway is liver-relevant, but the corrected direction is not literature-anchored.	Beheshti2019;Crucian2018
44	R-MMU-5357801_PROGRAMMED_CELL_DEATH	FLT_down	red_conflict_or_artifact	Published liver spaceflight injury biology supports increased cell-death stress more than decreased programmed cell death.	Conflicting: FLT_down runs opposite expected injury-associated programmed cell death.	medium	The corrected decrease is difficult to reconcile with oxidative and metabolic liver injury literature.	Vinken2022;Blaber2017
45	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	FLT_up	orange_uncertain_no_direct_support	Second-messenger signaling is too broad to assign a specific liver spaceflight direction.	Uncertain: FLT_up may be downstream of many unrelated processes.	low	This broad signaling term lacks pathway-specific evidence.	Ilangovan2024
46	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_up	blue_plausible_complementary	Liver injury and microgravity can affect tissue architecture and adhesion, but direct junction-direction evidence is limited.	Partially aligned: FLT_up is plausible as remodeling, not directly validated.	medium	Cell-cell junction remodeling can accompany hepatic stress and altered mechanobiology.	Li2026;Vinken2022
47	R-MMU-983712_ION_CHANNEL_TRANSPORT	FLT_down	orange_uncertain_no_direct_support	Ion-channel transport is broad and tissue-nonspecific, with no direct liver spaceflight direction.	Uncertain: FLT_down is not interpretable as a supported liver signal.	low	The pathway lacks enough specificity for a confident literature call.	Ilangovan2024
48	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	FLT_up	blue_plausible_complementary	MAPK1/3 can respond to liver injury, cytokines, and mechanical stress, but direct liver spaceflight direction is weak.	Partially aligned: FLT_up is plausible stress signaling.	medium	MAPK1/3 fits metabolic/inflammatory stress but is not directly established as increased in liver spaceflight.	daSilveira2020;Vinken2022
49	R-MMU-112316_NEURONAL_SYSTEM	FLT_down	red_conflict_or_artifact	No liver spaceflight literature supports neuronal-system pathway activity as a hepatic label.	Off-context: FLT_down remains likely annotation noise or non-hepatic pathway semantics.	high	The neuronal label is tissue-incongruent regardless of direction.	Vinken2022
50	R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	FLT_down	orange_uncertain_no_direct_support	Post-translational phosphorylation is broad and lacks a specific liver spaceflight direction.	Uncertain: FLT_down is not pathway-specific enough for support.	low	The corrected decrease does not identify a concrete liver mechanism.	Blaber2017;Ilangovan2024
51	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	FLT_up	orange_uncertain_no_direct_support	Peptide ligand receptor signaling is broad and lacks a specific liver spaceflight direction.	Uncertain: FLT_up may reflect many unrelated receptor systems.	low	The pathway is too generic for confident literature alignment.	Mathyk2024;Vinken2022
52	R-MMU-69275_G2_M_TRANSITION	FLT_down	orange_uncertain_no_direct_support	Cell-cycle checkpoint and repair biology are plausible in spaceflight, but reduced G2/M transition is not directly established in liver.	Uncertain/mixed: FLT_down could reflect checkpoint arrest, but prior direction is not clean.	medium	The corrected decrease removes the stronger cell-cycle activation interpretation.	daSilveira2020;Luxton2020;Vinken2022
53	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	FLT_down	blue_plausible_complementary	Adherens-junction changes can accompany altered mechanics and tissue stress, though liver direction is indirect.	Partially aligned: FLT_down is plausible for weakened junctional organization under remodeling.	medium	The structural-remodeling interpretation remains plausible but not directly validated.	Li2026;Vinken2022
54	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	FLT_up	green_prior_aligned	Liver spaceflight reviews support injury, inflammation, apoptosis, and cell-death signaling.	Aligned: FLT_up matches expected death-receptor/apoptotic stress.	medium	Death receptor signaling is a close inflammatory apoptosis mechanism for stressed liver tissue.	Vinken2022;Blaber2017
55	R-MMU-1474290_COLLAGEN_FORMATION	FLT_down	orange_uncertain_no_direct_support	Collagen formation fits hepatic stellate/fibrotic remodeling, but prior work would more naturally suggest increased formation.	Uncertain/conflicting: FLT_down does not match a profibrotic collagen-formation interpretation.	medium	The corrected decrease weakens the fibrosis-remodeling support.	Jonscher2016;Friedman2008;Vinken2022
56	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	FLT_down	red_conflict_or_artifact	TLR cascades are close to liver inflammatory activation under oxidative and metabolic stress.	Conflicting: FLT_down runs opposite the expected innate inflammatory TLR direction.	medium	The corrected decrease is not directionally aligned with prior innate immune liver biology.	Baqai2009;Crucian2018;Vinken2022
57	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	blue_plausible_complementary	Spaceflight liver studies support sulfur, vitamin, and cofactor metabolism changes, but direction varies by compound and pathway arm.	Partially aligned: FLT_down is plausible as depleted or suppressed cofactor metabolism, but not a direct directional call.	medium	The corrected decrease remains metabolically plausible but not strongly direction-matched.	Kurosawa2021
58	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	FLT_up	green_prior_aligned	Spaceflight studies report altered plasma and tissue phospholipids and hepatic lipid dysregulation.	Aligned: FLT_up matches phospholipid/lipid remodeling during spaceflight.	high	Phospholipid metabolism is directly supported by spaceflight lipidomics and liver transcriptomics.	Uruno2021;Beheshti2019;Li2026
59	R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	FLT_up	blue_plausible_complementary	Cytoskeletal and mitochondrial stress responses make Rho/MIRO signaling plausible, but liver direction is indirect.	Partially aligned: FLT_up fits mechanotransduction/mitochondrial remodeling.	medium	The pathway bridges actin and mitochondrial dynamics, both relevant to spaceflight stress.	Li2026;daSilveira2020
60	R-MMU-157579_TELOMERE_MAINTENANCE	FLT_up	green_prior_aligned	Spaceflight radiation studies directly report telomere and DNA-damage response changes.	Aligned: FLT_up matches spaceflight-associated telomere maintenance stress.	medium	The evidence is spaceflight-specific, although not liver-specific.	Luxton2020;GarrettBakelman2019
61	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	FLT_up	blue_plausible_complementary	Complement is liver-produced and immune-relevant, and spaceflight alters immune/coagulation proteins, but direction is not liver-specific.	Partially aligned: FLT_up is plausible for inflammatory systemic remodeling.	medium	Complement regulation fits liver-immune crosstalk but has indirect directional support.	Houerbi2024;Crucian2018
62	R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	FLT_down	orange_uncertain_no_direct_support	Collagen biosynthesis can mark hepatic fibrotic remodeling, but direct liver spaceflight support for a decrease is weak.	Uncertain/conflicting: FLT_down does not match a simple stellate/profibrotic activation model.	medium	The pathway is plausible liver injury biology, but the corrected direction is not directly supported.	Jonscher2016;Friedman2008
63	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	blue_plausible_complementary	Spaceflight secretome studies show coagulation changes, and liver synthesizes many coagulation factors.	Partially aligned: FLT_up matches systemic coagulation perturbation but liver-specific pathway activity is indirect.	medium	Coagulation is biologically connected to liver and spaceflight but not directly resolved at hepatic pathway level.	Houerbi2024;Vinken2022
64	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FLT_up	blue_plausible_complementary	Spaceflight innate immune dysregulation makes Fc receptor phagocytosis plausible, but liver-specific direction is not direct.	Partially aligned: FLT_up may reflect Kupffer/macrophage immune activation.	medium	Phagocytosis fits hepatic innate immune remodeling, with indirect evidence.	Crucian2018;Kim2024;Vinken2022
65	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	FLT_up	blue_plausible_complementary	Complement activation is plausible in liver/systemic inflammation, but exact spaceflight liver direction is weak.	Partially aligned: FLT_up fits inflammatory complement involvement without direct liver validation.	medium	The liver produces complement proteins, making this plausible but not proven.	Houerbi2024;Crucian2018
66	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	FLT_up	orange_uncertain_no_direct_support	Spaceflight coagulation changes are reported, but platelet calcium response is a blood-cell pathway rather than liver-specific.	Uncertain: FLT_up likely reflects systemic hemostasis if real.	medium	The term is platelet-specific and lacks a direct hepatic interpretation.	Houerbi2024
67	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	FLT_down	orange_uncertain_no_direct_support	COPI-dependent Golgi-to-ER traffic is broad cell biology without a direct liver spaceflight direction.	Uncertain: FLT_down is not interpretable as a supported liver response.	low	The pathway is not part of the established liver spaceflight response.	Blaber2017;Ilangovan2024
68	R-MMU-1640170_CELL_CYCLE	FLT_down	orange_uncertain_no_direct_support	Cell-cycle remodeling occurs in spaceflight datasets, but decreased cell cycle is not a liver-specific prior direction.	Uncertain/mixed: FLT_down could reflect arrest or reduced proliferation, but evidence is indirect.	medium	The corrected decrease is not enough for a prior-aligned cell-cycle call.	daSilveira2020;Vinken2022
69	R-MMU-9769739_REGULATION_OF_CLOTTING_CASCADE	FLT_down	orange_uncertain_no_direct_support	Clotting biology connects liver synthetic function and spaceflight hemostasis, but decreased clotting regulation is not liver-validated.	Uncertain: FLT_down may reflect systemic hemostasis rather than hepatic pathway activity.	medium	The corrected direction remains indirect and tissue-context limited.	Houerbi2024
70	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	FLT_up	blue_plausible_complementary	Liver spaceflight affects metabolites, amino acids, bile/xenobiotic handling, and transporters, but this SLC term is broad.	Partially aligned: FLT_up is plausible as transport remodeling.	medium	The broad SLC pathway may reflect liver metabolic transporter adaptation without exact direction evidence.	Kurosawa2021;Vinken2022
71	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	blue_plausible_complementary	Microgravity alters cytoskeletal and mechanotransduction biology, making reduced Rho signaling plausible but not directly proven in liver.	Partially aligned: FLT_down can fit suppressed actin/mechanical signaling under unloading.	medium	Rho signaling remains a plausible complementary mechanism with indirect liver support.	Li2026;Kim2024
72	R-MMU-6794362_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	FLT_up	red_conflict_or_artifact	No liver spaceflight prior supports synaptic protein-interaction pathways.	Off-context: FLT_up is likely an annotation artifact for liver.	high	The pathway is neuronal/synaptic and tissue-incongruent.	Vinken2022
73	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	FLT_down	orange_uncertain_no_direct_support	RAF-MAPK signaling is plausible for stress biology, but decreased signaling lacks direct liver spaceflight support.	Uncertain/conflicting: FLT_down does not fit a simple stress-MAPK activation model.	medium	The corrected decrease makes this a weak directional literature match.	daSilveira2020;Vinken2022
74	R-MMU-8957322_METABOLISM_OF_STEROIDS	FLT_up	green_prior_aligned	Spaceflight liver literature reports lipid/steroid-related and estrogen pathway changes.	Aligned: FLT_up fits steroid/metabolic remodeling in liver.	medium	Steroid metabolism is liver-relevant and close to reported estrogen and lipid signaling changes.	Mathyk2024;Beheshti2019;Vinken2022
75	R-MMU-8951664_NEDDYLATION	FLT_down	orange_uncertain_no_direct_support	Neddylation is proteostasis-adjacent, but liver spaceflight literature does not support a decreased neddylation pathway.	Uncertain: FLT_down is not directly literature anchored.	low	The pathway remains mechanistically possible but not directionally supported.	Blaber2017;daSilveira2020
76	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	FLT_down	blue_plausible_complementary	Spaceflight affects endocrine/metabolic signaling and liver-muscle crosstalk, with inhibited insulin-related signaling in liver.	Partially aligned: FLT_down is plausible for suppressed IGF/insulin-axis transport biology.	medium	The corrected direction better matches inhibited metabolic signaling, although IGFBP transport direction is indirect.	Mathyk2024;Vitry2022
