source	profile_id	accession	tissue	condition	_row_index	pc1	pc2
real	OSD-240/Mmus_BAL-TAL_DSKN_GC_Rep10_G10	OSD-240	skin	ground_control	214	0.448169172	-0.0715578198
real	OSD-240/Mmus_BAL-TAL_DSKN_GC_Rep2_G2	OSD-240	skin	ground_control	216	0.65943867	-0.205521449
real	OSD-241/Mmus_BAL-TAL_FSKN_FLT_Rep6_F6	OSD-241	skin	flight	229	0.624256492	-0.201829016
real	OSD-241/Mmus_BAL-TAL_FSKN_FLT_Rep8_F9	OSD-241	skin	flight	231	0.549818337	-0.139040351
real	OSD-241/Mmus_BAL-TAL_FSKN_GC_Rep2_G2	OSD-241	skin	ground_control	235	0.531010389	-0.129747018
real	OSD-241/Mmus_BAL-TAL_FSKN_GC_Rep3_G3	OSD-241	skin	ground_control	236	0.557204604	0.0429880098
real	OSD-242/Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	OSD-242	liver	flight	245	-0.566808581	-0.312991321
real	OSD-242/Mmus_C57-6J_LVR_GC_C2_Rep3_G4	OSD-242	liver	ground_control	250	-0.550391078	-0.298754156
real	OSD-243/Mmus_C57-6T_DSKN_FLT_LAR_Rep3_F3	OSD-243	skin	flight	263	0.50225091	0.103958525
real	OSD-243/Mmus_C57-6T_DSKN_FLT_LAR_Rep6_F6	OSD-243	skin	flight	266	0.674921036	-0.138442636
real	OSD-243/Mmus_C57-6T_DSKN_FLT_LAR_Rep7_F7	OSD-243	skin	flight	267	0.707229435	-0.160124481
real	OSD-243/Mmus_C57-6T_DSKN_GC_ISS-T_Rep3_G3	OSD-243	skin	ground_control	273	0.212708279	0.155737668
real	OSD-243/Mmus_C57-6T_DSKN_GC_LAR_Rep3_G4	OSD-243	skin	ground_control	282	0.57145381	-0.0206406936
real	OSD-243/Mmus_C57-6T_DSKN_GC_LAR_Rep4_G5	OSD-243	skin	ground_control	283	0.680072606	-0.210247785
real	OSD-244/Mmus_C57-6T_TMS_FLT_ISS-T_Rep1_F1	OSD-244	thymus	flight	290	0.132571742	-0.0992091894
real	OSD-244/Mmus_C57-6T_TMS_FLT_LAR_Rep2_F2	OSD-244	thymus	flight	300	-0.0897099748	-0.0518261679
real	OSD-244/Mmus_C57-6T_TMS_FLT_LAR_Rep6_F7	OSD-244	thymus	flight	304	0.171428055	-0.0761969611
real	OSD-244/Mmus_C57-6T_TMS_GC_ISS-T_Rep2_G2	OSD-244	thymus	ground_control	310	0.265928239	-0.0792205557
real	OSD-244/Mmus_C57-6T_TMS_GC_LAR_Rep4_G5	OSD-244	thymus	ground_control	321	0.222357601	-0.0915237293
real	OSD-244/Mmus_C57-6T_TMS_GC_LAR_Rep6_G7	OSD-244	thymus	ground_control	323	0.366344243	-0.105211526
real	OSD-245/Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245	liver	flight	336	-0.522776186	-0.256793678
real	OSD-245/Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245	liver	flight	337	-0.50882417	-0.040906474
real	OSD-245/Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245	liver	flight	338	-0.574746251	-0.340263069
real	OSD-245/Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	OSD-245	liver	ground_control	351	-0.606737912	-0.428428382
real	OSD-245/Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	OSD-245	liver	ground_control	356	-0.554644287	-0.222481117
real	OSD-245/Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	OSD-245	liver	ground_control	361	-0.587939501	-0.396049201
real	OSD-246/Mmus_C57-6T_SPL_FLT_ISS-T_Rep5_F8	OSD-246	spleen	flight	370	0.0923376307	-0.0520045832
real	OSD-246/Mmus_C57-6T_SPL_FLT_LAR_Rep5_F7	OSD-246	spleen	flight	377	0.313544333	-0.0935932472
real	OSD-246/Mmus_C57-6T_SPL_FLT_LAR_Rep7_F9	OSD-246	spleen	flight	379	0.0450619981	-0.0392909162
real	OSD-246/Mmus_C57-6T_SPL_GC_LAR_Rep3_G5	OSD-246	spleen	ground_control	390	-0.0253008101	-0.0318130553
real	OSD-246/Mmus_C57-6T_SPL_GC_LAR_Rep8_G10	OSD-246	spleen	ground_control	395	0.162224934	-0.0669744015
real	OSD-246/Mmus_C57-6T_SPL_GC_LAR_Rep9_G2	OSD-246	spleen	ground_control	396	0.310934097	-0.090213798
real	OSD-247/Mmus_C57-6T_CLN_FLT_ISS-T_Rep2_F3	OSD-247	colon	flight	398	0.298556089	-0.182470337
real	OSD-247/Mmus_C57-6T_CLN_FLT_ISS-T_Rep6_F7	OSD-247	colon	flight	402	-0.14808856	-0.0147767728
real	OSD-247/Mmus_C57-6T_CLN_FLT_LAR_Rep9_F9	OSD-247	colon	flight	415	-0.0181196537	-0.0918484107
real	OSD-247/Mmus_C57-6T_CLN_GC_LAR_Rep3_G4	OSD-247	colon	ground_control	427	-0.27712208	0.00657486217
real	OSD-247/Mmus_C57-6T_CLN_GC_LAR_Rep5_G6	OSD-247	colon	ground_control	429	0.233478606	-0.197193876
real	OSD-247/Mmus_C57-6T_CLN_GC_LAR_Rep7_G9	OSD-247	colon	ground_control	431	-0.0824900419	-0.0635712668
real	OSD-248/Mmus_C57-6T_LNG_FLT_ISS-T_Rep10_F10	OSD-248	lung	flight	433	0.349018067	-0.168432921
real	OSD-248/Mmus_C57-6T_LNG_FLT_ISS-T_Rep1_F1	OSD-248	lung	flight	434	0.271268219	-0.21258308
real	OSD-248/Mmus_C57-6T_LNG_FLT_LAR_Rep3_F3	OSD-248	lung	flight	446	0.496559024	-0.174386621
real	OSD-248/Mmus_C57-6T_LNG_GC_ISS-T_Rep1_G1	OSD-248	lung	ground_control	454	0.255143762	-0.127249345
real	OSD-248/Mmus_C57-6T_LNG_GC_LAR_Rep3_G4	OSD-248	lung	ground_control	465	0.32327503	-0.15557757
real	OSD-248/Mmus_C57-6T_LNG_GC_LAR_Rep5_G6	OSD-248	lung	ground_control	467	0.265149951	-0.139961496
real	OSD-253/Mmus_C3H-HeJ_KDN_FLT_25days_Rep2_F6	OSD-253	kidney	flight	473	-0.085193418	-0.266968459
real	OSD-253/Mmus_C3H-HeJ_KDN_FLT_25days_Rep4_F14	OSD-253	kidney	flight	475	-0.224850565	-0.144855142
real	OSD-253/Mmus_C3H-HeJ_KDN_FLT_75days_Rep2_F8	OSD-253	kidney	flight	478	-0.102238074	-0.246470287
real	OSD-253/Mmus_C3H-HeJ_KDN_GC_75days_Rep2_G8	OSD-253	kidney	ground_control	488	-0.22650595	-0.238693252
real	OSD-253/Mmus_C3H-HeJ_KDN_GC_75days_Rep4_G16	OSD-253	kidney	ground_control	490	-0.374444932	-0.0335246325
real	OSD-253/Mmus_C57-6J_KDN_GC_25days_Rep5_G17	OSD-253	kidney	ground_control	506	-0.194686264	-0.238323852
real	OSD-254/Mmus_C3H-HeJ_SKN_FLT_25days_Rep3_F10	OSD-254	skin	flight	513	0.866974652	-0.190882459
real	OSD-254/Mmus_C3H-HeJ_SKN_GC_25days_Rep1_G2	OSD-254	skin	ground_control	521	0.665875018	-0.1488491
real	OSD-254/Mmus_C3H-HeJ_SKN_GC_75days_Rep2_G8	OSD-254	skin	ground_control	527	0.82113409	-0.172231674
real	OSD-254/Mmus_C57-6J_SKN_FLT_75days_Rep4_F15	OSD-254	skin	flight	539	0.660679877	-0.0231151991
real	OSD-254/Mmus_C57-6J_SKN_FLT_75days_Rep5_F19	OSD-254	skin	flight	540	0.680877268	0.0920048878
real	OSD-254/Mmus_C57-6J_SKN_GC_75days_Rep3_G15	OSD-254	skin	ground_control	548	0.733216524	-0.179047108
real	OSD-255/GSM3932694	OSD-255	retina	ground_control	552	0.388599783	-0.0221357048
real	OSD-255/GSM3932701	OSD-255	retina	flight	559	0.427837849	-0.0204973388
real	OSD-270/RR3_HRT_FLT_F1	OSD-270	heart	flight	567	-0.350565374	0.178336546
real	OSD-288/Mmus_C57-6CR_SPL_GC_1G_Rep2_gc2	OSD-288	spleen	ground_control	573	0.508689046	-0.114171632
real	OSD-288/Mmus_C57-6J_SPL_FLT_1G_Rep2_ag2	OSD-288	spleen	flight	576	0.560288131	-0.126310065
real	OSD-289/Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1	OSD-289	thymus	ground_control	581	0.577141523	-0.15135093
real	OSD-289/Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1	OSD-289	thymus	flight	584	0.875805974	-0.209525019
real	OSD-289/Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1	OSD-289	thymus	flight	593	0.855205476	-0.202916846
real	OSD-326/SRR11148754	OSD-326	skeletal_muscle	ground_control	597	-0.342375845	0.738141358
real	OSD-326/SRR11148760	OSD-326	skeletal_muscle	flight	603	-0.312567234	0.627046883
real	OSD-352/RR3_BRN_FLT_F2	OSD-352	brain	flight	605	-0.189700916	0.0936184153
real	OSD-352/RR3_BRN_GC_G7	OSD-352	brain	ground_control	607	-0.200874269	0.0884154886
real	OSD-379/RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379	liver	flight	614	-0.564360082	-0.460236728
real	OSD-379/RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379	liver	flight	617	-0.555466712	-0.217806354
real	OSD-379/RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379	liver	flight	619	-0.569217384	-0.54467845
real	OSD-379/RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379	liver	flight	622	-0.564803302	-0.201738209
real	OSD-379/RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379	liver	flight	626	-0.56018573	-0.49655205
real	OSD-379/RR8_LVR_FLT_LAR_OLD_FL11	OSD-379	liver	flight	630	-0.584332407	-0.378624886
real	OSD-379/RR8_LVR_GC_ISS-T_OLD_GI14	OSD-379	liver	ground_control	648	-0.551707983	-0.24128221
real	OSD-379/RR8_LVR_GC_ISS-T_OLD_GI17	OSD-379	liver	ground_control	651	-0.555398107	-0.357014537
real	OSD-379/RR8_LVR_GC_ISS-T_YNG_GI7	OSD-379	liver	ground_control	662	-0.582161665	-0.368110567
real	OSD-379/RR8_LVR_GC_LAR_OLD_GL12	OSD-379	liver	ground_control	666	-0.572004676	-0.21747297
real	OSD-379/RR8_LVR_GC_LAR_OLD_GL15	OSD-379	liver	ground_control	667	-0.684645653	-0.554621637
real	OSD-379/RR8_LVR_GC_LAR_YNG_GL5	OSD-379	liver	ground_control	678	-0.500106215	0.0794034973
real	OSD-397/M22	OSD-397	retina	flight	681	0.282372445	-0.0289095379
real	OSD-397/M26	OSD-397	retina	flight	685	0.170218766	0.00666455505
real	OSD-397/M33	OSD-397	retina	ground_control	691	0.234176084	-0.00516900513
real	OSD-401/GSM5398363	OSD-401	skeletal_muscle	flight	701	-0.123446532	0.840627134
real	OSD-401/GSM5398366	OSD-401	skeletal_muscle	ground_control	704	-0.091657564	1.08782065
real	OSD-419/RR1_GST-R_FLT_M26	OSD-419	skeletal_muscle	flight	711	-0.445412695	0.331776679
real	OSD-419/RR1_GST-R_GC_M38	OSD-419	skeletal_muscle	ground_control	717	-0.455656201	0.289485991
real	OSD-420/RR9_SPL_FLT_F2	OSD-420	spleen	flight	722	-0.222172484	0.0311346184
real	OSD-420/RR9_SPL_FLT_F8	OSD-420	spleen	flight	728	-0.207882687	0.0313362703
real	OSD-420/RR9_SPL_GC_G10	OSD-420	spleen	ground_control	731	-0.232592657	0.0313623473
real	OSD-420/RR9_SPL_GC_G4	OSD-420	spleen	ground_control	734	-0.264428496	0.0363253318
real	OSD-421/RR9_TMS_FLT_F7	OSD-421	thymus	flight	747	-0.387082577	0.055253908
real	OSD-421/RR9_TMS_FLT_F9	OSD-421	thymus	flight	749	-0.243619442	0.0155501999
real	OSD-421/RR9_TMS_GC_G5	OSD-421	thymus	ground_control	755	-0.12357641	-0.012382701
real	OSD-421/RR9_TMS_GC_G8	OSD-421	thymus	ground_control	758	-0.115894847	-0.0071762274
real	OSD-426/EU184	OSD-426	cells	flight	763	0.655693531	0.0142303081
real	OSD-426/EU188	OSD-426	cells	flight	767	0.889933586	-0.0113678742
real	OSD-426/EU231	OSD-426	cells	ground_control	776	0.164482236	0.0737630874
real	OSD-457/GSM4613920	OSD-457	bone	ground_control	789	0.0487213917	0.0738647208
real	OSD-457/GSM4613923	OSD-457	bone	flight	792	0.37808606	-0.117259212
real	OSD-457/GSM4613925	OSD-457	bone	flight	794	0.116039552	-0.0606137887
real	OSD-457/GSM4613926	OSD-457	bone	flight	795	0.126731113	-0.0605002493
real	OSD-457/GSM4613932	OSD-457	bone	ground_control	801	0.208983347	-0.0766095147
real	OSD-457/GSM4613934	OSD-457	spleen	flight	803	0.586611092	-0.159280986
real	OSD-457/GSM4613937	OSD-457	spleen	flight	806	0.684158623	-0.171852648
real	OSD-457/GSM4613949	OSD-457	spleen	ground_control	818	0.572721064	-0.151227802
real	OSD-457/GSM4613953	OSD-457	spleen	ground_control	822	0.650932789	-0.172164306
real	OSD-457/GSM4613959	OSD-457	liver	flight	828	-0.573946655	-0.621052265
real	OSD-457/GSM4613963	OSD-457	liver	flight	832	-0.549870551	-0.563186884
real	OSD-457/GSM4613969	OSD-457	liver	ground_control	838	-0.517105401	-0.570542812
real	OSD-457/GSM4613972	OSD-457	liver	ground_control	841	-0.507179022	-0.525381982
real	OSD-457/GSM4613982	OSD-457	white_adipose_tissue	ground_control	851	-0.0823935643	-0.271899611
real	OSD-457/GSM4613990	OSD-457	white_adipose_tissue	ground_control	859	-0.0698285848	-0.270623326
real	OSD-457/GSM4613996	OSD-457	white_adipose_tissue	flight	865	0.0225289408	-0.230870843
real	OSD-457/GSM4614002	OSD-457	white_adipose_tissue	flight	871	-0.00196258584	-0.242957115
real	OSD-457/GSM4614012	OSD-457	brown_adipose_tissue	ground_control	881	-0.391329885	-0.0141816624
real	OSD-457/GSM4614014	OSD-457	brown_adipose_tissue	ground_control	883	-0.394112349	0.00581848668
real	OSD-457/GSM4614019	OSD-457	brown_adipose_tissue	flight	888	-0.382258236	0.00967720337
real	OSD-457/GSM4614023	OSD-457	brown_adipose_tissue	flight	892	-0.371496022	0.0129885608
real	OSD-457/GSM4614036	OSD-457	thymus	flight	905	0.977110267	-0.239818498
real	OSD-457/GSM4614037	OSD-457	thymus	flight	906	0.956680059	-0.233810902
real	OSD-457/GSM4614043	OSD-457	thymus	ground_control	912	0.883600831	-0.220293403
real	OSD-457/GSM4614050	OSD-457	thymus	ground_control	919	0.811172247	-0.201095656
real	OSD-457/GSM4614053	OSD-457	bone	ground_control	922	0.31477198	0.0624705926
real	OSD-457/GSM4614066	OSD-457	kidney	ground_control	935	-0.294502556	-0.261923283
real	OSD-457/GSM4614073	OSD-457	kidney	flight	942	-0.287313759	-0.244875729
real	OSD-457/GSM4614079	OSD-457	brain	ground_control	948	0.472474992	0.0184427835
real	OSD-457/GSM4614088	OSD-457	brain	ground_control	957	0.299947739	0.0402032845
real	OSD-457/GSM4614095	OSD-457	brain	flight	964	0.341250569	0.0288898647
real	OSD-457/GSM4614100	OSD-457	brain	flight	969	0.357658833	0.0266136285
real	OSD-463/RR23_LVR_FLT_F7	OSD-463	liver	flight	976	-0.662144184	-0.430307418
real	OSD-463/RR23_LVR_FLT_F8	OSD-463	liver	flight	977	-0.583787084	-0.177146375
real	OSD-463/RR23_LVR_GC_G2	OSD-463	liver	ground_control	980	-0.566125095	-0.420137018
real	OSD-463/RR23_LVR_GC_G3	OSD-463	liver	ground_control	981	-0.535203576	-0.145441964
real	OSD-464/RR23_LNG_FLT_F7	OSD-464	lung	flight	994	-0.15857023	-0.0178372506
real	OSD-464/RR23_LNG_FLT_F8	OSD-464	lung	flight	995	-0.0622814	-0.0211026147
real	OSD-464/RR23_LNG_GC_G4	OSD-464	lung	ground_control	1000	0.0370631255	-0.0584579036
real	OSD-47/Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	liver	flight	1006	-0.617311537	-0.544511855
real	OSD-47/Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47	liver	ground_control	1010	-0.49680236	-0.521110475
real	OSD-48/Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	liver	flight	1015	-0.574560881	-0.14461638
real	OSD-48/Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	liver	ground_control	1019	-0.577628374	-0.205387443
real	OSD-506/RR23_SPL_FLT_F2	OSD-506	spleen	flight	1026	-0.297046959	0.0327478163
real	OSD-506/RR23_SPL_FLT_F9	OSD-506	spleen	flight	1033	-0.0619761199	-0.018978402
real	OSD-506/RR23_SPL_GC_G2	OSD-506	spleen	ground_control	1035	-0.295144051	0.0355496816
real	OSD-506/RR23_SPL_GC_G3	OSD-506	spleen	ground_control	1036	-0.0159447491	-0.0275923274
real	OSD-511/RRRM1_MG_FLT_LAR_OLD_FL11	OSD-511	mammary_gland	flight	1043	-0.0874194354	-0.195907012
real	OSD-511/RRRM1_MG_FLT_LAR_OLD_FL3	OSD-511	mammary_gland	flight	1045	-0.133834615	-0.134952784
real	OSD-511/RRRM1_MG_GC_LAR_OLD_GL11	OSD-511	mammary_gland	ground_control	1053	0.0260986164	-0.281295836
real	OSD-511/RRRM1_MG_GC_LAR_OLD_GL7	OSD-511	mammary_gland	ground_control	1058	0.0537577122	-0.229804769
real	OSD-511/RRRM1_MG_GC_LAR_YNG_GL2	OSD-511	mammary_gland	ground_control	1065	-0.0792921558	-0.182981178
real	OSD-512/RR23_ADR_FLT_F7	OSD-512	adrenal_gland	flight	1074	-0.215133905	-0.163861722
real	OSD-512/RR23_ADR_FLT_F9	OSD-512	adrenal_gland	flight	1076	-0.0767629519	-0.0773318633
real	OSD-512/RR23_ADR_GC_G5	OSD-512	adrenal_gland	ground_control	1081	-0.0367940329	-0.127583757
real	OSD-512/RR23_ADR_GC_G8	OSD-512	adrenal_gland	ground_control	1084	-0.148215994	-0.103792459
real	OSD-513/RR23_KDN_FLT_F3	OSD-513	kidney	flight	1088	-0.492238045	0.0444406345
real	OSD-513/RR23_KDN_FLT_F9	OSD-513	kidney	flight	1094	-0.476855367	0.0171939246
real	OSD-513/RR23_KDN_GC_G3	OSD-513	kidney	ground_control	1097	-0.436715186	-0.0121538341
real	OSD-513/RR23_KDN_GC_G4	OSD-513	kidney	ground_control	1098	-0.425274253	-0.0336365253
real	OSD-515/RR23_TMS_FLT_F5	OSD-515	thymus	flight	1108	0.535029888	-0.131094635
real	OSD-515/RR23_TMS_FLT_F9	OSD-515	thymus	flight	1112	-0.207782611	0.000473950611
real	OSD-515/RR23_TMS_GC_G1	OSD-515	thymus	ground_control	1113	0.595572889	-0.161983296
real	OSD-515/RR23_TMS_GC_G2	OSD-515	thymus	ground_control	1114	0.418453485	-0.115681574
real	OSD-525/RR23_Cb_FLT_F4	OSD-525	cerebellum	flight	1125	-0.257674396	0.055699721
real	OSD-525/RR23_Cb_FLT_F8	OSD-525	cerebellum	flight	1129	-0.195862383	0.0461714119
real	OSD-525/RR23_Cb_GC_G7	OSD-525	cerebellum	ground_control	1137	-0.294001728	0.0608766936
real	OSD-525/RR23_Cb_GC_G9	OSD-525	cerebellum	ground_control	1139	-0.140911713	0.0451310277
real	OSD-561/RRRM2_Cb_FLT_ISS-T_YNG_FY3	OSD-561	cerebellum	flight	1145	-0.31731081	0.07303565
real	OSD-561/RRRM2_Cb_FLT_ISS-T_YNG_FY6	OSD-561	cerebellum	flight	1147	-0.0783845559	0.043405816
real	OSD-561/RRRM2_Cb_GC_ISS-T_OLD_GO14	OSD-561	cerebellum	ground_control	1154	-0.484704554	0.0825121924
real	OSD-561/RRRM2_Cb_GC_ISS-T_OLD_GO20	OSD-561	cerebellum	ground_control	1156	-0.190832183	0.0510668159
real	OSD-562/RRRM2_HPC_FLT_ISS-T_YNG_FY3	OSD-562	hippocampus	flight	1172	-0.440594703	0.0808473155
real	OSD-562/RRRM2_HPC_FLT_LAR_YNG_FY6	OSD-562	hippocampus	flight	1179	-0.0853234082	0.0673059002
real	OSD-562/RRRM2_HPC_FLT_LAR_YNG_FY7	OSD-562	hippocampus	flight	1180	-0.148315385	0.0637010634
real	OSD-562/RRRM2_HPC_GC_ISS-T_YNG_GY5	OSD-562	hippocampus	ground_control	1185	-0.32498306	0.0736813843
real	OSD-562/RRRM2_HPC_GC_LAR_YNG_GY5	OSD-562	hippocampus	ground_control	1192	-0.294461995	0.0734839216
real	OSD-563/RR10_Cb_FLT_WT_F7	OSD-563	cerebellum	flight	1196	-0.074699834	0.0411113612
real	OSD-563/RR10_Cb_GC_WT_G7	OSD-563	cerebellum	ground_control	1201	0.0197835267	0.0297182575
real	OSD-564/RR10_HPC_FLT_WT_F9	OSD-564	hippocampus	flight	1207	-0.0447231121	0.0539016426
real	OSD-564/RR10_HPC_GC_WT_G9	OSD-564	hippocampus	ground_control	1212	0.00841783639	0.0575570092
real	OSD-576/RR23_R-TA_FLT_F7	OSD-576	skeletal_muscle	flight	1219	-0.329526544	0.659988403
real	OSD-576/RR23_R-TA_FLT_F8	OSD-576	skeletal_muscle	flight	1220	-0.269596308	0.773897529
real	OSD-576/RR23_R-TA_GC_G1	OSD-576	skeletal_muscle	ground_control	1222	-0.34608689	0.621382654
real	OSD-576/RR23_R-TA_GC_G2	OSD-576	skeletal_muscle	ground_control	1223	-0.329779595	0.703296661
real	OSD-580/RRRM2_HRT_FLT_ISS-T_OLD_FO15	OSD-580	heart	flight	1233	-0.438092977	0.141858235
real	OSD-580/RRRM2_HRT_FLT_ISS-T_YNG_FY7	OSD-580	heart	flight	1239	-0.512999833	0.0904023945
real	OSD-580/RRRM2_HRT_FLT_LAR_OLD_FO1	OSD-580	heart	flight	1241	-0.373595148	0.200439423
real	OSD-580/RRRM2_HRT_GC_ISS-T_YNG_GY1	OSD-580	heart	ground_control	1256	-0.410090566	0.179429173
real	OSD-580/RRRM2_HRT_GC_LAR_YNG_GY1	OSD-580	heart	ground_control	1266	-0.3794218	0.180542946
real	OSD-580/RRRM2_HRT_GC_LAR_YNG_GY3	OSD-580	heart	ground_control	1267	-0.351354986	0.18977879
real	OSD-599/GSM6996079	OSD-599	heart	ground_control	1273	-0.365057588	0.178083122
real	OSD-599/GSM6996080	OSD-599	heart	flight	1274	-0.382763803	0.169729665
real	OSD-612/RR10_BRN_FLT_WT_F1	OSD-612	brain	flight	1277	-0.173144475	0.094887279
real	OSD-612/RR10_BRN_GC_WT_G7	OSD-612	brain	ground_control	1284	-0.214296415	0.0664687231
