tissue	gene_set	term	description	pathway_genes_in_background	selected_genes	overlap	overlap_genes	overlap_symbols	p_value	fdr
edl	exploratory_union	R-MMU-9018519_ESTROGEN_DEPENDENT_GENE_EXPRESSION	https://reactome.org/PathwayBrowser/#/R-MMU-9018519	7	17	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.0057238031716408	0.0271880650652939
edl	exploratory_union	R-MMU-72163_MRNA_SPLICING_MAJOR_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-72163	15	17	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0263570009909545	0.0834638364713562
edl	exploratory_union	R-MMU-72172_MRNA_SPLICING	https://reactome.org/PathwayBrowser/#/R-MMU-72172	15	17	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0263570009909545	0.0834638364713562
edl	exploratory_union	R-MMU-72203_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	https://reactome.org/PathwayBrowser/#/R-MMU-72203	22	17	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0539725810220885	0.1430170996695209
edl	exploratory_union	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	https://reactome.org/PathwayBrowser/#/R-MMU-3700989	53	17	3	ENSMUSG00000019738,ENSMUSG00000038332,ENSMUSG00000038784	Polr2i,Sesn1,Cnot4	0.0602177261766404	0.1430170996695209
edl	exploratory_union	R-MMU-8939211_ESR_MEDIATED_SIGNALING	https://reactome.org/PathwayBrowser/#/R-MMU-8939211	26	17	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.0728972752234923	0.1538942476940394
edl	exploratory_union	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	https://reactome.org/PathwayBrowser/#/R-MMU-9006931	30	17	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.0936769914557109	0.1779862837658507
edl	exploratory_union	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	https://reactome.org/PathwayBrowser/#/R-MMU-382551	33	17	2	ENSMUSG00000022822,ENSMUSG00000031431	Abcc5,Tsc22d3	0.1102929415679834	0.1905059899810623
edl	exploratory_union	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	https://reactome.org/PathwayBrowser/#/R-MMU-71387	37	17	2	ENSMUSG00000022822,ENSMUSG00000029136	Abcc5,Rbks	0.1335962105189166	0.2115273333216179
edl	exploratory_union	R-MMU-73894_DNA_REPAIR	https://reactome.org/PathwayBrowser/#/R-MMU-73894	42	17	2	ENSMUSG00000007646,ENSMUSG00000019738	Rad51c,Polr2i	0.1642128981123174	0.2400034664718485
edl	exploratory_union	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-212436	90	17	3	ENSMUSG00000019738,ENSMUSG00000038332,ENSMUSG00000038784	Polr2i,Sesn1,Cnot4	0.2021906920936567	0.2744016535556769
edl	exploratory_union	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-73857	97	17	3	ENSMUSG00000019738,ENSMUSG00000038332,ENSMUSG00000038784	Polr2i,Sesn1,Cnot4	0.2352967115093094	0.2980425012451253
edl	exploratory_union	R-MMU-1430728_METABOLISM	https://reactome.org/PathwayBrowser/#/R-MMU-1430728	150	17	4	ENSMUSG00000022822,ENSMUSG00000029136,ENSMUSG00000046598,ENSMUSG00000053907	Abcc5,Rbks,Bdh1,Mat2a	0.258975701112125	0.3012318842149687
edl	exploratory_union	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-74160	104	17	3	ENSMUSG00000019738,ENSMUSG00000038332,ENSMUSG00000038784	Polr2i,Sesn1,Cnot4	0.2695232648239194	0.3012318842149687
edl	exploratory_union	R-MMU-392499_METABOLISM_OF_PROTEINS	https://reactome.org/PathwayBrowser/#/R-MMU-392499	161	17	3	ENSMUSG00000038774,ENSMUSG00000046598,ENSMUSG00000048490	Ascc3,Bdh1,Nrip1	0.5519022111352851	0.5825634450872454
edl	exploratory_union	R-MMU-162582_SIGNAL_TRANSDUCTION	https://reactome.org/PathwayBrowser/#/R-MMU-162582	212	17	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.9136243633469008	0.9136243633469008
gastrocnemius	generated_supported	R-MMU-69202_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69202	16	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.017768344007365	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-69656_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	https://reactome.org/PathwayBrowser/#/R-MMU-69656	17	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0199859643144729	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-69231_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1	https://reactome.org/PathwayBrowser/#/R-MMU-69231	18	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0223151028841509	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-69236_G1_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-69236	18	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0223151028841509	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-212436	90	13	4	ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000023067,ENSMUSG00000032402	Ddit4,Mnat1,Cdkn1a,Smad3	0.0254564171273893	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	https://reactome.org/PathwayBrowser/#/R-MMU-3700989	53	13	3	ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000023067	Ddit4,Mnat1,Cdkn1a	0.0295366895643776	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	https://reactome.org/PathwayBrowser/#/R-MMU-1266738	54	13	3	ENSMUSG00000023067,ENSMUSG00000032402,ENSMUSG00000045382	Cdkn1a,Smad3,Cxcr4	0.0310294535387374	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-73857	97	13	4	ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000023067,ENSMUSG00000032402	Ddit4,Mnat1,Cdkn1a,Smad3	0.0326853466142941	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	https://reactome.org/PathwayBrowser/#/R-MMU-453274	24	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0384734434555069	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-69206_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69206	24	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0384734434555069	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-69275_G2_M_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69275	24	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0384734434555069	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-74160	104	13	4	ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000023067,ENSMUSG00000032402	Ddit4,Mnat1,Cdkn1a,Smad3	0.0410648441029079	0.0684414068381799
gastrocnemius	generated_supported	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-453279	31	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0614912023217048	0.0946018497256997
gastrocnemius	generated_supported	R-MMU-69242_S_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-69242	33	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0687799407543577	0.0982570582205111
gastrocnemius	generated_supported	R-MMU-8953854_METABOLISM_OF_RNA	https://reactome.org/PathwayBrowser/#/R-MMU-8953854	49	13	2	ENSMUSG00000004951,ENSMUSG00000021103	Hspb1,Mnat1	0.1358715456930365	0.1811620609240486
gastrocnemius	generated_supported	R-MMU-69278_CELL_CYCLE_MITOTIC	https://reactome.org/PathwayBrowser/#/R-MMU-69278	76	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.2693795346221386	0.3367244182776732
gastrocnemius	generated_supported	R-MMU-162582_SIGNAL_TRANSDUCTION	https://reactome.org/PathwayBrowser/#/R-MMU-162582	212	13	4	ENSMUSG00000004951,ENSMUSG00000023067,ENSMUSG00000032402,ENSMUSG00000045382	Hspb1,Cdkn1a,Smad3,Cxcr4	0.3078336098340026	0.3621571880400031
gastrocnemius	generated_supported	R-MMU-1640170_CELL_CYCLE	https://reactome.org/PathwayBrowser/#/R-MMU-1640170	89	13	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.3363355548844913	0.3737061720938792
gastrocnemius	generated_supported	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	https://reactome.org/PathwayBrowser/#/R-MMU-597592	131	13	2	ENSMUSG00000002985,ENSMUSG00000032402	Apoe,Smad3	0.5394861886522394	0.5678801985813046
gastrocnemius	generated_supported	R-MMU-392499_METABOLISM_OF_PROTEINS	https://reactome.org/PathwayBrowser/#/R-MMU-392499	161	13	2	ENSMUSG00000002985,ENSMUSG00000032402	Apoe,Smad3	0.6605124838274934	0.6605124838274934
gastrocnemius	exploratory_union	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	https://reactome.org/PathwayBrowser/#/R-MMU-1266738	54	24	6	ENSMUSG00000020176,ENSMUSG00000021359,ENSMUSG00000023067,ENSMUSG00000032402,ENSMUSG00000044393,ENSMUSG00000045382	Grb10,Tfap2a,Cdkn1a,Smad3,Dsg2,Cxcr4	0.0013630585312116	0.057248458310888
gastrocnemius	exploratory_union	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-212436	90	24	7	ENSMUSG00000002250,ENSMUSG00000019942,ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000021359,ENSMUSG00000023067,ENSMUSG00000032402	Ppard,Cdk1,Ddit4,Mnat1,Tfap2a,Cdkn1a,Smad3	0.0042706735326154	0.0896841441849234
gastrocnemius	exploratory_union	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-73857	97	24	7	ENSMUSG00000002250,ENSMUSG00000019942,ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000021359,ENSMUSG00000023067,ENSMUSG00000032402	Ppard,Cdk1,Ddit4,Mnat1,Tfap2a,Cdkn1a,Smad3	0.0065478227525954	0.0916695185363358
gastrocnemius	exploratory_union	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	https://reactome.org/PathwayBrowser/#/R-MMU-74160	104	24	7	ENSMUSG00000002250,ENSMUSG00000019942,ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000021359,ENSMUSG00000023067,ENSMUSG00000032402	Ppard,Cdk1,Ddit4,Mnat1,Tfap2a,Cdkn1a,Smad3	0.0096509034564045	0.1013344862922475
gastrocnemius	exploratory_union	R-MMU-8852276_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	https://reactome.org/PathwayBrowser/#/R-MMU-8852276	8	24	2	ENSMUSG00000019942,ENSMUSG00000023067	Cdk1,Cdkn1a	0.0148909698676875	0.1083627992106929
gastrocnemius	exploratory_union	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	https://reactome.org/PathwayBrowser/#/R-MMU-453274	24	24	3	ENSMUSG00000019942,ENSMUSG00000021103,ENSMUSG00000023067	Cdk1,Mnat1,Cdkn1a	0.0189486317529358	0.1083627992106929
gastrocnemius	exploratory_union	R-MMU-69275_G2_M_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69275	24	24	3	ENSMUSG00000019942,ENSMUSG00000021103,ENSMUSG00000023067	Cdk1,Mnat1,Cdkn1a	0.0189486317529358	0.1083627992106929
gastrocnemius	exploratory_union	R-MMU-162582_SIGNAL_TRANSDUCTION	https://reactome.org/PathwayBrowser/#/R-MMU-162582	212	24	10	ENSMUSG00000002250,ENSMUSG00000004951,ENSMUSG00000019942,ENSMUSG00000020176,ENSMUSG00000023067,ENSMUSG00000026360,ENSMUSG00000032402,ENSMUSG00000044393,ENSMUSG00000045382,ENSMUSG00000076431	Ppard,Hspb1,Cdk1,Grb10,Cdkn1a,Rgs2,Smad3,Dsg2,Cxcr4,Sox4	0.0211109304715557	0.1083627992106929
gastrocnemius	exploratory_union	R-MMU-5687128_MAPK6_MAPK4_SIGNALING	https://reactome.org/PathwayBrowser/#/R-MMU-5687128	10	24	2	ENSMUSG00000004951,ENSMUSG00000019942	Hspb1,Cdk1	0.0232205998308627	0.1083627992106929
gastrocnemius	exploratory_union	R-MMU-9833482_PKR_MEDIATED_SIGNALING	https://reactome.org/PathwayBrowser/#/R-MMU-9833482	11	24	2	ENSMUSG00000019942,ENSMUSG00000025889	Cdk1,Snca	0.0279565665101781	0.117417579342748
gastrocnemius	exploratory_union	R-MMU-69273_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69273	12	24	2	ENSMUSG00000019942,ENSMUSG00000021103	Cdk1,Mnat1	0.0330471159491804	0.1238086891637336
gastrocnemius	exploratory_union	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	https://reactome.org/PathwayBrowser/#/R-MMU-3700989	53	24	4	ENSMUSG00000019942,ENSMUSG00000020108,ENSMUSG00000021103,ENSMUSG00000023067	Cdk1,Ddit4,Mnat1,Cdkn1a	0.0368929801843984	0.1238086891637336
gastrocnemius	exploratory_union	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	https://reactome.org/PathwayBrowser/#/R-MMU-1169410	13	24	2	ENSMUSG00000019942,ENSMUSG00000025889	Cdk1,Snca	0.0384734434555069	0.1238086891637336
gastrocnemius	exploratory_union	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	https://reactome.org/PathwayBrowser/#/R-MMU-382551	33	24	3	ENSMUSG00000002985,ENSMUSG00000031431,ENSMUSG00000036067	Apoe,Tsc22d3,Slc2a6	0.0441487017567356	0.1238086891637336
gastrocnemius	exploratory_union	R-MMU-6791312_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	https://reactome.org/PathwayBrowser/#/R-MMU-6791312	14	24	2	ENSMUSG00000019942,ENSMUSG00000023067	Cdk1,Cdkn1a	0.0442173889870477	0.1238086891637336
gastrocnemius	exploratory_union	R-MMU-69202_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69202	16	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0565886078706362	0.1470581726871493
gastrocnemius	exploratory_union	R-MMU-69656_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	https://reactome.org/PathwayBrowser/#/R-MMU-69656	17	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0631826219789444	0.1470581726871493
gastrocnemius	exploratory_union	R-MMU-913531_INTERFERON_SIGNALING	https://reactome.org/PathwayBrowser/#/R-MMU-913531	17	24	2	ENSMUSG00000019942,ENSMUSG00000025889	Cdk1,Snca	0.0631826219789444	0.1470581726871493
gastrocnemius	exploratory_union	R-MMU-69231_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1	https://reactome.org/PathwayBrowser/#/R-MMU-69231	18	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0700277012795949	0.1470581726871493
gastrocnemius	exploratory_union	R-MMU-69236_G1_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-69236	18	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.0700277012795949	0.1470581726871493
gastrocnemius	exploratory_union	R-MMU-69206_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69206	24	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.115556259043088	0.231112518086176
gastrocnemius	exploratory_union	R-MMU-109581_APOPTOSIS	https://reactome.org/PathwayBrowser/#/R-MMU-109581	26	24	2	ENSMUSG00000024521,ENSMUSG00000044393	Pmaip1,Dsg2	0.1321122606302654	0.2522143157486886
gastrocnemius	exploratory_union	R-MMU-5357801_PROGRAMMED_CELL_DEATH	https://reactome.org/PathwayBrowser/#/R-MMU-5357801	29	24	2	ENSMUSG00000024521,ENSMUSG00000044393	Pmaip1,Dsg2	0.1579136940325927	0.2883641369290824
gastrocnemius	exploratory_union	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	https://reactome.org/PathwayBrowser/#/R-MMU-9006931	30	24	2	ENSMUSG00000002250,ENSMUSG00000004951	Ppard,Hspb1	0.1667299330277114	0.2917773827984949
gastrocnemius	exploratory_union	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-453279	31	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.1756376321292959	0.2950712219772171
gastrocnemius	exploratory_union	R-MMU-5688426_DEUBIQUITINATION	https://reactome.org/PathwayBrowser/#/R-MMU-5688426	32	24	2	ENSMUSG00000019942,ENSMUSG00000032402	Cdk1,Smad3	0.1846275125481486	0.2982444433470093
gastrocnemius	exploratory_union	R-MMU-69242_S_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-69242	33	24	2	ENSMUSG00000021103,ENSMUSG00000023067	Mnat1,Cdkn1a	0.1936906616314656	0.3012965847600576
gastrocnemius	exploratory_union	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	https://reactome.org/PathwayBrowser/#/R-MMU-1280215	67	24	3	ENSMUSG00000019942,ENSMUSG00000020176,ENSMUSG00000025889	Cdk1,Grb10,Snca	0.2250160087671149	0.3338419084094434
gastrocnemius	exploratory_union	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	https://reactome.org/PathwayBrowser/#/R-MMU-5683057	37	24	2	ENSMUSG00000004951,ENSMUSG00000019942	Hspb1,Cdk1	0.2305098891398537	0.3338419084094434
gastrocnemius	exploratory_union	R-MMU-422475_AXON_GUIDANCE	https://reactome.org/PathwayBrowser/#/R-MMU-422475	39	24	2	ENSMUSG00000020176,ENSMUSG00000045382	Grb10,Cxcr4	0.2491524695020273	0.3375614102930692
gastrocnemius	exploratory_union	R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT	https://reactome.org/PathwayBrowser/#/R-MMU-9675108	39	24	2	ENSMUSG00000020176,ENSMUSG00000045382	Grb10,Cxcr4	0.2491524695020273	0.3375614102930692
gastrocnemius	exploratory_union	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	https://reactome.org/PathwayBrowser/#/R-MMU-388396	40	24	2	ENSMUSG00000026360,ENSMUSG00000045382	Rgs2,Cxcr4	0.2585074279693747	0.3392909992098044
gastrocnemius	exploratory_union	R-MMU-372790_SIGNALING_BY_GPCR	https://reactome.org/PathwayBrowser/#/R-MMU-372790	41	24	2	ENSMUSG00000026360,ENSMUSG00000045382	Rgs2,Cxcr4	0.2678762547658617	0.3409334151565512
gastrocnemius	exploratory_union	R-MMU-69278_CELL_CYCLE_MITOTIC	https://reactome.org/PathwayBrowser/#/R-MMU-69278	76	24	3	ENSMUSG00000019942,ENSMUSG00000021103,ENSMUSG00000023067	Cdk1,Mnat1,Cdkn1a	0.2865970639437502	0.3439577231198105
gastrocnemius	exploratory_union	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	https://reactome.org/PathwayBrowser/#/R-MMU-69620	43	24	2	ENSMUSG00000019942,ENSMUSG00000023067	Cdk1,Cdkn1a	0.2866314359331754	0.3439577231198105
gastrocnemius	exploratory_union	R-MMU-8953854_METABOLISM_OF_RNA	https://reactome.org/PathwayBrowser/#/R-MMU-8953854	49	24	2	ENSMUSG00000004951,ENSMUSG00000021103	Hspb1,Mnat1	0.3426497485647841	0.3997580399922481
gastrocnemius	exploratory_union	R-MMU-1640170_CELL_CYCLE	https://reactome.org/PathwayBrowser/#/R-MMU-1640170	89	24	3	ENSMUSG00000019942,ENSMUSG00000021103,ENSMUSG00000023067	Cdk1,Mnat1,Cdkn1a	0.3781152817031192	0.4292119413927299
gastrocnemius	exploratory_union	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	https://reactome.org/PathwayBrowser/#/R-MMU-9006934	73	24	2	ENSMUSG00000004951,ENSMUSG00000020176	Hspb1,Grb10	0.5488714528945362	0.6066473953044874
gastrocnemius	exploratory_union	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	https://reactome.org/PathwayBrowser/#/R-MMU-597592	131	24	3	ENSMUSG00000002985,ENSMUSG00000019942,ENSMUSG00000032402	Apoe,Cdk1,Smad3	0.647261520037673	0.6970508677328786
gastrocnemius	exploratory_union	R-MMU-392499_METABOLISM_OF_PROTEINS	https://reactome.org/PathwayBrowser/#/R-MMU-392499	161	24	3	ENSMUSG00000002985,ENSMUSG00000019942,ENSMUSG00000032402	Apoe,Cdk1,Smad3	0.7865929136868753	0.8259225593712192
gastrocnemius	exploratory_union	R-MMU-168256_IMMUNE_SYSTEM	https://reactome.org/PathwayBrowser/#/R-MMU-168256	186	24	3	ENSMUSG00000019942,ENSMUSG00000020176,ENSMUSG00000025889	Cdk1,Grb10,Snca	0.8669058198126222	0.8880498641982958
gastrocnemius	exploratory_union	R-MMU-1430728_METABOLISM	https://reactome.org/PathwayBrowser/#/R-MMU-1430728	150	24	2	ENSMUSG00000002250,ENSMUSG00000002985	Ppard,Apoe	0.9058211724321856	0.9058211724321856
quadriceps	core_intersection	R-MMU-187577_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	https://reactome.org/PathwayBrowser/#/R-MMU-187577	10	12	2	ENSMUSG00000023067,ENSMUSG00000070348	Cdkn1a,Ccnd1	0.005932139200275	0.0597940493794163
quadriceps	core_intersection	R-MMU-5628897_TP53_REGULATES_METABOLIC_GENES	https://reactome.org/PathwayBrowser/#/R-MMU-5628897	10	12	2	ENSMUSG00000020108,ENSMUSG00000038332	Ddit4,Sesn1	0.005932139200275	0.0597940493794163
quadriceps	core_intersection	R-MMU-69202_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-69202	16	12	2	ENSMUSG00000023067,ENSMUSG00000070348	Cdkn1a,Ccnd1	0.0151798293608586	0.0597940493794163
quadriceps	core_intersection	R-MMU-69656_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	https://reactome.org/PathwayBrowser/#/R-MMU-69656	17	12	2	ENSMUSG00000023067,ENSMUSG00000070348	Cdkn1a,Ccnd1	0.0170859992974857	0.0597940493794163
