tissue	selected_arm	best_generated_arm	prior_best_use_arm	prior_comparison_status	prior_test_n	real_mean_balanced_accuracy	selected_mean_balanced_accuracy	real_mean_roc_auc	selected_mean_roc_auc	real_mean_average_precision	selected_mean_average_precision	generated_arm_eligible_all_metrics	paired_repeats	mean_delta_balanced_accuracy	nonworse_rate_balanced_accuracy	strict_win_rate_balanced_accuracy	mean_delta_roc_auc	nonworse_rate_roc_auc	strict_win_rate_roc_auc	mean_delta_average_precision	nonworse_rate_average_precision	strict_win_rate_average_precision	all_metrics_nonworse_rate	all_metrics_strict_win_rate	stable_genes	core_intersection_genes	generated_supported_genes	exploratory_union_genes	stable_genes_real_fdr_0_05	stable_genes_real_loo_fdr_0_05	all_panel_genes_real_fdr_0_05	all_panel_genes_real_loo_fdr_0_05	reactome_fdr_0_05_core_intersection	reactome_fdr_0_05_generated_supported	reactome_fdr_0_05_exploratory_union	status	development_profiles	flight	ground_control	completed_repeats
kidney	guided_low_weight	guided_low_weight	NA	NA	NA	0.6538461538461539	0.7067307692307693	0.6797337278106509	0.7707100591715976	0.6833000131398365	0.7985980444783848	True	8	0.0528846153846153	0.875	0.75	0.0909763313609467	0.875	0.875	0.1152980313385482	0.875	0.875	0.875	0.75	43	9	13	21	3	1	3	1	0	0	0	complete	111	56.0	55.0	8.0
liver	real_only	guided_low_weight	NA	NA	NA	0.7211538461538461	0.7211538461538461	0.7642381656804733	0.7642381656804733	0.7729016948208808	0.7729016948208808	False	8	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	57	3	12	42	3	0	19	3	0	0	0	complete	197	101.0	96.0	8.0
lung	generated_only	generated_only	NA	NA	NA	0.6640625	0.7421875	0.6796875	0.830078125	0.6843229253385503	0.8325236829143079	True	8	0.078125	0.625	0.5	0.150390625	0.75	0.75	0.1482007575757575	1.0	1.0	0.625	0.5	45	7	14	24	0	0	0	0	8	7	4	complete	63	32.0	31.0	8.0
mammary_gland	generated_only	generated_only	NA	NA	NA	0.7708333333333333	0.8854166666666666	0.8541666666666667	0.9583333333333334	0.875	0.9583333333333331	True	8	0.1145833333333333	1.0	0.625	0.1041666666666666	0.875	0.375	0.0833333333333333	0.875	0.375	0.875	0.375	15	0	0	15	0	0	0	0	0	0	5	complete	20	8.0	12.0	8.0
optic_nerve	guided_low_weight	guided_low_weight	NA	NA	NA	0.76875	0.81875	0.8625	0.95	0.9495238095238094	0.9825	True	8	0.05	1.0	0.25	0.0875	1.0	0.375	0.0329761904761904	1.0	0.375	1.0	0.25	14	0	0	14	0	0	0	0	0	0	0	complete	29	19.0	10.0	8.0
retina	guided_low_weight	guided_low_weight	NA	NA	NA	0.5874999999999999	0.7232142857142857	0.6196428571428572	0.7625	0.7556596304022775	0.8458045579828668	True	8	0.1357142857142857	0.875	0.875	0.1428571428571428	0.875	0.875	0.0901449275805893	0.875	0.875	0.75	0.75	50	13	23	14	1	0	5	0	0	14	2	complete	63	37.0	26.0	8.0
skeletal_muscle	guided_real_only	guided_real_only	NA	NA	NA	0.8605628654970761	0.9316520467836256	0.924342105263158	0.9605263157894736	0.9083946888983416	0.9454802773788612	True	8	0.0710891812865497	0.875	0.875	0.0361842105263158	0.875	0.875	0.0370855884805195	0.75	0.75	0.75	0.75	98	14	30	54	14	10	26	13	5	1	25	complete	149	74.0	75.0	8.0
skin	real_plus_generated	real_plus_generated	NA	NA	NA	0.6707589285714286	0.7561383928571429	0.69140625	0.7678571428571429	0.7465904210795595	0.8084739202923813	True	8	0.0853794642857142	0.875	0.875	0.0764508928571428	0.875	0.875	0.0618834992128217	0.875	0.875	0.625	0.625	46	9	16	21	1	0	3	0	10	0	35	complete	125	66.0	59.0	8.0
spleen	real_plus_generated	real_plus_generated	NA	NA	NA	0.5170454545454546	0.6477272727272727	0.5402892561983471	0.7035123966942148	0.5887612892841748	0.7490450266401047	True	8	0.1306818181818182	0.875	0.875	0.1632231404958677	1.0	1.0	0.1602837373559298	0.875	0.875	0.75	0.75	50	8	16	26	7	0	34	1	0	0	0	complete	86	44.0	42.0	8.0
thymus	guided_low_weight	guided_low_weight	NA	NA	NA	0.7334280303030303	0.84375	0.8181818181818181	0.8873106060606061	0.8620404456355628	0.917947989922158	True	8	0.1103219696969696	0.875	0.875	0.0691287878787878	0.875	0.75	0.0559075442865951	0.875	0.875	0.75	0.75	45	9	20	16	24	11	78	18	10	41	8	complete	94	51.0	43.0	8.0
white_adipose_tissue	generated_only	generated_only	NA	NA	NA	1.0	1.0	1.0	1.0	1.0	1.0	True	8	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	16	0	0	16	0	0	0	0	0	0	4	complete	20	10.0	10.0	8.0
