analysis_scope	scope	tissue	gene	symbol	flt_gc_direction	n_accessions	meta_effect	meta_fdr	supporting_arms	importance_patterns	matched_importance_interpretations	matched_statuses	real_only_auroc_permutation_loss_mean	synthetic_arm_auroc_permutation_loss_mean	synthetic_arm_auroc_permutation_loss_max	synthetic_arm_shap_flt_minus_gc_mean	joint_utility_nonworse_all_arms	literature_classification	interpretive_role	evidence_scope	evidence_relationship	source_ids	literature_summary	interpretation	annotation_origin	literature_search_date
canonical_tissue	tissue	thymus	ENSMUSG00000018983	E2f2	FLT_lower	5	-0.0198026187596522	0.0016627595174174	real_plus_generated	real_plus_generated:shared_reinforced	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0011363636363635	0.0017992424242423	0.0017992424242423	0.017013997709396	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap OSDR cohorts and one is an independent shuttle mission; neither reports the exact E2f2 result.	horie_2019_thymus;gridley_2013_thymus_spleen	Mouse flight studies report lower thymic cell-cycle activity and lower E2F-related G1/S regulation. The current E2f2 direction agrees at the same-tissue process level.	Flight-lower E2f2 extends the replicated thymic cell-cycle response to another E2F-family regulator.	matched_specific_review	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000028007	Snx7	FLT_higher	5	0.000822360965945	0.0078633687037814	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	0.0006628787878787	0.0024621212121211	0.0024621212121211	0.0387463878166506	True	unmatched	literature_unmatched_candidate	targeted_search_no_thymus_spaceflight_match	No direct or sufficiently specific process-level thymus spaceflight match was found.	horie_2019_thymus;han_2023_spleen_thymus	The targeted search of mouse flight-thymus studies found no prior Snx7 association and no sufficiently specific mechanism to assign it to the established cell-cycle program.	A literature-unmatched thymus candidate that should remain separate from the coherent mitotic panel.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000001403	Ube2c	FLT_lower	5	-0.0018349696076913	0.0102071219596878	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0031249999999999	0.0024621212121211	0.0024621212121211	0.0321212564033322	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Published OSDR-related cohorts may overlap; this is process-level corroboration, not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower cell-cycle and chromosome-organization programs. This gene fits that mitotic or replication program, but the paper did not report it as an exact directional replication.	Aligns at the same-tissue process level; it is not an exact prior gene replication.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000004151	Etv1	FLT_higher	5	0.0012593652412707	0.0115128044268098	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	-4.304282624767453e-17	0.002651515151515	0.002651515151515	0.0345158160487839	True	complementary	mechanistic_or_process_hypothesis_extension	related_t_cell_mechanism_and_thymus_composition	Mechanistic and tissue-composition context only; no direct thymus spaceflight match was found.	shi_2026_etv1;horie_2019_thymus	ETV1 regulates CD4+ T-cell activation and proliferation, while mouse flight thymus work reported lower proliferation and expression shifts consistent with altered cellular composition. No prior directional thymus-flight Etv1 result was found.	A plausible T-cell-state or tissue-composition marker, not a direct spaceflight mechanism.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000032369	Plscr1	FLT_higher	5	0.0011011812499358	0.0123596780327641	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	0.0002840909090908	0.0032196969696968	0.0032196969696968	0.0320811879013007	True	complementary	mechanistic_or_process_hypothesis_extension	related_thymus_immune_process_and_gene_mechanism	The thymus study may overlap OSDR cohorts; PLSCR1 evidence is mechanistic and not a directional thymus-flight replication.	horie_2019_thymus;dong_2004_plscr1	Mouse flight thymus shows immune and composition changes. PLSCR1 is interferon inducible and can amplify interferon-stimulated transcription, but no prior thymus-flight Plscr1 direction was found.	The flight-higher association adds an interferon-response candidate distinct from the flight-lower mitotic panel.	matched_specific_review	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000006398	Cdc20	FLT_lower	5	-0.0156954268968019	0.014426654828848	real_plus_generated	real_plus_generated:shared_reinforced	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0013257575757575	0.0014204545454544	0.0014204545454544	0.0203435092925313	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	One source may overlap OSDR cohorts and one is an independent shuttle mission; agreement is at the APC/C and cell-cycle process level.	horie_2019_thymus;gridley_2013_thymus_spleen	Mouse flight studies report reduced thymic cell-cycle progression. CDC20 activates APC/C-mediated mitotic protein turnover, matching the direction of the broader flight-lower mitotic program.	Flight-lower Cdc20 reinforces a same-tissue cell-cycle process reported in prior missions.	matched_specific_review	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000003779	Kif20a	FLT_lower	5	-0.0206811560346539	0.0227227092537027	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	0.0003787878787878	0.0012310606060605	0.0012310606060605	0.0178021408158896	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Published OSDR-related cohorts may overlap; this is process-level corroboration, not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower cell-cycle and chromosome-organization programs. This gene fits that mitotic or replication program, but the paper did not report it as an exact directional replication.	Aligns at the same-tissue process level; it is not an exact prior gene replication.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000006715	Gmnn	FLT_lower	5	-0.0050733709559632	0.0227227092537027	real_plus_generated	real_plus_generated:shared_reinforced	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0022727272727272	0.002746212121212	0.002746212121212	0.055878007517534	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Published OSDR-related cohorts may overlap; this is process-level corroboration, not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower cell-cycle and chromosome-organization programs. This gene fits that mitotic or replication program, but the paper did not report it as an exact directional replication.	Aligns at the same-tissue process level; it is not an exact prior gene replication.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000032324	Tspan3	FLT_higher	5	0.0015802481799365	0.0284043946906987	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	-9.469696969701264e-05	0.0021780303030302	0.0021780303030302	0.0166295818917213	True	complementary	mechanistic_or_process_hypothesis_extension	related_thymus_composition_and_gene_mechanism	The thymus study provides flight context; TSPAN3 evidence is immune-cell identity context only.	horie_2019_thymus;tokoro_2001_tspan3	Spaceflight changes thymic cellularity and immune state. Mouse TSPAN3 is expressed on resting dendritic cells, but no directional thymus-flight Tspan3 result was found.	The flight-higher association may reflect an immune-state or cell-composition shift and needs cell-resolved follow-up.	matched_specific_review	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000020027	Socs2	FLT_higher	5	0.0028154074119536	0.044340480442765	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	-0.0001893939393939	0.0016098484848484	0.0016098484848484	0.0356035282522705	True	complementary	mechanistic_or_process_hypothesis_extension	related_thymus_immune_process_and_gene_mechanism	The thymus study provides flight context; SOCS2 evidence is mechanistic T-cell context only.	horie_2019_thymus;knosp_2011_socs2	Spaceflight alters thymic immune state. SOCS2 regulates cytokine signaling and CD4 T-cell differentiation, but no prior directional thymus-flight Socs2 result was found.	The flight-higher association adds a cytokine and T-cell-state hypothesis alongside the mitotic response.	matched_specific_review	2026-08-05
