source_id	citation	year	doi	url	evidence_role	data_relationship	literature_search_date
hammond_2018_kidney	Hammond TG, Allen PL, Birdsall HH. Effects of space flight on mouse liver versus kidney: gene pathway analyses. International Journal of Molecular Sciences. 2018;19:4106.	2018	10.3390/ijms19124106	https://pmc.ncbi.nlm.nih.gov/articles/PMC6321533/	Mouse flight kidney analysis reporting altered protein-kinase regulation and hormone or peptide responses.	Published spaceflight expression cohort; treated as process context rather than an independent INPP4B replication.	2026-08-03
kofuji_2015_inpp4b	Kofuji S, Kimura H, Nakanishi H, et al. INPP4B is a PtdIns(3,4,5)P3 phosphatase that can act as a tumor suppressor. Cancer Discovery. 2015;5:730-739.	2015	10.1158/2159-8290.CD-14-1329	https://pubmed.ncbi.nlm.nih.gov/25883023/	Primary biochemical evidence that INPP4B dephosphorylates PIP3 and restrains downstream AKT signaling.	Mechanistic signaling context only; not a spaceflight kidney replication.	2026-08-03
jeong_2024_rai14	Jeong W, Kwon H, Park SK, Lee IS, Jho EH. Retinoic acid-induced protein 14 links mechanical forces to Hippo signaling. EMBO Reports. 2024;25:4033-4061.	2024	10.1038/s44319-024-00228-0	https://pubmed.ncbi.nlm.nih.gov/39160347/	Primary evidence that RAI14 senses mechanical forces through F-actin and regulates Hippo signaling.	Mechanistic context only; not a spleen or spaceflight replication.	2026-08-03
hayashizaki_2016_myl9	Hayashizaki K, Kimura MY, Tokoyoda K, et al. Myosin light chains 9 and 12 are functional ligands for CD69 that regulate airway inflammation. Science Immunology. 2016;1:eaaf9154.	2016	10.1126/sciimmunol.aaf9154	https://pubmed.ncbi.nlm.nih.gov/28783682/	Primary evidence that platelet-derived MYL9 structures recruit CD69-positive inflammatory cells.	Mechanistic inflammatory context only; not a spleen or spaceflight replication.	2026-08-03
fearnley_2019_ptprk	Fearnley GW, Young KA, Edgar JR, et al. The homophilic receptor PTPRK selectively dephosphorylates multiple junctional regulators to promote cell-cell adhesion. eLife. 2019;8:e44597.	2019	10.7554/eLife.44597	https://pubmed.ncbi.nlm.nih.gov/30924770/	Primary evidence linking PTPRK to junctional regulation and cell-cell adhesion.	Mechanistic adhesion context only; not a spleen or spaceflight replication.	2026-08-03
mathyk_2024_multi_organ	Mathyk BA, Tabetah M, Karim R, et al. Spaceflight induces changes in gene expression profiles linked to insulin and estrogen. Communications Biology. 2024;7:674.	2024	10.1038/s42003-023-05213-2	https://pmc.ncbi.nlm.nih.gov/articles/PMC11166981/	Multi-organ OSDR analysis reporting 61 adrenal differentially expressed genes and broad endocrine or metabolic responses.	Uses public OSDR cohorts; used to define the searched adrenal context, not as independent validation.	2026-08-03
keenan_2025_hsd17b11	Keenan SN, Suriani ND, Fidelito G, et al. HSD17B11 regulates PLIN5-ATGL mediated lipolysis, but not hepatic lipid metabolism in mice. Journal of Lipid Research. 2025;66:100943.	2025	10.1016/j.jlr.2025.100943	https://pubmed.ncbi.nlm.nih.gov/41238190/	Primary evidence connecting HSD17B11 to lipid droplets, steroid metabolism, and regulated lipolysis.	Mechanistic metabolic context only; not a thymus or spaceflight replication study.	2026-08-03
shi_2026_etv1	Shi Y, Wang S, Yan Y, et al. ETV1 drives CD4+ T cell-mediated intestinal inflammation in inflammatory bowel disease through amino acid transporter Slc7a5. Advanced Science. 2026;13:e11595.	2026	10.1002/advs.202511595	https://pubmed.ncbi.nlm.nih.gov/41347630/	Primary evidence that ETV1 regulates CD4+ T-cell activation, proliferation, differentiation, and amino-acid uptake.	Mechanistic T-cell context only; not a thymus or spaceflight replication study.	2026-08-03
kitamura_2011_psmb8	Kitamura A, Maekawa Y, Uehara H, et al. A mutation in the immunoproteasome subunit PSMB8 causes autoinflammation and lipodystrophy in humans. Journal of Clinical Investigation. 2011;121:4150-4160.	2011	10.1172/JCI58414	https://pmc.ncbi.nlm.nih.gov/articles/PMC3195477/	Primary evidence connecting interferon-inducible PSMB8 to immunoproteasome function, inflammation, and adipocyte homeostasis.	Mechanistic immune and adipocyte context only; not an adrenal or spaceflight replication study.	2026-08-03
gambara_2017_longissimus	Gambara G, Salanova M, Ciciliot S, et al. Microgravity-induced transcriptome adaptation in mouse paraspinal longissimus dorsi muscle highlights insulin resistance-linked genes. Frontiers in Physiology. 2017;8:279.	2017	10.3389/fphys.2017.00279	https://pmc.ncbi.nlm.nih.gov/articles/PMC5418220/	Mouse flight-muscle transcriptomics with direct Cebpd and Arid5b results and qPCR support for Sesn1 and Prkcd.	Published BION-M1 muscle cohort that may overlap the public aggregate; used as literature alignment, not independent validation.	2026-08-03
gambara_2017_soleus	Gambara G, Salanova M, Ciciliot S, et al. Gene expression profiling in slow-type calf soleus muscle of 30 days space-flown mice. PLOS ONE. 2017;12:e0169314.	2017	10.1371/journal.pone.0169314	https://pmc.ncbi.nlm.nih.gov/articles/PMC5226702/	Thirty-day mouse flight soleus transcriptomics reporting a slow-to-fast shift and broad oxidative-metabolism remodeling.	Published BION-M1 soleus cohort that may overlap the public aggregate; used as process-level alignment, not independent validation.	2026-08-03
oommen_2024_muscle	Oommen AM, Stafford P, Joshi L. Profiling muscle transcriptome in mice exposed to microgravity using gene set enrichment analysis. npj Microgravity. 2024;10:94.	2024	10.1038/s41526-024-00434-z	https://www.nature.com/articles/s41526-024-00434-z	Public mouse flight-muscle synthesis reporting Sox4, Arid5b, Cdkn1a, and glycosylation-related responses.	Reanalysis of public GeneLab muscle studies; overlap with the present aggregate is expected.	2026-08-03
ohira_2021_soleus	Ohira T, Ino Y, Kimura Y, et al. Effects of microgravity exposure and fructo-oligosaccharide ingestion on the proteome of soleus and extensor digitorum longus muscles in developing mice. npj Microgravity. 2021;7:34.	2021	10.1038/s41526-021-00164-6	https://pmc.ncbi.nlm.nih.gov/articles/PMC8448765/	Mouse flight proteomics reporting lower ECH1 and DECR1 in soleus under microgravity and reduced oxidative-metabolism proteins.	Independent assay-level support; the flight cohort may be represented in related public data.	2026-08-03
rosa_caldwell_2021_unloading	Rosa-Caldwell ME, Lim S, Haynie WS, et al. Mitochondrial aberrations during the progression of disuse atrophy differentially affect male and female mice. Journal of Cachexia, Sarcopenia and Muscle. 2021;12:2056-2068.	2021	10.1002/jcsm.12809	https://pmc.ncbi.nlm.nih.gov/articles/PMC8718086/	Mouse hindlimb-unloading study showing sex-dependent Bnip3 responses in soleus.	Independent ground analog; used to identify context dependence, not as spaceflight replication.	2026-08-03
chen_2021_retina	Chen Z, Stanbouly S, Nishiyama NC, et al. Spaceflight decelerates the epigenetic clock orchestrated with a global alteration in DNA methylome and transcriptome in the mouse retina. Precision Clinical Medicine. 2021;4:93-108.	2021	10.1093/pcmedi/pbab012	https://pmc.ncbi.nlm.nih.gov/articles/PMC8220224/	Mouse flight retina multi-omics reporting altered proliferation, cell-cycle, and DNA-repair programs.	Published public flight-eye cohort; tissue and sample overlap with the present eye aggregate may occur.	2026-08-03
maerki_2009_klhl21	Maerki S, Olma MH, Staubli T, et al. The Cul3-KLHL21 E3 ubiquitin ligase targets Aurora B to midzone microtubules in anaphase and is required for cytokinesis. Journal of Cell Biology. 2009;187:791-800.	2009	10.1083/jcb.200906117	https://pmc.ncbi.nlm.nih.gov/articles/PMC2806313/	Primary mechanistic evidence that KLHL21 is required for chromosome alignment and cytokinesis.	Mechanistic context only; not a flight-eye replication.	2026-08-03
dacierno_2022_slc37a4	D'Acierno M, Resaz R, Iervolino A, et al. Dapagliflozin prevents kidney glycogen accumulation and improves renal proximal tubule cell functions in a mouse model of glycogen storage disease type 1b. Journal of the American Society of Nephrology. 2022;33:1864-1875.	2022	10.1681/ASN.2021070935	https://pmc.ncbi.nlm.nih.gov/articles/PMC9528317/	Mouse evidence that loss of the SLC37A4 glucose-6-phosphate transporter disrupts proximal-tubule metabolism and function.	Mechanistic kidney context only; not a spaceflight replication.	2026-08-03
wiltshire_2002_sh3bp5	Wiltshire C, Matsushita M, Tsukada S, Gillespie DAF, May GHW. A new c-Jun N-terminal kinase-interacting protein, Sab (SH3BP5), associates with mitochondria. Biochemical Journal. 2002;367:577-585.	2002	10.1042/BJ20020553	https://pmc.ncbi.nlm.nih.gov/articles/PMC1222945/	Primary evidence that SH3BP5/SAB associates with mitochondria and binds stress-responsive JNK.	Mechanistic context only; not a spaceflight-muscle replication.	2026-08-03
ramasamy_2016_tle1	Ramasamy S, Saez B, Mukhopadhyay S, et al. Tle1 tumor suppressor negatively regulates inflammation in vivo and modulates NF-kappaB inflammatory pathway. Proceedings of the National Academy of Sciences USA. 2016;113:1871-1876.	2016	10.1073/pnas.1511380113	https://pmc.ncbi.nlm.nih.gov/articles/PMC4763742/	Mouse knockout evidence that TLE1 counterregulates inflammatory NF-kappaB signaling.	Mechanistic context only; not a spaceflight-muscle replication.	2026-08-03
han_2023_spleen_thymus	Han Y, Shi S, Liu S, Gu X. Effects of spaceflight on the spleen and thymus of mice: gene pathway analysis and immune infiltration analysis. Mathematical Biosciences and Engineering. 2023;20:8531-8545.	2023	10.3934/mbe.2023374	https://pubmed.ncbi.nlm.nih.gov/37161210/	Public mouse flight-data reanalysis reporting spleen and thymus immune, platelet, and infiltration responses.	Reanalysis of public mouse flight studies; overlap with the present aggregate is expected.	2026-08-03
li_2021_loxl1	Li Y, Wu B, Zou X. Mass cytometry and transcriptomic profiling reveal body-wide pathology induced by Loxl1 deficiency. Cell Proliferation. 2021;54:e13077.	2021	10.1111/cpr.13077	https://pmc.ncbi.nlm.nih.gov/articles/PMC8249785/	Mouse multi-organ evidence connecting LOXL1-dependent extracellular matrix homeostasis to splenic immune and cell-cycle state.	Mechanistic spleen context only; not a spaceflight replication.	2026-08-03
yamashita_2003_st3gal5	Yamashita T, Hashiramoto A, Haluzik M, et al. Enhanced insulin sensitivity in mice lacking ganglioside GM3. Proceedings of the National Academy of Sciences USA. 2003;100:3445-3449.	2003	10.1073/pnas.0635898100	https://pmc.ncbi.nlm.nih.gov/articles/PMC152312/	Mouse evidence that loss of ST3GAL5-dependent GM3 synthesis enhances insulin-receptor phosphorylation in skeletal muscle.	Mechanistic muscle context only; not a tibialis-anterior spaceflight replication.	2026-08-03
taylor_2002_rat_muscle	Taylor WE, Bhasin S, Lalani R, Datta A, Gonzalez-Cadavid NF. Alteration of gene expression profiles in skeletal muscle of rats exposed to microgravity during a spaceflight. Journal of Gravitational Physiology. 2002;9:61-70.	2002	not_assigned	https://ntrs.nasa.gov/citations/20040087468	Rat STS-90 tibialis-anterior and gastrocnemius profiling reporting lower p21/Cdkn1a-related proliferation signaling after flight.	Independent species, mission, and expression platform; used as opposing directional context.	2026-08-03
