analysis_scope	tissue	gene	symbol	selection_interpretation	n_accessions	flt_gc_direction	real_selection_frequency	generated_selection_frequency	real_meta_effect	real_meta_fdr	real_accession_direction_fraction	all_accessions_same_direction	loo_fdr_stable_0_05	minimum_leave_one_out_fdr	maximum_leave_one_out_fdr
skeletal_muscle_group	gastrocnemius	ENSMUSG00000045382	Cxcr4	synthetic_promoted	3	FLT_higher	0.0	0.625	9.082804984066048e-05	0.0053774501840367	1.0	True	False	0.0028844212463355	0.8442219682838846
skeletal_muscle_group	quadriceps	ENSMUSG00000071637	Cebpd	synthetic_promoted	4	FLT_higher	0.0	0.75	0.0025541095194866	2.789258955269685e-07	1.0	True	False	2.590488120625008e-07	0.2940658026764159
skeletal_muscle_group	quadriceps	ENSMUSG00000032582	Rbm6	synthetic_promoted	4	FLT_higher	0.0	0.75	0.0047300177403833	0.0007503147625256	1.0	True	True	0.0006141869945333	0.0375751149043096
skeletal_muscle_group	quadriceps	ENSMUSG00000021892	Sh3bp5	synthetic_promoted	4	FLT_higher	0.0	0.5	0.0033974933998266	0.0017223679619033	1.0	True	False	0.0008508432588392	0.05279941077247
skeletal_muscle_group	quadriceps	ENSMUSG00000034621	Gpatch8	reinforced_real_and_synthetic	4	FLT_higher	0.5	0.625	0.0026567521612663	0.0029587184879681	1.0	True	False	3.623684007478227e-07	0.2886684813234449
skeletal_muscle_group	soleus	ENSMUSG00000046598	Bdh1	reinforced_real_and_synthetic	3	FLT_lower	1.0	0.875	-0.0644880662748361	1.1073485447020053e-33	1.0	True	True	1.7012748909122286e-21	2.3394921000104852e-14
skeletal_muscle_group	soleus	ENSMUSG00000053898	Ech1	reinforced_real_and_synthetic	3	FLT_lower	1.0	1.0	-0.0298289989761815	2.596565237267681e-23	1.0	True	True	1.815982233008317e-20	6.823910049383622e-06
skeletal_muscle_group	soleus	ENSMUSG00000078566	Bnip3	reinforced_real_and_synthetic	3	FLT_lower	1.0	1.0	-0.0358175224677628	1.1408278005097296e-10	1.0	True	True	3.7900529130049286e-15	3.701165631414057e-05
skeletal_muscle_group	soleus	ENSMUSG00000006715	Gmnn	reinforced_real_and_synthetic	3	FLT_lower	1.0	0.875	-0.0011086939318677	2.1414409289369825e-07	1.0	True	True	5.923469293892105e-22	0.0011716038939797
skeletal_muscle_group	soleus	ENSMUSG00000029499	Pxmp2	synthetic_promoted	3	FLT_lower	0.0	0.625	-0.0190650305985124	3.504708478044088e-07	1.0	True	True	9.89004919769061e-17	0.0292704278162145
skeletal_muscle_group	soleus	ENSMUSG00000005583	Mef2c	synthetic_promoted	3	FLT_lower	0.0	0.5	-0.0334538226752321	4.4704809556781886e-05	1.0	True	True	0.0011992291067337	0.0431414239124937
skeletal_muscle_group	soleus	ENSMUSG00000028223	Decr1	reinforced_real_and_synthetic	3	FLT_lower	0.875	0.875	-0.027688112105157	0.0002427344461937	1.0	True	False	5.923469293892105e-22	0.1325988512336181
skeletal_muscle_group	soleus	ENSMUSG00000032366	Tpm1	reinforced_real_and_synthetic	3	FLT_higher	1.0	1.0	0.0259588786959929	0.0014467371758864	1.0	True	True	8.682010511143393e-07	0.03622756904631
skeletal_muscle_group	tibialis_anterior	ENSMUSG00000023067	Cdkn1a	reinforced_real_and_synthetic	2	FLT_higher	1.0	1.0	0.0073705059023382	3.3987035424299236e-26	1.0	True	False	1.0	1.0
skeletal_muscle_group	tibialis_anterior	ENSMUSG00000056091	St3gal5	reinforced_real_and_synthetic	2	FLT_higher	1.0	1.0	0.0095014379538271	1.7623363996345484e-06	1.0	True	False	1.0	1.0
skeletal_muscle_group	tibialis_anterior	ENSMUSG00000071637	Cebpd	synthetic_promoted	2	FLT_higher	0.0	1.0	0.0034325240032827	0.0023202928979193	1.0	True	False	1.0	1.0
skeletal_muscle_group	tibialis_anterior	ENSMUSG00000010914	Pdhx	synthetic_promoted	2	FLT_higher	0.0	0.625	0.0043844109523921	0.0190508377830257	1.0	True	False	1.0	1.0
skeletal_muscle_group	tibialis_anterior	ENSMUSG00000078566	Bnip3	reinforced_real_and_synthetic	2	FLT_higher	1.0	0.75	0.0103726054866186	0.0284602561592093	1.0	True	False	1.0	1.0
