tissue	gene_set	term	description	pathway_genes_in_background	selected_genes	overlap	overlap_genes	overlap_symbols	p_value	fdr
thymus	generated_supported	R-MMU-68886_M_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-68886	39	29	5	ENSMUSG00000001403,ENSMUSG00000003779,ENSMUSG00000019942,ENSMUSG00000032218,ENSMUSG00000041126	Ube2c,Kif20a,Cdk1,Ccnb2,H2az2	0.0046405994582567	0.0376379837685478
thymus	generated_supported	R-MMU-174048_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	https://reactome.org/PathwayBrowser/#/R-MMU-174048	4	29	2	ENSMUSG00000001403,ENSMUSG00000019942	Ube2c,Cdk1	0.0049523662853352	0.0376379837685478
thymus	generated_supported	R-MMU-176412_PHOSPHORYLATION_OF_THE_APC_C	https://reactome.org/PathwayBrowser/#/R-MMU-176412	4	29	2	ENSMUSG00000001403,ENSMUSG00000019942	Ube2c,Cdk1	0.0049523662853352	0.0376379837685478
thymus	generated_supported	R-MMU-2980767_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	https://reactome.org/PathwayBrowser/#/R-MMU-2980767	4	29	2	ENSMUSG00000019942,ENSMUSG00000032218	Cdk1,Ccnb2	0.0049523662853352	0.0376379837685478
thymus	generated_supported	R-MMU-2995383_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	https://reactome.org/PathwayBrowser/#/R-MMU-2995383	4	29	2	ENSMUSG00000019942,ENSMUSG00000032218	Cdk1,Ccnb2	0.0049523662853352	0.0376379837685478
thymus	generated_supported	R-MMU-174143_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	https://reactome.org/PathwayBrowser/#/R-MMU-174143	14	29	3	ENSMUSG00000001403,ENSMUSG00000019942,ENSMUSG00000027496	Ube2c,Cdk1,Aurka	0.0069350829200226	0.0419809279132456
thymus	generated_supported	R-MMU-453276_REGULATION_OF_MITOTIC_CELL_CYCLE	https://reactome.org/PathwayBrowser/#/R-MMU-453276	14	29	3	ENSMUSG00000001403,ENSMUSG00000019942,ENSMUSG00000027496	Ube2c,Cdk1,Aurka	0.0069350829200226	0.0419809279132456
thymus	generated_supported	R-MMU-68875_MITOTIC_PROPHASE	https://reactome.org/PathwayBrowser/#/R-MMU-68875	14	29	3	ENSMUSG00000019942,ENSMUSG00000032218,ENSMUSG00000041126	Cdk1,Ccnb2,H2az2	0.0069350829200226	0.0419809279132456
thymus	generated_supported	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	https://reactome.org/PathwayBrowser/#/R-MMU-69620	43	29	5	ENSMUSG00000001403,ENSMUSG00000012483,ENSMUSG00000019942,ENSMUSG00000028212,ENSMUSG00000032218	Ube2c,Rpa3,Cdk1,Ccne2,Ccnb2	0.0071331445053715	0.0419809279132456
thymus	generated_supported	R-MMU-68867_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	https://reactome.org/PathwayBrowser/#/R-MMU-68867	5	29	2	ENSMUSG00000001403,ENSMUSG00000006715	Ube2c,Gmnn	0.0081015825797491	0.0419809279132456
thymus	generated_supported	R-MMU-69166_REMOVAL_OF_THE_FLAP_INTERMEDIATE	https://reactome.org/PathwayBrowser/#/R-MMU-69166	5	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0081015825797491	0.0419809279132456
thymus	generated_supported	R-MMU-69478_G2_M_DNA_REPLICATION_CHECKPOINT	https://reactome.org/PathwayBrowser/#/R-MMU-69478	5	29	2	ENSMUSG00000019942,ENSMUSG00000032218	Cdk1,Ccnb2	0.0081015825797491	0.0419809279132456
thymus	generated_supported	R-MMU-157579_TELOMERE_MAINTENANCE	https://reactome.org/PathwayBrowser/#/R-MMU-157579	16	29	3	ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000041126	Rpa3,Pcna,H2az2	0.0102480417264192	0.0434487129919272
thymus	generated_supported	R-MMU-73884_BASE_EXCISION_REPAIR	https://reactome.org/PathwayBrowser/#/R-MMU-73884	16	29	3	ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000041126	Rpa3,Pcna,H2az2	0.0102480417264192	0.0434487129919272
thymus	generated_supported	R-MMU-110312_TRANSLESION_SYNTHESIS_BY_REV1	https://reactome.org/PathwayBrowser/#/R-MMU-110312	6	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-110320_TRANSLESION_SYNTHESIS_BY_POLH	https://reactome.org/PathwayBrowser/#/R-MMU-110320	6	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	https://reactome.org/PathwayBrowser/#/R-MMU-2299718	6	29	2	ENSMUSG00000019942,ENSMUSG00000041126	Cdk1,H2az2	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-5655862_TRANSLESION_SYNTHESIS_BY_POLK	https://reactome.org/PathwayBrowser/#/R-MMU-5655862	6	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-5656121_TRANSLESION_SYNTHESIS_BY_POLI	https://reactome.org/PathwayBrowser/#/R-MMU-5656121	6	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-69017_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	https://reactome.org/PathwayBrowser/#/R-MMU-69017	6	29	2	ENSMUSG00000001403,ENSMUSG00000028212	Ube2c,Ccne2	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-69183_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	https://reactome.org/PathwayBrowser/#/R-MMU-69183	6	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0119284166217227	0.0434487129919272
thymus	generated_supported	R-MMU-73886_CHROMOSOME_MAINTENANCE	https://reactome.org/PathwayBrowser/#/R-MMU-73886	17	29	3	ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000041126	Rpa3,Pcna,H2az2	0.0121961299626462	0.0434487129919272
thymus	generated_supported	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-212436	90	29	7	ENSMUSG00000002393,ENSMUSG00000012483,ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496,ENSMUSG00000028212,ENSMUSG00000041126	Nr2f6,Rpa3,Cdk1,Pcna,Aurka,Ccne2,H2az2	0.0130959888948958	0.04524068890964
thymus	generated_supported	R-MMU-174178_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	https://reactome.org/PathwayBrowser/#/R-MMU-174178	7	29	2	ENSMUSG00000001403,ENSMUSG00000027496	Ube2c,Aurka	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-174184_CDC20_PHOSPHO_APC_C_MEDIATED_DEGRADATION_OF_CYCLIN_A	https://reactome.org/PathwayBrowser/#/R-MMU-174184	7	29	2	ENSMUSG00000001403,ENSMUSG00000019942	Ube2c,Cdk1	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-174437_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	https://reactome.org/PathwayBrowser/#/R-MMU-174437	7	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-179419_APC_CDC20_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS_PRIOR_TO_SATISFATION_OF_THE_CELL_CYCLE_CHECKPOINT	https://reactome.org/PathwayBrowser/#/R-MMU-179419	7	29	2	ENSMUSG00000001403,ENSMUSG00000019942	Ube2c,Cdk1	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-5358508_MISMATCH_REPAIR	https://reactome.org/PathwayBrowser/#/R-MMU-5358508	7	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-5358565_MISMATCH_REPAIR_MMR_DIRECTED_BY_MSH2_MSH6_MUTSALPHA	https://reactome.org/PathwayBrowser/#/R-MMU-5358565	7	29	2	ENSMUSG00000012483,ENSMUSG00000027342	Rpa3,Pcna	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-8852135_PROTEIN_UBIQUITINATION	https://reactome.org/PathwayBrowser/#/R-MMU-8852135	7	29	2	ENSMUSG00000001403,ENSMUSG00000027342	Ube2c,Pcna	0.0163925292252315	0.0467187082919099
thymus	generated_supported	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	https://reactome.org/PathwayBrowser/#/R-MMU-3700989	53	29	5	ENSMUSG00000012483,ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496,ENSMUSG00000028212	Rpa3,Cdk1,Pcna,Aurka,Ccne2	0.0172328998528875	0.0479158678836385
