gene_id	length_bp	merged_exon_intervals	chromosomes
ENSMUSG00000000278	2524	14	chr11
ENSMUSG00000000282	5320	6	chr11
ENSMUSG00000000290	3244	17	chr10
ENSMUSG00000000295	3733	6	chr10
ENSMUSG00000000296	1585	8	chr10
ENSMUSG00000000301	3799	20	chr11
ENSMUSG00000000303	4638	16	chr8
ENSMUSG00000000305	7280	19	chr2
ENSMUSG00000000308	5087	11	chr2
ENSMUSG00000000317	5317	7	chr11
ENSMUSG00000000318	2899	10	chr11
ENSMUSG00000000320	4160	14	chr11
ENSMUSG00000000326	6098	6	chr16
ENSMUSG00000000339	13370	8	chr3
ENSMUSG00000000340	3510	12	chr3
ENSMUSG00000000346	3123	7	chr15
ENSMUSG00000000355	2676	10	chrX
ENSMUSG00000000359	10816	6	chr2
ENSMUSG00000000365	13625	39	chr14
ENSMUSG00000000374	10268	22	chr10
ENSMUSG00000000378	8234	19	chr11
ENSMUSG00000000381	1008	3	chr11
ENSMUSG00000000384	7674	11	chr11
ENSMUSG00000000385	7302	11	chr16
ENSMUSG00000000386	3371	14	chr16
ENSMUSG00000000392	5876	27	chr2
ENSMUSG00000000394	1538	7	chr2
ENSMUSG00000000399	4568	13	chr6
ENSMUSG00000000402	3235	14	chrX
ENSMUSG00000000409	3148	14	chr4
ENSMUSG00000000411	1485	3	chr4
ENSMUSG00000000416	8829	25	chr6
ENSMUSG00000000420	8991	20	chr18
ENSMUSG00000000435	2083	3	chr10
ENSMUSG00000000439	7554	9	chr6
ENSMUSG00000000440	6969	16	chr6
ENSMUSG00000000441	9225	17	chr6
ENSMUSG00000000486	4651	9	chr7
ENSMUSG00000000489	4248	8	chr15
ENSMUSG00000000530	7555	13	chr15
ENSMUSG00000000531	5392	10	chr15
ENSMUSG00000000532	4752	10	chr15
ENSMUSG00000000538	12182	21	chr11
ENSMUSG00000000544	7022	8	chr1
ENSMUSG00000000552	2732	11	chr15
ENSMUSG00000000555	5322	31	chr15
ENSMUSG00000000560	8967	10	chr5
ENSMUSG00000000561	5159	10	chr3
ENSMUSG00000000562	3729	3	chr3
ENSMUSG00000000563	5140	7	chr3
ENSMUSG00000000567	4176	3	chr11
ENSMUSG00000000568	9812	8	chr5
ENSMUSG00000000579	4702	5	chr17
ENSMUSG00000000581	8362	7	chr11
ENSMUSG00000000594	4341	4	chr11
ENSMUSG00000000600	23086	14	chr5
ENSMUSG00000000605	12685	8	chr7
ENSMUSG00000000606	4573	6	chr14
ENSMUSG00000000617	5421	11	chr11
ENSMUSG00000000627	6671	13	chr6
ENSMUSG00000000628	8269	20	chr6
ENSMUSG00000000631	16373	53	chr11
ENSMUSG00000000632	6672	16	chr11
ENSMUSG00000000673	4687	10	chr17
ENSMUSG00000000682	1196	4	chr4
ENSMUSG00000000686	3621	3	chr11
ENSMUSG00000000690	2319	3	chr11
ENSMUSG00000000693	4677	15	chr6
ENSMUSG00000000701	1055	4	chr12
ENSMUSG00000000706	4119	8	chr13
ENSMUSG00000000708	5067	21	chr17
ENSMUSG00000000711	4788	6	chr10
ENSMUSG00000000724	1605	6	chr11
ENSMUSG00000000730	3079	19	chr10
ENSMUSG00000000731	4360	15	chr10
ENSMUSG00000000732	4621	7	chr10
ENSMUSG00000000738	8270	20	chr8
ENSMUSG00000000739	6116	10	chr8
ENSMUSG00000000740	2829	3	chr8
ENSMUSG00000000743	3398	6	chr8
ENSMUSG00000000751	7910	23	chr11
ENSMUSG00000000753	3626	12	chr11
ENSMUSG00000000759	8845	21	chr8
ENSMUSG00000000766	8037	22	chr10
ENSMUSG00000000776	4816	10	chr14
ENSMUSG00000000782	3841	14	chr11
ENSMUSG00000000787	5787	14	chrX
ENSMUSG00000000791	6220	16	chr8
ENSMUSG00000000792	2929	15	chr8
ENSMUSG00000000794	10462	8	chr3
ENSMUSG00000000804	8207	37	chr11
ENSMUSG00000000805	3423	10	chr11
ENSMUSG00000000811	2873	16	chr6
ENSMUSG00000000817	1948	4	chr1
ENSMUSG00000000823	6924	16	chr2
ENSMUSG00000000826	10897	9	chr2
ENSMUSG00000000827	5536	12	chr2
ENSMUSG00000000838	9160	18	chrX
ENSMUSG00000000861	13403	8	chr11
ENSMUSG00000000869	1227	7	chr11
ENSMUSG00000000876	3597	8	chr2
ENSMUSG00000000881	6404	23	chrX
ENSMUSG00000000884	7535	15	chr16
ENSMUSG00000000889	4935	15	chr2
ENSMUSG00000000901	3523	7	chr10
ENSMUSG00000000902	8676	9	chr10
ENSMUSG00000000903	870	3	chr10
ENSMUSG00000000915	8291	32	chr5
ENSMUSG00000000916	4861	8	chr5
ENSMUSG00000000934	4792	15	chr15
ENSMUSG00000000938	3303	4	chr6
ENSMUSG00000000942	1594	2	chr6
ENSMUSG00000000948	5216	9	chr7
ENSMUSG00000000957	6166	11	chr14
ENSMUSG00000000958	6072	18	chr14
ENSMUSG00000000959	7139	8	chr14
ENSMUSG00000000976	11882	17	chr11
ENSMUSG00000000982	776	3	chr11
ENSMUSG00000000983	1220	3	chr11
ENSMUSG00000001014	1143	2	chr9
ENSMUSG00000001016	8703	11	chr3
ENSMUSG00000001017	4098	7	chr3
ENSMUSG00000001018	4021	4	chr3
ENSMUSG00000001020	908	5	chr3
ENSMUSG00000001021	2670	3	chr3
ENSMUSG00000001023	1043	3	chr3
ENSMUSG00000001025	2352	7	chr3
ENSMUSG00000001027	8606	26	chr11
ENSMUSG00000001029	7425	7	chr11
ENSMUSG00000001034	4891	2	chr11
ENSMUSG00000001036	8583	21	chr11
ENSMUSG00000001039	5686	11	chr11
ENSMUSG00000001052	8377	28	chr3
ENSMUSG00000001053	11519	5	chr11
ENSMUSG00000001054	4590	10	chr11
ENSMUSG00000001056	3845	5	chr11
ENSMUSG00000001062	7021	15	chr8
ENSMUSG00000001065	11501	9	chr8
ENSMUSG00000001076	2086	2	chr15
ENSMUSG00000001082	2902	7	chr5
ENSMUSG00000001089	13916	8	chr4
ENSMUSG00000001095	2993	12	chr11
ENSMUSG00000001098	4321	8	chr5
ENSMUSG00000001100	7367	8	chr11
ENSMUSG00000001103	1359	3	chr11
ENSMUSG00000001105	2823	6	chr11
ENSMUSG00000001119	5847	34	chr10
ENSMUSG00000001120	8517	31	chr10
ENSMUSG00000001123	2270	11	chr11
ENSMUSG00000001127	9437	16	chrX
ENSMUSG00000001128	1741	9	chrX
ENSMUSG00000001131	1957	5	chrX
ENSMUSG00000001134	2137	8	chrX
ENSMUSG00000001138	7600	7	chr1
ENSMUSG00000001143	11169	11	chr1
ENSMUSG00000001150	7822	34	chr10
ENSMUSG00000001151	12774	44	chr10
ENSMUSG00000001155	3723	12	chr10
ENSMUSG00000001156	7322	7	chr6
ENSMUSG00000001157	10637	16	chr6
ENSMUSG00000001158	7235	6	chr6
ENSMUSG00000001166	2405	8	chr5
ENSMUSG00000001168	1704	6	chr5
ENSMUSG00000001173	14655	28	chrX
ENSMUSG00000001175	4778	8	chr12
ENSMUSG00000001211	13578	31	chr10
ENSMUSG00000001225	6369	22	chr12
ENSMUSG00000001227	6723	21	chr17
ENSMUSG00000001228	5277	16	chr17
ENSMUSG00000001229	11299	21	chr17
ENSMUSG00000001240	3969	11	chr11
ENSMUSG00000001247	2869	10	chr7
ENSMUSG00000001248	7946	21	chr7
ENSMUSG00000001249	4498	15	chr7
ENSMUSG00000001260	10160	13	chr5
ENSMUSG00000001270	3220	1	chr12
ENSMUSG00000001280	8350	9	chr15
ENSMUSG00000001281	2902	16	chr15
ENSMUSG00000001285	3482	8	chr15
ENSMUSG00000001288	4629	16	chr15
ENSMUSG00000001289	2933	4	chr15
ENSMUSG00000001300	7243	6	chr8
ENSMUSG00000001305	8016	4	chr1
ENSMUSG00000001313	3458	7	chr11
ENSMUSG00000001323	8070	12	chr11
ENSMUSG00000001333	5162	4	chr4
ENSMUSG00000001334	4149	7	chr4
ENSMUSG00000001348	4394	9	chr9
ENSMUSG00000001349	2736	8	chr9
ENSMUSG00000001366	3485	13	chr9
ENSMUSG00000001376	15555	31	chr6
ENSMUSG00000001380	2501	14	chr18
ENSMUSG00000001383	3831	6	chr18
ENSMUSG00000001403	3241	7	chr2
ENSMUSG00000001415	6986	22	chr3
ENSMUSG00000001416	7857	11	chr3
ENSMUSG00000001418	6291	1	chr3
ENSMUSG00000001419	7663	14	chr3
ENSMUSG00000001420	4129	4	chr3
ENSMUSG00000001424	10112	35	chr6
ENSMUSG00000001435	7063	44	chr10
ENSMUSG00000001436	10665	11	chr10
ENSMUSG00000001440	6879	22	chr11
ENSMUSG00000001441	7508	27	chr11
ENSMUSG00000001444	2489	6	chr11
ENSMUSG00000001445	3215	5	chr11
ENSMUSG00000001467	5937	12	chr5
ENSMUSG00000001472	7521	19	chr8
ENSMUSG00000001473	3790	4	chr18
ENSMUSG00000001482	8002	24	chr8
ENSMUSG00000001493	2255	3	chr11
ENSMUSG00000001494	2072	2	chr11
ENSMUSG00000001496	3035	3	chr12
ENSMUSG00000001497	5056	4	chr12
ENSMUSG00000001504	3315	6	chr13
ENSMUSG00000001506	6567	52	chr11
ENSMUSG00000001507	5822	26	chr11
ENSMUSG00000001508	3277	9	chr11
ENSMUSG00000001510	2615	3	chr11
ENSMUSG00000001517	6230	8	chr6
ENSMUSG00000001518	12594	8	chr6
ENSMUSG00000001520	7044	7	chr6
ENSMUSG00000001521	9917	15	chr6
ENSMUSG00000001524	3807	11	chr17
ENSMUSG00000001525	3340	3	chr17
ENSMUSG00000001542	10460	10	chr13
ENSMUSG00000001552	8884	19	chr11
ENSMUSG00000001555	3700	9	chr11
ENSMUSG00000001558	2307	6	chr11
ENSMUSG00000001566	2413	3	chr5
ENSMUSG00000001569	10058	12	chr5
ENSMUSG00000001576	9288	26	chr17
ENSMUSG00000001583	3518	13	chr11
ENSMUSG00000001588	5055	18	chr11
ENSMUSG00000001604	5922	14	chr4
ENSMUSG00000001622	4152	5	chr5
ENSMUSG00000001627	7275	13	chr12
ENSMUSG00000001630	8187	16	chr6
ENSMUSG00000001632	7081	10	chr6
ENSMUSG00000001642	8405	7	chr6
ENSMUSG00000001655	2461	2	chr15
ENSMUSG00000001656	2021	2	chr15
ENSMUSG00000001657	3020	2	chr15
ENSMUSG00000001661	2522	4	chr15
ENSMUSG00000001663	2861	5	chr10
ENSMUSG00000001665	3859	6	chr10
ENSMUSG00000001666	952	4	chr10
ENSMUSG00000001670	2411	12	chr8
ENSMUSG00000001672	3298	4	chr8
ENSMUSG00000001674	2509	14	chr1
ENSMUSG00000001687	8498	8	chr5
ENSMUSG00000001700	5709	14	chr18
ENSMUSG00000001707	4110	6	chr13
ENSMUSG00000001729	7829	16	chr12
ENSMUSG00000001739	2177	7	chr5
ENSMUSG00000001741	8548	24	chr7
ENSMUSG00000001750	7103	16	chr19
ENSMUSG00000001751	6965	5	chr11
ENSMUSG00000001755	3355	6	chr11
ENSMUSG00000001761	8832	12	chr6
ENSMUSG00000001763	6221	9	chr6
ENSMUSG00000001767	7601	14	chr2
ENSMUSG00000001768	12179	25	chr2
ENSMUSG00000001773	4935	20	chr7
ENSMUSG00000001774	8195	13	chr9
ENSMUSG00000001783	3809	15	chr10
ENSMUSG00000001785	4198	18	chr10
ENSMUSG00000001786	14400	6	chr10
ENSMUSG00000001794	2651	13	chr7
ENSMUSG00000001802	6747	11	chr7
ENSMUSG00000001804	3478	16	chr18
ENSMUSG00000001815	4191	3	chr2
ENSMUSG00000001819	2483	2	chr2
ENSMUSG00000001823	2534	2	chr2
ENSMUSG00000001827	6588	8	chr7
ENSMUSG00000001829	13343	29	chr7
ENSMUSG00000001833	13496	14	chr9
ENSMUSG00000001844	4133	6	chr5
ENSMUSG00000001847	4781	10	chr5
ENSMUSG00000001855	10080	38	chr2
ENSMUSG00000001864	4035	9	chr2
ENSMUSG00000001865	1599	12	chr3
ENSMUSG00000001870	10735	37	chr17
ENSMUSG00000001891	4991	13	chr11
ENSMUSG00000001901	4612	14	chr11
ENSMUSG00000001909	9203	17	chr8
ENSMUSG00000001910	7422	10	chr8
ENSMUSG00000001911	7424	13	chr8
ENSMUSG00000001918	5418	9	chr7
ENSMUSG00000001924	9735	28	chrX
ENSMUSG00000001930	16729	58	chr6
ENSMUSG00000001942	11081	13	chr9
ENSMUSG00000001943	2030	7	chr9
ENSMUSG00000001946	3045	10	chr9
ENSMUSG00000001948	2359	6	chr9
ENSMUSG00000001962	3630	10	chrX
ENSMUSG00000001964	3705	6	chrX
ENSMUSG00000001983	2885	5	chr11
ENSMUSG00000001985	10116	16	chr4
ENSMUSG00000001986	12714	17	chrX
ENSMUSG00000001988	6093	11	chr7
ENSMUSG00000001995	12320	26	chr8
ENSMUSG00000001998	11532	23	chr2
ENSMUSG00000001999	3461	14	chr2
ENSMUSG00000002006	4009	8	chrX
ENSMUSG00000002007	3463	8	chrX
ENSMUSG00000002010	5151	11	chrX
ENSMUSG00000002012	2424	10	chrX
ENSMUSG00000002014	6629	2	chrX
ENSMUSG00000002015	6153	10	chrX
ENSMUSG00000002017	3860	7	chr17
ENSMUSG00000002020	8184	35	chr12
ENSMUSG00000002028	16697	37	chr9
ENSMUSG00000002031	6416	16	chr9
ENSMUSG00000002032	5217	3	chr9
ENSMUSG00000002033	3275	6	chr9
ENSMUSG00000002043	2752	5	chr7
ENSMUSG00000002052	7543	39	chr11
ENSMUSG00000002055	5653	21	chr11
ENSMUSG00000002057	3214	9	chr11
ENSMUSG00000002058	3108	6	chr11
ENSMUSG00000002059	3230	9	chr11
ENSMUSG00000002064	2417	8	chr11
ENSMUSG00000002068	3626	14	chr7
ENSMUSG00000002076	7820	12	chr17
ENSMUSG00000002083	4790	6	chr7
ENSMUSG00000002100	4163	35	chr2
ENSMUSG00000002102	3155	10	chr2
ENSMUSG00000002103	5278	11	chr2
ENSMUSG00000002104	2126	8	chr2
ENSMUSG00000002105	5457	10	chr2
ENSMUSG00000002107	26409	27	chr2
ENSMUSG00000002108	5060	9	chr2
ENSMUSG00000002109	4369	9	chr2
ENSMUSG00000002111	3021	7	chr2
ENSMUSG00000002129	7195	15	chr11
ENSMUSG00000002147	6686	22	chr10
ENSMUSG00000002190	4383	16	chr8
ENSMUSG00000002204	2669	9	chr7
ENSMUSG00000002205	10048	13	chr7
ENSMUSG00000002210	5159	15	chr7
ENSMUSG00000002221	13808	22	chr5
ENSMUSG00000002222	6822	10	chr6
ENSMUSG00000002227	5619	22	chr3
ENSMUSG00000002228	2588	10	chr3
ENSMUSG00000002233	4601	4	chr3
ENSMUSG00000002240	1337	6	chr5
ENSMUSG00000002249	6714	12	chr17
ENSMUSG00000002250	7514	10	chr17
ENSMUSG00000002257	4301	14	chr17
ENSMUSG00000002265	13663	10	chr7
ENSMUSG00000002266	8189	10	chr7
ENSMUSG00000002274	3718	3	chr17
ENSMUSG00000002279	26779	13	chr17
ENSMUSG00000002280	6586	7	chr17
ENSMUSG00000002289	4497	6	chr17
ENSMUSG00000002297	10081	12	chr5
ENSMUSG00000002307	3967	10	chr17
ENSMUSG00000002308	5927	8	chr17
ENSMUSG00000002319	4669	29	chr14
ENSMUSG00000002320	5555	4	chr14
ENSMUSG00000002324	3627	16	chr14
ENSMUSG00000002325	5801	5	chr14
ENSMUSG00000002326	4993	6	chr14
ENSMUSG00000002329	2032	5	chr14
ENSMUSG00000002332	3283	8	chr14
ENSMUSG00000002341	9998	16	chr8
ENSMUSG00000002342	6157	9	chr8
ENSMUSG00000002343	5287	10	chr8
ENSMUSG00000002345	5527	7	chr8
ENSMUSG00000002346	6294	9	chr8
ENSMUSG00000002365	4418	21	chr17
ENSMUSG00000002372	9253	15	chr17
ENSMUSG00000002379	3726	3	chr17
ENSMUSG00000002384	5868	10	chr4
ENSMUSG00000002393	4800	4	chr8
ENSMUSG00000002395	3369	5	chr8
ENSMUSG00000002396	9419	4	chr8
ENSMUSG00000002409	6060	13	chr7
ENSMUSG00000002413	18903	21	chr6
ENSMUSG00000002416	11465	5	chr6
ENSMUSG00000002428	6641	27	chr3
ENSMUSG00000002455	6311	22	chr2
ENSMUSG00000002458	2840	6	chr2
ENSMUSG00000002459	4312	9	chr1
ENSMUSG00000002475	6250	16	chr18
ENSMUSG00000002477	4091	8	chr18
ENSMUSG00000002486	7945	13	chr5
ENSMUSG00000002489	12327	40	chr16
ENSMUSG00000002496	10350	39	chr17
ENSMUSG00000002500	1688	12	chr17
ENSMUSG00000002504	2888	8	chr17
ENSMUSG00000002524	4859	12	chr15
ENSMUSG00000002546	6674	24	chr2
ENSMUSG00000002550	2954	6	chr2
ENSMUSG00000002565	3012	16	chr12
ENSMUSG00000002578	7024	12	chr10
ENSMUSG00000002580	769	4	chr11
ENSMUSG00000002588	5417	11	chr6
ENSMUSG00000002602	9180	21	chr7
ENSMUSG00000002603	5083	8	chr7
ENSMUSG00000002608	5757	9	chr7
ENSMUSG00000002617	4623	6	chr17
ENSMUSG00000002625	5365	12	chr17
ENSMUSG00000002633	2847	3	chr5
ENSMUSG00000002635	2531	7	chr7
ENSMUSG00000002658	2936	13	chr17
ENSMUSG00000002660	1742	5	chr17
ENSMUSG00000002661	1990	3	chr17
ENSMUSG00000002664	474	2	chr17
ENSMUSG00000002668	5232	21	chr17
ENSMUSG00000002679	3584	9	chr12
ENSMUSG00000002688	4303	21	chr12
ENSMUSG00000002699	4596	21	chr11
ENSMUSG00000002718	7771	26	chr2
ENSMUSG00000002728	6652	9	chr2
ENSMUSG00000002731	5614	13	chr2
ENSMUSG00000002732	1512	6	chr2
ENSMUSG00000002733	4175	12	chr2
ENSMUSG00000002741	5554	7	chr11
ENSMUSG00000002748	17119	21	chr5
ENSMUSG00000002763	6011	17	chr17
ENSMUSG00000002767	2243	6	chr17
ENSMUSG00000002768	7971	6	chr17
ENSMUSG00000002769	1761	4	chr17
ENSMUSG00000002771	7860	14	chr7
ENSMUSG00000002778	2506	6	chr7
ENSMUSG00000002781	7725	8	chr7
ENSMUSG00000002791	950	11	chr17
ENSMUSG00000002797	8071	3	chr6
ENSMUSG00000002799	7092	24	chr12
ENSMUSG00000002803	4426	2	chr12
ENSMUSG00000002804	1714	5	chr12
ENSMUSG00000002808	4588	4	chr13
ENSMUSG00000002812	6951	27	chr11
ENSMUSG00000002814	7596	20	chr11
ENSMUSG00000002820	8112	9	chr9
ENSMUSG00000002825	2432	7	chr9
ENSMUSG00000002831	7987	7	chr17
ENSMUSG00000002833	10146	9	chr17
ENSMUSG00000002835	9109	13	chr17
ENSMUSG00000002844	5297	3	chr16
ENSMUSG00000002845	7877	17	chr16
ENSMUSG00000002846	7254	11	chr16
ENSMUSG00000002847	5917	13	chr16
ENSMUSG00000002870	7921	12	chr6
ENSMUSG00000002871	9835	7	chr6
ENSMUSG00000002881	7098	11	chr1
ENSMUSG00000002885	6645	17	chr8
ENSMUSG00000002897	8772	12	chr6
ENSMUSG00000002900	10726	35	chr12
ENSMUSG00000002908	5659	13	chr8
ENSMUSG00000002910	3361	4	chr8
ENSMUSG00000002930	2308	6	chr6
ENSMUSG00000002944	12624	26	chr5
ENSMUSG00000002948	3875	13	chr8
ENSMUSG00000002949	4044	13	chr8
ENSMUSG00000002957	9307	24	chr7
ENSMUSG00000002963	7315	6	chr7
ENSMUSG00000002968	9106	17	chr7
ENSMUSG00000002980	3549	17	chr7
ENSMUSG00000002981	8554	17	chr7
ENSMUSG00000002983	5085	15	chr7
ENSMUSG00000002984	4746	9	chr7
ENSMUSG00000002985	4048	3	chr7
ENSMUSG00000002992	1552	8	chr7
ENSMUSG00000002996	6533	14	chr12
ENSMUSG00000002997	5621	12	chr12
ENSMUSG00000003031	4552	2	chr6
ENSMUSG00000003032	3149	5	chr4
ENSMUSG00000003033	5475	13	chr8
ENSMUSG00000003037	6553	12	chr8
ENSMUSG00000003038	4602	4	chr4
ENSMUSG00000003039	4619	2	chr8
ENSMUSG00000003051	2934	9	chr1
ENSMUSG00000003053	3328	12	chr19
ENSMUSG00000003062	7135	13	chr13
ENSMUSG00000003068	4983	8	chr10
ENSMUSG00000003070	2181	4	chr10
ENSMUSG00000003072	2486	8	chr10
ENSMUSG00000003099	4051	14	chr7
ENSMUSG00000003119	15013	17	chr11
ENSMUSG00000003123	5958	14	chr7
ENSMUSG00000003131	8778	12	chr9
ENSMUSG00000003134	11650	23	chr1
ENSMUSG00000003135	4307	9	chr1
ENSMUSG00000003153	7500	15	chr6
ENSMUSG00000003154	6135	14	chr6
ENSMUSG00000003161	11284	12	chr5
ENSMUSG00000003166	7158	15	chr16
ENSMUSG00000003184	3481	7	chr7
ENSMUSG00000003190	3390	7	chr7
ENSMUSG00000003198	2862	4	chr17
ENSMUSG00000003199	5800	13	chr17
ENSMUSG00000003200	5584	5	chr17
ENSMUSG00000003206	2156	6	chr17
ENSMUSG00000003208	7436	5	chr17
ENSMUSG00000003226	13245	30	chr10
ENSMUSG00000003227	3699	12	chr10
ENSMUSG00000003228	10058	17	chr19
ENSMUSG00000003233	10089	12	chr16
ENSMUSG00000003234	5789	17	chr16
ENSMUSG00000003235	8779	11	chr16
ENSMUSG00000003269	3450	14	chr7
ENSMUSG00000003271	3950	11	chr7
ENSMUSG00000003273	2885	9	chr7
ENSMUSG00000003279	19226	26	chr17
ENSMUSG00000003282	8487	5	chr4
ENSMUSG00000003283	2899	17	chr2
ENSMUSG00000003299	4100	6	chr9
ENSMUSG00000003308	5690	5	chr9
ENSMUSG00000003309	3148	11	chr9
ENSMUSG00000003316	9978	26	chr8
ENSMUSG00000003341	5704	29	chr10
ENSMUSG00000003344	5065	6	chr10
ENSMUSG00000003345	6644	9	chr10
ENSMUSG00000003346	2755	4	chr10
ENSMUSG00000003348	4269	9	chr10
ENSMUSG00000003352	5045	17	chr15
ENSMUSG00000003354	3528	8	chr15
ENSMUSG00000003355	2770	2	chr15
ENSMUSG00000003360	6242	13	chr15
ENSMUSG00000003363	3918	19	chr7
ENSMUSG00000003378	9300	21	chr7
ENSMUSG00000003379	1523	5	chr7
ENSMUSG00000003380	2914	3	chr7
ENSMUSG00000003382	10644	3	chr3
ENSMUSG00000003402	5290	17	chr9
ENSMUSG00000003410	6899	7	chr9
ENSMUSG00000003411	3769	7	chr4
ENSMUSG00000003418	7685	9	chr2
ENSMUSG00000003420	4917	8	chr7
ENSMUSG00000003421	6241	11	chr7
ENSMUSG00000003423	4431	13	chr7
ENSMUSG00000003429	1393	3	chr7
ENSMUSG00000003435	5872	29	chr7
ENSMUSG00000003436	3048	7	chr7
ENSMUSG00000003437	3626	10	chr7
ENSMUSG00000003438	3053	11	chr7
ENSMUSG00000003444	2490	4	chr7
ENSMUSG00000003452	28807	11	chr6
ENSMUSG00000003458	5552	16	chr1
ENSMUSG00000003464	7346	7	chr1
ENSMUSG00000003469	4457	9	chr14
ENSMUSG00000003476	5337	14	chr6
ENSMUSG00000003477	1735	4	chr6
ENSMUSG00000003484	2328	15	chr8
ENSMUSG00000003500	6046	18	chr6
ENSMUSG00000003505	3232	6	chr7
ENSMUSG00000003518	4797	8	chr11
ENSMUSG00000003526	10998	12	chr16
ENSMUSG00000003527	7544	7	chr16
ENSMUSG00000003528	2403	7	chr16
ENSMUSG00000003531	2992	8	chr16
ENSMUSG00000003534	6005	26	chr17
ENSMUSG00000003541	1139	2	chr17
ENSMUSG00000003545	6243	2	chr7
ENSMUSG00000003546	4846	15	chr17
ENSMUSG00000003549	7361	9	chr7
ENSMUSG00000003555	2769	7	chr19
ENSMUSG00000003559	4725	12	chr19
ENSMUSG00000003573	5026	11	chr8
ENSMUSG00000003575	11990	14	chr8
ENSMUSG00000003581	5445	6	chr11
ENSMUSG00000003585	8613	11	chr11
ENSMUSG00000003604	5799	10	chr2
ENSMUSG00000003617	11205	22	chr3
ENSMUSG00000003623	9513	20	chr5
ENSMUSG00000003644	6249	26	chr4
ENSMUSG00000003657	1897	13	chr8
ENSMUSG00000003660	11937	42	chr2
ENSMUSG00000003662	4493	8	chr2
ENSMUSG00000003665	4518	3	chr17
ENSMUSG00000003680	6696	10	chr19
ENSMUSG00000003721	5931	11	chr1
ENSMUSG00000003731	6862	17	chr4
ENSMUSG00000003746	11674	15	chr10
ENSMUSG00000003752	7384	7	chr7
ENSMUSG00000003762	10108	15	chr7
ENSMUSG00000003778	11916	19	chr18
ENSMUSG00000003779	5019	19	chr18
ENSMUSG00000003808	5889	7	chr8
ENSMUSG00000003809	5430	12	chr8
ENSMUSG00000003810	18146	38	chr4
ENSMUSG00000003812	6069	8	chr8
ENSMUSG00000003813	6583	4	chr8
ENSMUSG00000003814	3813	7	chr8
ENSMUSG00000003824	2528	5	chr8
ENSMUSG00000003847	18520	16	chr8
ENSMUSG00000003848	4347	5	chr8
ENSMUSG00000003849	2748	7	chr8
ENSMUSG00000003863	8313	30	chr7
ENSMUSG00000003865	7854	17	chr7
ENSMUSG00000003868	5835	17	chr7
ENSMUSG00000003872	1495	5	chr7
ENSMUSG00000003873	1856	5	chr7
ENSMUSG00000003882	4663	9	chr15
ENSMUSG00000003923	4703	9	chr10
ENSMUSG00000003929	6798	5	chr17
ENSMUSG00000003934	3534	5	chr11
ENSMUSG00000003948	7323	14	chr11
ENSMUSG00000003949	6928	9	chr11
ENSMUSG00000003955	3741	6	chr16
ENSMUSG00000003970	1452	6	chr15
ENSMUSG00000003974	6760	11	chr5
ENSMUSG00000003992	11461	24	chr13
ENSMUSG00000004018	4353	14	chr11
ENSMUSG00000004031	9428	11	chr1
ENSMUSG00000004032	1281	8	chr3
ENSMUSG00000004035	4190	8	chr3
ENSMUSG00000004038	1738	10	chr3
ENSMUSG00000004040	10096	22	chr11
ENSMUSG00000004043	8255	14	chr11
ENSMUSG00000004044	5325	4	chr11
ENSMUSG00000004054	6918	11	chr19
ENSMUSG00000004056	12951	21	chr7
