review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
21	R-MMU-983189_KINESINS	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down has no direct support	low	Cytoskeletal transport may change during remodeling, but kinesin pathway decrease is not directly supported in soleus spaceflight or unloading literature.	Murgia2024
22	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_down	blue_plausible_complementary	mixed_transport_signal	FLT_down is plausible but heterogeneous	medium	Spaceflight and unloading alter ion and metabolite transporters in soleus, but this umbrella term mixes transporter classes with different expected directions.	Sandona2012;Gambara2017
23	R-MMU-162582_SIGNAL_TRANSDUCTION	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down is too nonspecific to align	low	Signal transduction is too broad; prior studies show many up and down signaling changes, so a single FLT_down interpretation is not well supported.	Okada2021;Gambara2017
24	R-MMU-389948_CO_INHIBITION_BY_PD_1	FLT_down	orange_uncertain_no_direct_support	uncertain_off_context	FLT_down lacks direct support	low	PD-1 co-inhibition is lymphocyte-checkpoint biology; broad immune changes in muscle are plausible, but this specific adaptive immune pathway is not directly supported.	Gambara2017;Tidball2002
25	R-MMU-9709957_SENSORY_PERCEPTION	FLT_down	red_conflict_or_artifact	artifact_off_context	FLT_down remains off-context	high	Sensory perception is not a coherent soleus muscle pathway label; prior spaceflight muscle literature instead points to contractile, metabolic, ECM, and inflammatory remodeling.	Gambara2017;Murgia2024
26	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down direction is unresolved	medium	MAPK stress signaling is part of disuse-atrophy biology, while RAF/ERK growth signaling can move differently; prior soleus studies do not establish RAF cascade down-regulation.	Chopard2009;Bonaldo2013
27	R-MMU-372790_SIGNALING_BY_GPCR	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but weakly direct	low	GPCR signaling can reflect inflammatory, adrenergic, and metabolic remodeling in either direction; direct soleus-spaceflight evidence for a broad decrease is limited.	Chopard2009;Gambara2017
28	R-MMU-1430728_METABOLISM	FLT_down	blue_plausible_complementary	mixed_broad_signal	FLT_down partly aligns with metabolic remodeling	medium	Broad metabolism decrease is compatible with reduced oxidative and lipid programs, although glycolytic programs can increase, making the umbrella term directionally mixed.	Gambara2017;Tascher2017;Murgia2024
29	R-MMU-114608_PLATELET_DEGRANULATION	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up has weak direct support	low	Platelet degranulation may tag vascular or inflammatory components, but direct soleus-spaceflight platelet activation evidence is lacking.	Tidball2002;Frenette2000
30	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible for NF-kB biology	medium	NF-kB and inflammatory signaling are recognized in disuse atrophy, but TNFR2 noncanonical signaling is a more specific pathway than the direct evidence supports.	Chopard2009;Gambara2017
31	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	FLT_up	orange_uncertain_no_direct_support	uncertain_context	FLT_up has weak direct support	low	Antimicrobial peptides can accompany innate inflammation, but this pathway is not directly established as a soleus spaceflight response.	Gambara2017;Tidball2002
32	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down is too nonspecific to align	low	Spaceflight changes global gene expression in soleus, but a generic transcription pathway gives no clear directional biological interpretation.	Okada2021;Gambara2017
33	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	FLT_down	blue_plausible_complementary	mixed_transport_signal	FLT_down is plausible but heterogeneous	medium	Unloading and spaceflight alter ion and metabolite transporters in soleus, but SLC families are heterogeneous and direction is not uniform.	Sandona2012;Gambara2017
34	R-MMU-8951664_NEDDYLATION	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but not direct	low	Protein turnover pathways are central to muscle atrophy, but neddylation-specific up-regulation is not directly shown in soleus spaceflight literature.	Bonaldo2013;Tascher2017
35	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_up	blue_plausible_complementary	plausible_with_close_support	FLT_up is plausible	medium	Human astronaut soleus showed postflight enrichment of cell-junction/cytoskeletal and ECM-related annotations, but mouse transcript data are mixed.	Murgia2024;Okada2021
36	R-MMU-199991_MEMBRANE_TRAFFICKING	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but weakly direct	low	Membrane trafficking may reflect receptor, ion-channel, and proteostasis remodeling, but specific direction evidence in soleus microgravity is limited.	Sandona2012;Bonaldo2013
37	R-MMU-5576891_CARDIAC_CONDUCTION	FLT_up	blue_plausible_complementary	plausible_off_label	FLT_up is plausible only as excitation/ion-channel biology	low	The label is cardiac, but overlapping ion-channel and excitation-coupling genes are relevant to skeletal muscle; direct cardiac-conduction pathway evidence in soleus is absent.	Sandona2012;Gambara2017
38	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	medium	Rho-family signaling fits cytoskeletal, adhesion, and mechanotransduction remodeling during unloading, but direct pathway-level up evidence is limited.	Murgia2024;Chopard2009
39	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	green_prior_aligned	aligned_direct	FLT_down aligns with reduced fatty-acid metabolism	high	Spaceflight and unloading studies report reduced Ppara/PGC programs, mitochondrial downregulation, and impaired oxidative/fatty-acid metabolism in soleus or closely related muscle.	Gambara2017;Tascher2017;Murgia2024
40	R-MMU-983705_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	FLT_down	orange_uncertain_no_direct_support	uncertain_off_context	FLT_down lacks direct support	low	BCR signaling is adaptive immune-cell specific; broad immune remodeling is supported, but this pathway is not directly tied to soleus flight direction.	Gambara2017;Tidball2002
41	R-MMU-556833_METABOLISM_OF_LIPIDS	FLT_down	green_prior_aligned	aligned_close	FLT_down aligns with impaired lipid metabolism	high	Direct muscle evidence emphasizes reduced fatty-acid oxidation and mitochondrial programs during spaceflight, supporting a lower lipid-metabolism signal despite the pathway breadth.	Gambara2017;Tascher2017;Murgia2024
42	R-MMU-392499_METABOLISM_OF_PROTEINS	FLT_up	green_prior_aligned	aligned_close	FLT_up aligns with protein-turnover remodeling	medium	Protein balance, proteasome/autophagy systems, and proteome remodeling are central to disuse and spaceflight muscle atrophy.	Tascher2017;Bonaldo2013;Sandona2012
43	R-MMU-74160_GENE_EXPRESSION_TRANSCRIPTION	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down is too nonspecific to align	low	Soleus flight transcriptomes are strongly altered, but gene-expression/transcription as a broad pathway has no interpretable direction.	Okada2021;Gambara2017
44	R-MMU-9818564_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up has no direct support	low	Spaceflight can affect transcriptional regulation, but MLL3/MLL4-specific epigenetic activation is not established for soleus unloading.	Okada2021;Gambara2017
45	R-MMU-913531_INTERFERON_SIGNALING	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down is uncertain for interferon signaling	medium	Space-flown soleus shows inflammatory chemokine induction, but interferon-specific direction is weakly supported and may differ from general inflammation.	Gambara2017;Tidball2002
46	R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	low	Rho and MIRO biology connects cytoskeletal and mitochondrial remodeling, but this specific Reactome branch is not directly validated in soleus flight studies.	Murgia2024;Chopard2009
47	R-MMU-1442490_COLLAGEN_DEGRADATION	FLT_down	blue_plausible_complementary	mixed_with_ecm_remodeling	FLT_down is plausible but not directly established	medium	Hindlimb unloading shifts soleus collagen isoforms and postflight soleus proteomics shows ECM remodeling; reduced collagen degradation could fit net matrix accumulation, but direct degradation direction is unresolved.	Miller2001;Murgia2024
48	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	FLT_down	orange_uncertain_no_direct_support	uncertain_off_context	FLT_down lacks direct support	low	Calcium homeostasis changes in space-flown soleus, but a platelet cytosolic calcium response is too platelet-specific for a confident muscle interpretation.	Gambara2017;Sandona2012
49	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but indirect	medium	Muscle-immune interactions during modified loading are well supported, but lymphoid/non-lymphoid interaction direction in soleus flight is not directly shown.	Tidball2002;Gambara2017
50	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but indirect	medium	Reduced load can damp mechanosensitive Rho-effector signaling, while cytoskeletal remodeling can also activate Rho pathways; direct soleus-spaceflight direction remains indirect.	Murgia2024;Chopard2009
51	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with unloading immune biology	medium	Hindlimb unloading and modified loading studies support leukocyte involvement in muscle remodeling, and space-flown soleus shows inflammatory chemokine induction, so neutrophil degranulation down is not aligned.	Dumont2007;Gambara2017;Tidball2002
52	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	medium	Rho GTPase cycling is compatible with cytoskeletal and mechanotransduction remodeling, but direct soleus flight direction is not established.	Murgia2024;Chopard2009
53	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	FLT_up	blue_plausible_complementary	plausible_with_close_support	FLT_up is plausible	medium	Space-flown soleus up-regulated myogenic regulatory factors, consistent with developmental/myogenic reprogramming, but the Reactome umbrella is broad.	Gambara2017
54	R-MMU-190236_SIGNALING_BY_FGFR	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up lacks direct support	low	FGFR signaling can participate in repair/regeneration, but prior soleus-spaceflight studies do not show FGFR pathway up-regulation.	Gambara2017;Bonaldo2013
55	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	low	Vascular-wall interaction terms may reflect immune/ECM remodeling after altered loading, but direct direction in soleus spaceflight is weak.	Tidball2002;Murgia2024
56	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down lacks direct support	low	Peptide hormone metabolism is broad and not specifically supported as a decreased soleus spaceflight response.	Gambara2017;Sandona2012
57	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with cell-death/TNF atrophy biology	medium	Apoptosis and TNF/NF-kB-related signaling are plausible components of disuse atrophy, so decreased death-receptor signaling is opposite that expectation, though direct pathway evidence is limited.	Chopard2009;Bonaldo2013
58	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	FLT_down	green_prior_aligned	aligned_direct	FLT_down aligns with mitochondrial downregulation	high	Human and mouse spaceflight muscle studies consistently emphasize mitochondrial/OXPHOS impairment or downregulation, supporting lower respiratory electron transport.	Tascher2017;Murgia2024;Gambara2017
59	R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but broad	low	Neuromuscular junction remodeling is relevant and Fzd9, a postsynaptic/NMJ-associated marker, decreased in space-flown soleus, but nervous-system-development is a broad label.	Gambara2017;Murgia2024
60	R-MMU-9932444_ATP_DEPENDENT_CHROMATIN_REMODELERS	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down has no direct support	low	Transcriptome remodeling is clear, but ATP-dependent chromatin remodeler decrease is not directly established in soleus microgravity.	Okada2021;Gambara2017
61	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	medium	MAPK signaling is a plausible disuse/stress pathway, but MAPK1/3-specific direction in soleus spaceflight is not directly shown.	Chopard2009;Bonaldo2013
62	R-MMU-1296071_POTASSIUM_CHANNELS	FLT_up	orange_uncertain_no_direct_support	mixed_direction	FLT_up is mixed	medium	Long-duration microgravity up-regulated many sarcolemmal channels, but space-flown soleus showed Kcnma1 down-regulation, making potassium-channel direction mixed.	Sandona2012;Gambara2017
63	R-MMU-390522_STRIATED_MUSCLE_CONTRACTION	FLT_down	green_prior_aligned	aligned_direct	FLT_down aligns with reduced contractile function	high	Spaceflight reduces soleus size, force, and slow-fiber contractile performance, so lower striated-muscle-contraction signal is directionally aligned despite slow-to-fast gene shifts.	Gambara2017;Fitts2010;Tsuji2026
64	R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down has weak direct support	low	Elastic-fibre molecules fit the broader ECM response, but direct elastic-fibre direction evidence in soleus unloading is weak.	Miller2001;Murgia2024
65	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down is mixed	medium	Postflight soleus proteomics found cell-junction/cytoskeletal and ECM-related enrichment, whereas mouse transcript signals are mixed; a decrease is not directly established.	Murgia2024;Okada2021
66	R-MMU-9769740_COAGULATION_PATHWAY	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	Coagulation may tag vascular injury/inflammation and complement-linked modified loading, but direct soleus-spaceflight coagulation direction evidence is limited.	Tidball2002;Frenette2000
67	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	Glycosaminoglycan metabolism is compatible with ECM turnover, but direct soleus unloading direction evidence is not specific.	Miller2001;Murgia2024
68	R-MMU-9748784_DRUG_ADME	FLT_up	red_conflict_or_artifact	artifact_off_context	FLT_up is likely off-context	high	Drug ADME is primarily xenobiotic/liver biology and lacks credible soleus muscle unloading support.	Gambara2017;Tascher2017
69	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	FLT_down	green_prior_aligned	aligned_close	FLT_down aligns with WNT marker evidence	medium	Space-flown mouse soleus showed reduced Fzd9, a Frizzled/WNT receptor and NMJ marker, so lower canonical TCF/WNT signaling is more consistent with prior soleus evidence than an increase.	Gambara2017
70	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with inflammatory signaling literature	high	Space-flown soleus up-regulated inflammatory chemokines, supporting cytokine/immune signaling activation during microgravity-induced atrophy rather than a decrease.	Gambara2017;Tidball2002
71	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_down	blue_plausible_complementary	mixed_but_plausible	FLT_down is plausible but mixed	medium	Lower broad RTK signaling is compatible with reduced IGF/PI3K/Akt anabolic signaling, but the RTK family includes repair and growth-factor pathways with mixed expected directions.	Sandona2012;Chopard2009;Bonaldo2013
72	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	FLT_up	orange_uncertain_no_direct_support	mixed_or_ambiguous	FLT_up is ambiguous	medium	IGF-1/Akt anabolic signaling is generally reduced in disuse and space-flown soleus, but IGFBP transport regulation can be inhibitory or compensatory, so direction is not clear.	Sandona2012;Chopard2009;Bonaldo2013
73	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	FLT_up	red_conflict_or_artifact	artifact_off_context	FLT_up is likely off-context	medium	Phase I xenobiotic functionalization is not a recognized soleus muscle spaceflight pathway and is more consistent with detoxification/off-context annotation.	Gambara2017;Tascher2017
74	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with spaceflight stress biology	medium	Spaceflight skeletal muscle shows oxidative, mitochondrial, and stress-response remodeling, so a lower cellular-stress-response signal is opposite the expected direction for this broad pathway.	Tascher2017;Murgia2024;Gambara2017
75	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down direction is unresolved	medium	MAPK-family signaling is plausible in disuse and inflammatory stress, but prior studies do not establish a broad MAPK cascade decrease in space-flown soleus.	Chopard2009;Bonaldo2013
76	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	FLT_up	orange_uncertain_no_direct_support	uncertain_broad	FLT_up lacks direct support	low	Nucleotide metabolism can change with stress and turnover, but direct soleus-spaceflight direction evidence is not established.	Tascher2017;Murgia2024
77	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	FLT_up	green_prior_aligned	aligned_close	FLT_up aligns with modified-loading inflammation	medium	Complement activation is an early event in modified muscle use and promotes inflammatory remodeling, making complement up plausible and close to prior unloading biology.	Frenette2000;Tidball2002
78	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	FLT_down	blue_plausible_complementary	mixed_but_plausible	FLT_down is plausible but mixed	medium	Inflammatory chemokines rise in space-flown soleus, but IL-6 was reported down in long-duration space-flown soleus, so interleukin direction remains mixed.	Gambara2017;Sandona2012
79	R-MMU-168249_INNATE_IMMUNE_SYSTEM	FLT_down	red_conflict_or_artifact	conflict_with_prior_direction	FLT_down conflicts with innate inflammatory response	high	Space-flown soleus shows chemokine induction, and modified loading literature supports innate immune involvement in muscle remodeling, so an innate immune decrease conflicts with prior direction.	Gambara2017;Tidball2002;Dumont2007
80	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up lacks direct support	low	Platelet activation may tag vascular/inflammatory biology, but direct soleus-spaceflight platelet pathway activation is not established.	Tidball2002;Frenette2000
81	R-MMU-2559583_CELLULAR_SENESCENCE	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible but not direct	low	Spaceflight stress and proteostasis disruption can promote senescence-like programs, but direct soleus senescence pathway activation is weak.	Murgia2024;Bonaldo2013
82	R-MMU-9955298_SLC_MEDIATED_TRANSPORT_OF_ORGANIC_ANIONS	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	SLC transport broadly changes in muscle, but organic-anion transport is specific and not directly supported as decreased in soleus spaceflight literature.	Sandona2012;Gambara2017
83	R-MMU-5173105_O_LINKED_GLYCOSYLATION	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up has no direct support	low	O-linked glycosylation may relate to ECM/membrane protein turnover, but direct direction evidence in soleus unloading is absent.	Murgia2024;Bonaldo2013
84	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down is too nonspecific to align	low	The pathway is a broad umbrella over many stimuli and cannot be directionally matched to a specific soleus spaceflight mechanism.	Okada2021;Gambara2017
85	R-MMU-186797_SIGNALING_BY_PDGF	FLT_down	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_down lacks direct support	low	PDGF can participate in fibroblast, vascular, and matrix responses, but prior soleus-spaceflight studies do not establish PDGF pathway down-regulation.	Miller2001;Murgia2024
86	R-MMU-9609507_PROTEIN_LOCALIZATION	FLT_up	orange_uncertain_no_direct_support	uncertain_broad	FLT_up lacks direct interpretability	low	Protein localization is a generic cellular process; prior muscle atrophy literature does not provide clear pathway-specific direction.	Tascher2017;Bonaldo2013
87	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	FLT_down	orange_uncertain_no_direct_support	mixed_or_uncertain	FLT_down is uncertain	medium	Amino-acid handling changes with protein catabolism and turnover during atrophy, but direct soleus-spaceflight pathway direction is not strong.	Bonaldo2013;Tascher2017
88	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	FLT_down	blue_plausible_complementary	plausible_indirect	FLT_down is plausible but broad	low	Neuromuscular remodeling is relevant, and Fzd9 decreased in space-flown soleus, but chemical-synapse transmission is broader than the direct evidence.	Gambara2017;Murgia2024
89	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	FLT_up	blue_plausible_complementary	plausible_indirect	FLT_up is plausible	medium	TLR/DAMP inflammatory signaling is plausible during sterile muscle remodeling, and PGC-1 down-regulation can favor inflammatory cytokine programs, but direct TLR up evidence is limited.	Gambara2017;Tidball2002
90	R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	FLT_up	orange_uncertain_no_direct_support	uncertain_specific_pathway	FLT_up lacks direct support	low	TSR-domain O-glycosylation may relate to ECM proteins, but the specific pathway has no direct soleus-spaceflight direction evidence.	Murgia2024;Miller2001
91	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	FLT_up	orange_uncertain_no_direct_support	uncertain_broad	FLT_up is broad and nonspecific	low	Post-translational modification is broadly involved in proteostasis, but this umbrella term lacks a pathway-specific direction in soleus flight data.	Tascher2017;Bonaldo2013
92	R-MMU-1500931_CELL_CELL_COMMUNICATION	FLT_down	orange_uncertain_no_direct_support	uncertain_broad	FLT_down lacks specificity	low	Cell-cell communication could include immune, vascular, and ECM crosstalk, but the broad pathway has no clear direction-specific support.	Tidball2002;Murgia2024
